title,href,text
Alaska Statutes Title 15. Elections § 15.10.200. Definition of “decennial census of the United States” and use of census numbers by redistricting board,https://codes.findlaw.com/ak/title-15-elections/ak-st-sect-15-10-200.html,"
(a) In art. VI, Constitution of the State of Alaska, reference to the official decennial census of the United States is a reference to the census enumeration used to establish apportionment among the several states.


(b) In adopting a redistricting plan under art. VI, Constitution of the State of Alaska, the redistricting board may not adjust the census numbers by using estimates, population surveys, or sampling for the purpose of excluding or discriminating among persons counted based on race, religion, color, national origin, sex, age, occupation, military or civilian status, or length of residency.


(c) A qualified voter may bring an action in the superior court against the redistricting board to enforce the provisions of (b) of this section.
"
Alaska Statutes Title 19. Highways and Ferries § 19.30.131. Allocation of funds,https://codes.findlaw.com/ak/title-19-highways-and-ferries/ak-st-sect-19-30-131.html,"
(a) During each fiscal year the commissioner shall allocate sums appropriated or otherwise designated for expenditure upon local service roads for that fiscal year among the five allocation districts in the following manner:  one-half in the ratio that the area of each allocation district bears to the total area of the state and one-half in the ratio that the population of each allocation district bears to the total population of the state as shown by the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development.


(b) The commissioner shall also further allocate the sums in each allocation district to the boroughs and unified municipalities within each allocation district in the following manner:  one-half in the ratio that the area of each organized borough or unified municipality (excluding salt water areas) within that district bears to the total area of the allocation district and one-half in the ratio that the population of each organized borough area or each unified municipality within that district bears to the total population of the allocation district as shown by the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development.


(c) The commissioner shall also further allocate portions of the sum allocated to any organized borough and to any home rule city within the organized borough in the following manner:

(1) one-half in the ratio that the area of each home rule city bears to the total area of the organized borough excluding salt water areas;  and


(2) one-half in the ratio that the population of each home rule city bears to the total population of the organized borough as shown by the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development.



(1) one-half in the ratio that the area of each home rule city bears to the total area of the organized borough excluding salt water areas;  and


(2) one-half in the ratio that the population of each home rule city bears to the total population of the organized borough as shown by the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development.


(d) The sums not allocated within each district to a local government under (b) and (c) of this section shall be allocated to the unorganized borough and administered by the department.
"
"Alaska Statutes Title 14. Education, Libraries, and Museums § 14.08.051. School board sections",https://codes.findlaw.com/ak/title-14-education-libraries-and-museums/ak-st-sect-14-08-051.html,"
(a) The commissioner in consultation with the Department of Commerce, Community, and Economic Development and the local communities may divide a regional educational attendance area into sections only for the purpose of nominating and electing regional school board members.  If the voters in a regional educational attendance area favor election of regional school board members by sections under (b) of this section, the commissioner in consultation with the Department of Commerce, Community, and Economic Development and the local communities shall divide the regional educational attendance area into sections for the purpose of nominating and electing regional school board members.  If a regional educational attendance area is divided into sections each school board member shall represent, as nearly as practicable, an equal number of persons.  The basis for the division of a regional educational attendance area into sections shall be the total population of the area as reported in the most recent decennial federal census.  If the census is five years old or older, then other reliable population data, including population estimates based on public school enrollments, public utility connections, registered voters, or certified employment payrolls, shall be used as the basis for the division of the area into sections.  Each section within a regional educational attendance area shall consist of compact, contiguous territory and, as far as practicable, each section shall contain an integrated socio-economic, linguistically and culturally homogeneous area.  In the division of the regional school and attendance area into sections, consideration shall be given to the transportation and communication network to facilitate the administration of education and communication between communities that comprise the area.  Whenever possible, municipalities, other governmental or regional corporate entities, drainage basins, and other identifiable geographic features shall be used in describing the boundaries of the sections.


(b) The division of a regional educational attendance area into sections or subsequent recasting of the section boundaries may be proposed by the regional school board or by a petition.  The election of each regional school board member from a section by the voters of that section of a regional educational attendance area may be proposed by petition.  A petition under this section shall be filed with the director of elections and must contain signatures of qualified voters in the area equal to eight percent of the total vote cast in the most recent regional school board election.  The division of the area into sections, election of each regional school board member from a section by the voters of that section, or subsequent recasting of section boundaries is subject to approval by a majority of the qualified voters voting on the question in the regional educational attendance area at the next regular school board election or a special election called for that purpose, and takes effect at the next regular school board election.


(c) If a regional educational attendance area has been divided into sections, the commissioner shall recast the boundaries of the sections within 90 days following the official reporting of the decennial federal census in accordance with (a) of this section.  If the census is five years old or older and other reliable population data acceptable to the department that establishes that board members do not represent as nearly as practicable equal numbers of people under the allocation of seats to a multi-member section under (d) of this section, the commissioner may reallocate the seats among the sections if reallocation will achieve as nearly as practicable equal representation.  Reallocation of seats takes effect at the next regular board election after the reallocation.


(d) Multi-member sections may be created.  However,

(1) each seat on the regional board shall be designated by letter or number and when the declaration of candidacy or other nomination papers of a candidate for the regional school board are filed those papers must indicate the seat that the candidate seeks;  and


(2) except as provided in (f) of this section, a section may not be represented by more than

(A) three members, if a board consists of five members;


(B) four members, if a board consists of seven members;


(C) five members, if a board consists of nine members;  or


(D) six members, if a board consists of 11 members.




(1) each seat on the regional board shall be designated by letter or number and when the declaration of candidacy or other nomination papers of a candidate for the regional school board are filed those papers must indicate the seat that the candidate seeks;  and


(2) except as provided in (f) of this section, a section may not be represented by more than

(A) three members, if a board consists of five members;


(B) four members, if a board consists of seven members;


(C) five members, if a board consists of nine members;  or


(D) six members, if a board consists of 11 members.



(A) three members, if a board consists of five members;


(B) four members, if a board consists of seven members;


(C) five members, if a board consists of nine members;  or


(D) six members, if a board consists of 11 members.


(e) If a regional educational attendance area has been divided into sections, board members shall be residents of the section from which they are elected.  Board members shall be elected by the qualified voters of the entire regional educational attendance area, unless the voters have approved election of members by the voters of the section under (b) of this section.


(f) Upon the request of a regional school board, the commissioner may permit a section that contains more than one community to be represented by more board members than the number set out in (d)(2) of this section if the commissioner determines that

(1) the regional educational attendance area has had a pattern of substantial population fluctuations between geographic areas within the regional educational attendance area;  and


(2) compliance with the requirements of (d)(2) of this section could result in continuous underrepresentation and overrepresentation of sections.



(1) the regional educational attendance area has had a pattern of substantial population fluctuations between geographic areas within the regional educational attendance area;  and


(2) compliance with the requirements of (d)(2) of this section could result in continuous underrepresentation and overrepresentation of sections.


(g) In a regional educational attendance area section subject to (f) of this section, no more than two members may be elected from the same community unless the population distribution requires otherwise.
"
"The Constitution of the State of Alaska Art. VI, § 3. Reapportionment of House and Senate",https://codes.findlaw.com/ak/the-constitution-of-the-state-of-alaska/ak-const-art-6-sect-3.html,
Alaska Statutes Title 29. Municipal Government § 29.60.620. Allocation of money,https://codes.findlaw.com/ak/title-29-municipal-government/ak-st-sect-29-60-620.html,"
(a) If the amount of money appropriated by the legislature for human services community matching grants under 
AS 29.60.600
 is not adequate to satisfy amounts required for the qualified municipalities who have applied for grants, the money shall be allocated proportionately among the qualified municipalities for which a grant has been approved under 
AS 29.60.600
 - 
29.60.650
 based on the relationship the population of each municipality bears to the total population of the qualified municipalities for which a grant has been approved under 
AS 29.60.600
 - 
29.60.650
.


(b) For purposes of (a) of this section, population shall be determined by the Department of Commerce, Community, and Economic Development based on the latest figures of the United States Bureau of the Census or other reliable population data.  If a city within a borough has an approved grant for a service to be provided on an areawide basis, the allocation under (a) of this section shall be based on the population of the borough.
"
Alaska Statutes Title 29. Municipal Government § 29.35.141. Regulation of radio antennas,https://codes.findlaw.com/ak/title-29-municipal-government/ak-st-sect-29-35-141.html,"
(a) A municipality that regulates the placement, screening, or height of radio antennas must reasonably accommodate amateur radio antennas.  A municipality may require reasonable and customary engineering practices to be followed in the erection of amateur radio antennas.  A municipality may impose only the minimum requirements relating to amateur radio antennas that are necessary to accomplish the legitimate purposes intended to be served by the requirements.


(b) A municipality may not restrict the number of support structures for an amateur radio antenna.  Based on the most recently published United States census, a municipal restriction on amateur radio antenna height may not be lower than

(1) 200 feet above ground level as permitted by the Federal Communications Commission in an area with a population density of 120 or less per square mile;


(2) 75 feet above ground level in an area with a population density of more than 120 per square mile for an antenna on a lot that is smaller than one acre;  or


(3) 140 feet above ground level in an area with a population density of more than 120 per square mile for an antenna on a lot that is one acre or larger.



(1) 200 feet above ground level as permitted by the Federal Communications Commission in an area with a population density of 120 or less per square mile;


(2) 75 feet above ground level in an area with a population density of more than 120 per square mile for an antenna on a lot that is smaller than one acre;  or


(3) 140 feet above ground level in an area with a population density of more than 120 per square mile for an antenna on a lot that is one acre or larger.


(c) Subject to (a) and (b) of this section, a municipality may, by ordinance, impose requirements to meet clearly defined objectives relating to screening, placement, aesthetic, and health and safety factors with respect to the erection, maintenance, and operation of amateur radio antennas.


(d) An ordinance regulating or restricting radio antennas adopted under this section may not apply to a radio antenna that was erected before July 26, 2001.


(e) This section applies to home rule and general law municipalities.
"
Alaska Statutes Title 8. Business and Professions § 08.40.390. Exclusions,https://codes.findlaw.com/ak/title-8-business-and-professions/ak-st-sect-08-40-390.html,"
(a) 
AS 08.40.210
 - 
08.40.490
 do not apply to a utility, municipality, or local governing body whose employees are engaged in mechanical work on an integral part of a system owned and operated by the utility, municipality, or local governing body.


(b) 
AS 08.40.210
-
08.40.490
 do not apply to a person engaged in

(1) the manufacture or repair of mechanical apparatus or equipment;


(2) mechanical work, the cost of which does not exceed $50,000, involving residences or small commercial establishments in communities that

(A) have a population of under 5,000 according to the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development;  or


(B) are over 50 miles by air or water transportation from the business place of a mechanical administrator licensed under 
AS 08.40.210
-
08.40.490
;



(3) mechanical installation on a single-family residence or a two-family residence that is not intended for sale at the time of making the installation;


(4) installation of water lines or sanitary, storm, or drain sewer lines more than five feet from a building;


(5) mechanical maintenance or repair work if the work is performed by the person as an employee of an owner or tenant of commercial property as part of the employee's work duties with respect to the property but is not offered or performed as a service to the public;


(6) design, installation, maintenance, or repair of fire extinguishing systems.



(1) the manufacture or repair of mechanical apparatus or equipment;


(2) mechanical work, the cost of which does not exceed $50,000, involving residences or small commercial establishments in communities that

(A) have a population of under 5,000 according to the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development;  or


(B) are over 50 miles by air or water transportation from the business place of a mechanical administrator licensed under 
AS 08.40.210
-
08.40.490
;



(A) have a population of under 5,000 according to the latest available federal or state census or other census approved by the Department of Commerce, Community, and Economic Development;  or


(B) are over 50 miles by air or water transportation from the business place of a mechanical administrator licensed under 
AS 08.40.210
-
08.40.490
;


(3) mechanical installation on a single-family residence or a two-family residence that is not intended for sale at the time of making the installation;


(4) installation of water lines or sanitary, storm, or drain sewer lines more than five feet from a building;


(5) mechanical maintenance or repair work if the work is performed by the person as an employee of an owner or tenant of commercial property as part of the employee's work duties with respect to the property but is not offered or performed as a service to the public;


(6) design, installation, maintenance, or repair of fire extinguishing systems.
"
"Alaska Statutes Title 47. Welfare, Social Services and Institutions § 47.30.550. Cost sharing formulas; use of income",https://codes.findlaw.com/ak/title-47-welfare-social-services-and-institutions/ak-st-sect-47-30-550.html,"
(a) In a district designated by the department as a poverty area, the department may fund not more than 90 percent of the eligible costs of the community mental health services to be furnished under an entity's approved plan.


(b) In a district that has not been designated by the department as a poverty area, the department may fund not more than 75 percent of the eligible costs of the community mental health services to be furnished under an entity's approved plan.


(c) Notwithstanding (a) and (b) of this section, if the department determines that sufficient funds from other sources are unavailable, then the department shall fund the percent of the eligible costs that is necessary in order to ensure that services for chronically mentally ill adults and severely mentally ill children, and other community mental health services to be furnished under an entity's approved plan are made available by the entity.  Funding under this subsection is subject to the availability of legislative appropriations for the purpose.


(d) Income earned by an entity through a community mental health project funded under 
AS 47.30.520
 - 
47.30.620
 shall be used to augment or enhance the entity's mental health services.


(e) In (a) and (b) of this section, “poverty area” means a census district in which at least 15 percent of the population, based upon the most recent census data, falls under 125 percent of the United States Department of Health and Human Services' Poverty Income Guidelines for Alaska, as reported in the Federal Register.
"
Alaska Statutes Title 15. Elections § 15.13.010. Applicability,https://codes.findlaw.com/ak/title-15-elections/ak-st-sect-15-13-010.html,"
(a) This chapter applies

(1) in every election for governor, lieutenant governor, a member of the state legislature, a delegate to a constitutional convention, or judge seeking judicial retention;


(2) to every candidate for election to a municipal office in a municipality with a population of more than 1,000 inhabitants according to the latest United States census figures or estimates of population certified as correct for administrative purposes by the Department of Commerce, Community, and Economic Development unless the municipality has exempted itself from the provisions of this chapter;  a municipality may exempt its elected municipal officers from the requirements of this chapter if a majority of the voters voting on the question at a regular election, as defined by 
AS 29.71.800(20)
, or a special municipality-wide election called for that purpose, votes to exempt its elected municipal officers from the requirements of this chapter;  the question of exemption from the requirements of this chapter may be submitted by the governing body by ordinance or by initiative election.



(1) in every election for governor, lieutenant governor, a member of the state legislature, a delegate to a constitutional convention, or judge seeking judicial retention;


(2) to every candidate for election to a municipal office in a municipality with a population of more than 1,000 inhabitants according to the latest United States census figures or estimates of population certified as correct for administrative purposes by the Department of Commerce, Community, and Economic Development unless the municipality has exempted itself from the provisions of this chapter;  a municipality may exempt its elected municipal officers from the requirements of this chapter if a majority of the voters voting on the question at a regular election, as defined by 
AS 29.71.800(20)
, or a special municipality-wide election called for that purpose, votes to exempt its elected municipal officers from the requirements of this chapter;  the question of exemption from the requirements of this chapter may be submitted by the governing body by ordinance or by initiative election.


(b) Except as otherwise provided, this chapter applies to contributions, expenditures, and communications made for the purpose of influencing the outcome of a ballot proposition or question as well as those made to influence the nomination or election of a candidate.


(c) This chapter does not prohibit a municipality from regulating by ordinance election campaign contributions and expenditures in municipal elections, or from regulating those campaign contributions and expenditures more strictly than provided in this chapter.


(d) This chapter does not limit the authority of a person to make contributions to influence the outcome of a voter proposition submitted to the public for a vote at a municipal election.  In this subsection, in addition to its meaning under 
AS 15.13.065(c)
, “proposition” means a municipal reclassification, proposal to adopt or amend a home rule charter, a unification proposal, a boundary change proposal, or the approval of an ordinance when approval by public vote is a requirement for the ordinance.
"
Alaska Statutes Title 5. Amusements and Sports § 05.35.070. Definitions,https://codes.findlaw.com/ak/title-5-amusements-and-sports/ak-st-sect-05-35-070.html,"
(1) “commissioner” means the commissioner of commerce, community, and economic development;


(2) “cost of construction” includes, in addition to costs directly related to the project, the sum total of all costs of financing and carrying out of the project;  these include, but are not limited to, the costs of all necessary studies, surveys, plans and specifications, architectural, engineering or other special services, acquisition of real property, site preparation and development, purchase, construction, reconstruction and improvement of real property, and the acquisition of machinery and equipment as may be necessary in connection with the project;  an allocable portion of the administrative and operating expenses of the grantee;  the cost of financing the project, including interest on bonds issued to finance the project;  and the cost of other items, including any indemnity and surety bonds and premiums on insurance, legal fees, fees and expenses of trustees, depositaries, financial advisors, and paying agents for the bonds issued as the issuer considers necessary;  it does not include the cost of promotion, travel, or feasibility studies;


(3) “facility” means a covered stadium or arena or any combination of them, or any other similar structure or structures, including related improvements such as parking areas, locker rooms, concession stands, restaurants, offices, press boxes, rest rooms, and storage areas, and including fixed or portable equipment, used in the operation of the facility;


(4) “municipality” means an organized borough of any class or a first class city outside an organized borough;


(5) “population” means the population of a municipality established by the final official 1970 U.S. Census or other reliable population data;


(6) “used principally for sports” means that the major use of a facility shall be for sporting events such as baseball games, rodeos, football games, soccer games, track and field meets, ice hockey matches, basketball games, and boxing and wrestling matches, viewed by spectators in substantial numbers, and that the use of a facility may be for organized participant sports and nonsports activities for which similar facilities are commonly used.
"
