title,href,text
Connecticut General Statutes Title 10. Education and Culture § 10-261. Definitions,https://codes.findlaw.com/ct/title-10-education-and-culture/ct-gen-st-sect-10-261.html,"
(a) Whenever used in this section and 
section 10-263
:

(1) “Public schools” means nursery schools, kindergartens and grades one to twelve, inclusive;


(2) “Average daily membership” means the number of all pupils of the local or regional board of education enrolled in public schools at the expense of such board of education on October first or the full school day immediately preceding such date, provided the number so obtained shall be decreased by the Department of Education for failure to comply with the provisions of 
section 10-16
 and shall be increased by one one-hundred-eightieth for each full-time equivalent school day of at least five hours of actual school work in excess of one hundred eighty days and nine hundred hours of actual school work and be increased by the full-time equivalent number of such pupils attending the summer sessions immediately preceding such date at the expense of such board of education;  “enrolled” shall include pupils who are scheduled for vacation on the above dates and who are expected to return to school as scheduled.  Pupils participating in the program established pursuant to 
section 10-266aa
 shall be counted in accordance with the provisions of subsection (h) of 
section 10-266aa
;


(3) “Net current expenditures” means total current educational expenditures, less expenditures for (A) pupil transportation;  (B) capital expenditures for land, buildings, equipment otherwise supported by a state grant pursuant to chapter 173   1 and debt service;  (C) adult education;  (D) health and welfare services for nonpublic school children;  (E) all tuition received on account of nonresident pupils;  (F) food services directly attributable to state and federal aid for child nutrition and to receipts derived from the operation of such services;  and (G) student activities directly attributable to receipts derived from the operation of such services, except that the town of Woodstock may include as part of the current expenses of its public schools for each school year the amount expended for current expenses in that year by Woodstock Academy from income from its endowment funds upon receipt from said academy of a certified statement of such current expenses, and except that the town of Winchester may include as part of the current expenses of its public schools for each school year the amount expended for current expenses in that year by The Gilbert School from income from its endowment funds upon receipt from said school of a certified statement of such current expenses;


(4) “Adjusted equalized net grand list” means the equalized net grand list of a town multiplied by the ratio of the per capita income of the town to the per capita income of the town at the one hundredth percentile among all towns in the state ranked from lowest to highest in per capita income;


(5) “Adjusted equalized net grand list per capita” means the equalized net grand list divided by the total population of a town multiplied by the ratio of the per capita income of the town to the per capita income of the town at the one hundredth percentile among all towns in the state ranked from lowest to highest in per capita income;


(6) “Equalized net grand list”, for purposes of calculating the amount of grant or allocation to which any town is entitled, means the net grand list of such town upon which taxes were levied for the general expenses of such town three years prior to the fiscal year in which such grant is to be paid, equalized in accordance with 
section 10-261a
;


(7) “Total population” of a town means that enumerated in the most recent federal decennial census of population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census available on January first of the fiscal year two years prior to the fiscal year in which a grant is to be paid or an allocation is to be made, whichever is most recent;  except that any town whose enumerated population residing in state and federal institutions within such town and attributed to such town by the census exceeds forty per cent of such “total population” shall be counted as follows:  Those persons who are incarcerated or in custodial situations, including, but not limited to jails, prisons, hospitals or training schools or those persons who reside in dormitory facilities in schools, colleges, universities or on military bases shall not be counted in the “total population” of a town;


(8) “Per capita income” for each town means that enumerated in the most recent federal decennial census of population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census available on January first of the fiscal year two years prior to the fiscal year in which a grant is to be paid or an allocation is to be made, whichever is most recent;


(9) “School tax rate” means the net current local educational expenditures of the fiscal year three years prior to that in which a grant is to be paid or an allocation is to be made, divided by a town's adjusted equalized net grand list.



(1) “Public schools” means nursery schools, kindergartens and grades one to twelve, inclusive;


(2) “Average daily membership” means the number of all pupils of the local or regional board of education enrolled in public schools at the expense of such board of education on October first or the full school day immediately preceding such date, provided the number so obtained shall be decreased by the Department of Education for failure to comply with the provisions of 
section 10-16
 and shall be increased by one one-hundred-eightieth for each full-time equivalent school day of at least five hours of actual school work in excess of one hundred eighty days and nine hundred hours of actual school work and be increased by the full-time equivalent number of such pupils attending the summer sessions immediately preceding such date at the expense of such board of education;  “enrolled” shall include pupils who are scheduled for vacation on the above dates and who are expected to return to school as scheduled.  Pupils participating in the program established pursuant to 
section 10-266aa
 shall be counted in accordance with the provisions of subsection (h) of 
section 10-266aa
;


(3) “Net current expenditures” means total current educational expenditures, less expenditures for (A) pupil transportation;  (B) capital expenditures for land, buildings, equipment otherwise supported by a state grant pursuant to chapter 173   1 and debt service;  (C) adult education;  (D) health and welfare services for nonpublic school children;  (E) all tuition received on account of nonresident pupils;  (F) food services directly attributable to state and federal aid for child nutrition and to receipts derived from the operation of such services;  and (G) student activities directly attributable to receipts derived from the operation of such services, except that the town of Woodstock may include as part of the current expenses of its public schools for each school year the amount expended for current expenses in that year by Woodstock Academy from income from its endowment funds upon receipt from said academy of a certified statement of such current expenses, and except that the town of Winchester may include as part of the current expenses of its public schools for each school year the amount expended for current expenses in that year by The Gilbert School from income from its endowment funds upon receipt from said school of a certified statement of such current expenses;


(4) “Adjusted equalized net grand list” means the equalized net grand list of a town multiplied by the ratio of the per capita income of the town to the per capita income of the town at the one hundredth percentile among all towns in the state ranked from lowest to highest in per capita income;


(5) “Adjusted equalized net grand list per capita” means the equalized net grand list divided by the total population of a town multiplied by the ratio of the per capita income of the town to the per capita income of the town at the one hundredth percentile among all towns in the state ranked from lowest to highest in per capita income;


(6) “Equalized net grand list”, for purposes of calculating the amount of grant or allocation to which any town is entitled, means the net grand list of such town upon which taxes were levied for the general expenses of such town three years prior to the fiscal year in which such grant is to be paid, equalized in accordance with 
section 10-261a
;


(7) “Total population” of a town means that enumerated in the most recent federal decennial census of population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census available on January first of the fiscal year two years prior to the fiscal year in which a grant is to be paid or an allocation is to be made, whichever is most recent;  except that any town whose enumerated population residing in state and federal institutions within such town and attributed to such town by the census exceeds forty per cent of such “total population” shall be counted as follows:  Those persons who are incarcerated or in custodial situations, including, but not limited to jails, prisons, hospitals or training schools or those persons who reside in dormitory facilities in schools, colleges, universities or on military bases shall not be counted in the “total population” of a town;


(8) “Per capita income” for each town means that enumerated in the most recent federal decennial census of population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census available on January first of the fiscal year two years prior to the fiscal year in which a grant is to be paid or an allocation is to be made, whichever is most recent;


(9) “School tax rate” means the net current local educational expenditures of the fiscal year three years prior to that in which a grant is to be paid or an allocation is to be made, divided by a town's adjusted equalized net grand list.


(b) Nothing in subsection (a) of this section shall be construed to in any way penalize those towns which have not adopted the uniform fiscal year.


(c) If a town conducts a census, verified by the United States Department of Commerce, Bureau of the Census, that indicates a greater than twenty per cent difference in population, as calculated pursuant to this subsection, such updated census shall be used in determining such town's total population pursuant to subsection (a) of this section.  The applicability of this subsection shall be determined by calculating (1) the difference between the town's last decennial census population and the census updated and verified by the Bureau of the Census times (2) the number of years between the last decennial census and the data year upon which the total population is computed pursuant to subsection (a) of this section, divided by the number of years between the last decennial census and the year in which the updated census was conducted.  The product shall then be added to the town population from the last decennial census.  Any town that seeks revision of its total population figures under this subsection shall make application to the Commissioner of Education on or before January first of the fiscal year two years prior to the fiscal year in which a grant is to be paid or an allocation is to be made.
"
Connecticut General Statutes Title 12. Taxation § 12-18a. Grants to towns for property tax relief based on population,https://codes.findlaw.com/ct/title-12-taxation/ct-gen-st-sect-12-18a.html,
Connecticut General Statutes Title 32. Commerce and Economic and Community Development § 32-70. Enterprise zones. Designation. Expansion,https://codes.findlaw.com/ct/title-32-commerce-and-economic-and-community-development/ct-gen-st-sect-32-70.html,"
(a) Any municipality that was a distressed municipality under the provisions of subsection (b) of 
section 32-9p
 on February 1, 1986, may, with the approval of the Commissioner of Economic and Community Development, designate an area of such municipality as an enterprise zone.  Any such area shall consist of one or two contiguous United States census tracts, contiguous portions of such census tracts or a portion of an individual census tract, as determined in accordance with the most recent United States census and, if such area is covered by zoning, a portion of it shall be zoned to allow commercial or industrial activity.  The census tracts within which such designated area is located shall also meet at least one of the following criteria:  (1) Twenty-five per cent or more of the persons within the individual census tracts shall have income below the poverty level, as determined by the most recent United States census, as officially updated by the appropriate state agency or institution;  (2) twenty-five per cent or more of the families within the individual census tracts shall receive public assistance or welfare income, as determined by the most recent United States census, as officially updated by the appropriate state agency or institution;  or (3) the unemployment rate of the individual census tracts shall be at least two hundred per cent of the state's average, as determined by the most recent United States census, as officially updated by the appropriate state agency or institution.  In calculating any such percentage for one or two contiguous census tracts, contiguous portions of census tracts or a portion of an individual census tract, the commissioner shall round up to the nearest whole percentage number.  If a census tract qualifies under the eligibility criteria for designation as an enterprise zone and if the commissioner determines that a census tract which is contiguous to such tract has significant job creation potential, the commissioner may include such contiguous census tract, or a portion thereof, in the enterprise zone in lieu of a second qualified census tract if such contiguous census tract meets at least one of the following reduced criteria:  (A) Fifteen per cent or more of the persons within the census tract shall have income below the poverty level, as determined by the most recent United States census, as officially updated by the appropriate state agency or institution;  (B) fifteen per cent or more of the families within the census tract shall receive public assistance or welfare income, as determined by the most recent United States census, as officially updated by the appropriate state agency or institution;  or (C) the unemployment rate of the census tract shall be at least one hundred fifty per cent of the state's average, as determined by the most recent United States census, as officially updated by the appropriate state agency or institution.  If a census tract boundary line is the center line of a street, the commissioner may include within the enterprise zone that portion of the property fronting on such street which is outside of but adjacent to the census tract.  The depth of such property so included in the enterprise zone shall be determined by the commissioner at the time of the designation of the zone.  If a census tract boundary line is located along a railroad right-of-way, railroad property or natural stream of water, the commissioner may include within the enterprise zone any private properties under common ownership which are traversed by the railroad right-of-way, railroad property or natural stream of water.  Any private properties so affected shall be included in the enterprise zone at the time of the designation of the zone except, in the case of an enterprise zone designated prior to October 1, 1983, the commissioner may include within the zone any such property if the municipality in which the zone is located requests the commissioner to include such property not later than sixty days after October 1, 1983.  If more than twenty-five per cent of the project area of a development project under chapter 132   1 is located in an area eligible for designation as an enterprise zone and the project plan for such development project is approved by the Commissioner of Economic and Community Development in accordance with 
section 8-191
, the commissioner may include the entire project area of such development project area in an enterprise zone.  If more than twenty-five per cent of the project area of a municipal development project under chapter 588l   2 is located in an area eligible for designation as an enterprise zone and the development plan for such project is approved by the Commissioner of Economic and Community Development in accordance with 
section 32-224
, the commissioner may include the entire project area of such project in an enterprise zone.  If more than fifty per cent of an approved redevelopment area under chapter 130   3 is located in an area eligible for designation as an enterprise zone, the commissioner may include the entire redevelopment area in an enterprise zone.  The commissioner may also include in the area designated as an enterprise zone (i) any facility, as defined in 
section 32-9p
, which is located outside of but contiguous to a census tract included in the zone, (ii) any private properties which are (I) under common ownership, (II) located outside of a census tract included in the zone and (III) contiguous to a railroad right-of-way which is the boundary of such a census tract, or (iii) any private properties which are located outside of a census tract included in the zone, but between the zone and a railroad right-of-way, where other segments of such railroad right-of-way serve as boundaries for the zone.  The commissioner may, at any time after the designation of an area as an enterprise zone, include in such zone any area contiguous to such zone which, at the time of the designation of such zone, was eligible to be included in such zone but was not so included.  The commissioner may, at any time after the designation of an area as an enterprise zone, include in such zone any property which is located within one hundred fifty feet of a stream, the center line of which is the boundary of a census tract included in such zone, and which property contains an existing building or facility, having an area equal to or greater than one hundred thousand square feet, that is or was formerly used for manufacturing purposes but is underutilized or vacant at the time the property is included in such zone.  If the commissioner determines that the necessary data is not available from the most recent United States census, the commissioner may use such data as the commissioner deems appropriate.  The commissioner shall include in the designation of the enterprise zone in the city of Meriden the entire parcel of land bordered by Cook Avenue, Hanover Street, Perkins Street Square, and South Colony Street.


(b) Notwithstanding any provision of this section to the contrary, (1) any municipality which has an enterprise zone may with the approval of the commissioner, expand such enterprise zone by designating for inclusion in such zone one or more additional census tracts or contiguous portions of such census tract or tracts, provided such census tract or tracts are located in the municipality, are contiguous to the enterprise zone and meet the reduced criteria for contiguous census tracts in subsection (a) of this section, (2) any municipality which is contiguous to an enterprise zone which is located in another municipality may, with the approval of the commissioner, designate as an enterprise zone one or more census tracts or contiguous portions of such census tract or tracts, which are located in the municipality making such designation, provided such census tract or tracts meet the reduced criteria for contiguous census tracts in subsection (a) of this section and are contiguous to the enterprise zone located in the other municipality.  When approving such an expanded or new zone under this subsection, the commissioner shall consider the development rationale, proposed local effort and job creation potential of such expanded or new zone as demonstrated by the municipality and (3) any municipality which is contiguous to an enterprise zone which is located in another municipality may, with the approval of the commissioner and the legislative body of the municipality containing the enterprise zone, designate as an enterprise zone one or more census tracts or portions of such census tract or tracts that are contiguous to the enterprise zone in the other municipality, provided no municipality which designates an enterprise zone in this manner shall be considered to be a targeted investment community, as defined in 
section 32-222
, or an enterprise zone community.



(c) (1) On or before September 30, 1993, the Commissioner of Economic and Community Development shall approve the designation of ten areas as enterprise zones, not more than four of which shall be in municipalities with a population greater than eighty thousand and not more than six of which shall be in municipalities with a population of less than eighty thousand.


(2) (A) On or after October 1, 1993, the commissioner shall approve the designation of two areas as enterprise zones.  Each such area shall be in a municipality with a population of less than eighty thousand, in which there are one or more base or plant closures.  Such municipalities shall be in different counties.  If the commissioner approves the designation of an area of a municipality as an enterprise zone because of a plant closure in the municipality and there is a closure of another plant in any other municipality in the state by the same business, the commissioner shall also designate an area in such other municipality as an enterprise zone.  If any such designated area includes a portion of a census tract in which any such base or plant is located, the census tracts in such area shall not be required to meet the eligibility criteria set forth under subsection (a) of this section for enterprise zone designation.  If any such area is located elsewhere in the municipality, the census tracts in such area shall meet such eligibility criteria.  As used in this subparagraph, (i) “base” means any United States or state of Connecticut military base or facility located in whole or in part within the state;  (ii) “plant” means any manufacturing business or economic base business, as defined in 
section 32-222
;  and (iii) “closure” means any reduction or transfer in military personnel or civilian employment at one or more bases or plants in a municipality, which occurred between July 1, 1989, and July 1, 1993, or is scheduled to occur between July 1, 1993, and July 1, 1996, and exceeds two thousand persons.  Such employment figures shall be certified by the Labor Department.  (B) On or after October 1, 1993, the commissioner shall approve the designation of three other areas as enterprise zones, one of which shall be in a municipality with a population greater than eighty thousand and two of which shall be in municipalities with a population of less than eighty thousand.  The census tracts in such areas shall meet the eligibility criteria set forth under subsection (a) of this section for enterprise zone designation.  The commissioner shall approve the designation of enterprise zones under this subparagraph for those municipalities which he or she determines to have experienced the largest increases in poverty from October 1, 1989, to October 1, 1993, inclusive, based on a weighted average of the unemployment rate, caseload under the temporary family assistance program and per capita income of less than ninety per cent of the state average between 1985 and 1989.  In making his determination, the commissioner may also consider the vacancy rates for commercial and industrial facilities in a municipality and a municipality's program for the implementation of an effective enterprise zone program.  To the extent appropriate, the commissioner shall use the Regional Economic Models, Inc. (REMI) system in making the calculations for such determination.  (C) Notwithstanding the provisions of subsection (a) of this section, municipalities that were not distressed municipalities under the provisions of subsection (b) of 
section 32-9p
 on February 1, 1986, shall be eligible to designate areas as enterprise zones under subparagraph (A) or (B) of this subdivision.


(3) On or after July 1, 2014, the commissioner shall approve the designation of two areas as enterprise zones as follows:  (A) One area shall be in a municipality with a population of not more than fifty thousand, as enumerated in the 2010 federal decennial census, and in which is located a United States Postal Service processing center that at any point in time employed one thousand or more persons, except that such area shall only be designated as an enterprise zone for a term of five years from the date any portion of the area is transferred, provided such transfer occurs on or after July 1, 2014, and (B) one area shall be in a municipality with a population of not less than seven thousand eight hundred and not more than seven thousand nine hundred, as enumerated in the 2010 federal decennial census, and having a total area of not more than 12.2 square miles.  Each such enterprise zone area shall consist of two contiguous United States census tracts, contiguous portions of such census tracts or all or a portion of an individual census tract, as determined in accordance with the most recent federal decennial census and, if such area is covered by zoning, a portion of such area shall be zoned to allow commercial or industrial activity.  The census tracts in each such enterprise zone area shall not be required to meet the eligibility criteria set forth in subsection (a) of this section.  Notwithstanding the provisions of subsection (a) of this section, municipalities that were not distressed municipalities under the provisions of subsection (b) of 
section 32-9p
 on February 1, 1986, shall be eligible to designate areas as enterprise zones under this subdivision.


(4) The commissioner shall not approve the designation of more than one enterprise zone in any municipality.  The commissioner shall adopt regulations in accordance with chapter 54   4 concerning such additional qualifications for an area to become an enterprise zone as he or she deems necessary.  The commissioner may remove the designation of any area he or she has approved as an enterprise zone if such area no longer meets the criteria for designation as such an area set forth in this section or in regulations adopted pursuant to this section, provided no such designation shall be removed less than ten years from the original date of approval of such zone.  The commissioner may designate any additional area as an enterprise zone if that area is designated as an enterprise zone, empowerment zone or enterprise community pursuant to any federal legislation.



(c) (1) On or before September 30, 1993, the Commissioner of Economic and Community Development shall approve the designation of ten areas as enterprise zones, not more than four of which shall be in municipalities with a population greater than eighty thousand and not more than six of which shall be in municipalities with a population of less than eighty thousand.


(2) (A) On or after October 1, 1993, the commissioner shall approve the designation of two areas as enterprise zones.  Each such area shall be in a municipality with a population of less than eighty thousand, in which there are one or more base or plant closures.  Such municipalities shall be in different counties.  If the commissioner approves the designation of an area of a municipality as an enterprise zone because of a plant closure in the municipality and there is a closure of another plant in any other municipality in the state by the same business, the commissioner shall also designate an area in such other municipality as an enterprise zone.  If any such designated area includes a portion of a census tract in which any such base or plant is located, the census tracts in such area shall not be required to meet the eligibility criteria set forth under subsection (a) of this section for enterprise zone designation.  If any such area is located elsewhere in the municipality, the census tracts in such area shall meet such eligibility criteria.  As used in this subparagraph, (i) “base” means any United States or state of Connecticut military base or facility located in whole or in part within the state;  (ii) “plant” means any manufacturing business or economic base business, as defined in 
section 32-222
;  and (iii) “closure” means any reduction or transfer in military personnel or civilian employment at one or more bases or plants in a municipality, which occurred between July 1, 1989, and July 1, 1993, or is scheduled to occur between July 1, 1993, and July 1, 1996, and exceeds two thousand persons.  Such employment figures shall be certified by the Labor Department.  (B) On or after October 1, 1993, the commissioner shall approve the designation of three other areas as enterprise zones, one of which shall be in a municipality with a population greater than eighty thousand and two of which shall be in municipalities with a population of less than eighty thousand.  The census tracts in such areas shall meet the eligibility criteria set forth under subsection (a) of this section for enterprise zone designation.  The commissioner shall approve the designation of enterprise zones under this subparagraph for those municipalities which he or she determines to have experienced the largest increases in poverty from October 1, 1989, to October 1, 1993, inclusive, based on a weighted average of the unemployment rate, caseload under the temporary family assistance program and per capita income of less than ninety per cent of the state average between 1985 and 1989.  In making his determination, the commissioner may also consider the vacancy rates for commercial and industrial facilities in a municipality and a municipality's program for the implementation of an effective enterprise zone program.  To the extent appropriate, the commissioner shall use the Regional Economic Models, Inc. (REMI) system in making the calculations for such determination.  (C) Notwithstanding the provisions of subsection (a) of this section, municipalities that were not distressed municipalities under the provisions of subsection (b) of 
section 32-9p
 on February 1, 1986, shall be eligible to designate areas as enterprise zones under subparagraph (A) or (B) of this subdivision.


(3) On or after July 1, 2014, the commissioner shall approve the designation of two areas as enterprise zones as follows:  (A) One area shall be in a municipality with a population of not more than fifty thousand, as enumerated in the 2010 federal decennial census, and in which is located a United States Postal Service processing center that at any point in time employed one thousand or more persons, except that such area shall only be designated as an enterprise zone for a term of five years from the date any portion of the area is transferred, provided such transfer occurs on or after July 1, 2014, and (B) one area shall be in a municipality with a population of not less than seven thousand eight hundred and not more than seven thousand nine hundred, as enumerated in the 2010 federal decennial census, and having a total area of not more than 12.2 square miles.  Each such enterprise zone area shall consist of two contiguous United States census tracts, contiguous portions of such census tracts or all or a portion of an individual census tract, as determined in accordance with the most recent federal decennial census and, if such area is covered by zoning, a portion of such area shall be zoned to allow commercial or industrial activity.  The census tracts in each such enterprise zone area shall not be required to meet the eligibility criteria set forth in subsection (a) of this section.  Notwithstanding the provisions of subsection (a) of this section, municipalities that were not distressed municipalities under the provisions of subsection (b) of 
section 32-9p
 on February 1, 1986, shall be eligible to designate areas as enterprise zones under this subdivision.


(4) The commissioner shall not approve the designation of more than one enterprise zone in any municipality.  The commissioner shall adopt regulations in accordance with chapter 54   4 concerning such additional qualifications for an area to become an enterprise zone as he or she deems necessary.  The commissioner may remove the designation of any area he or she has approved as an enterprise zone if such area no longer meets the criteria for designation as such an area set forth in this section or in regulations adopted pursuant to this section, provided no such designation shall be removed less than ten years from the original date of approval of such zone.  The commissioner may designate any additional area as an enterprise zone if that area is designated as an enterprise zone, empowerment zone or enterprise community pursuant to any federal legislation.


(d) Each municipality seeking the approval of the Commissioner of Economic and Community Development for the designation of an area of the municipality as an enterprise zone shall file with the commissioner a preliminary application.  Not later than sixty days after receipt of such a preliminary application, the commissioner shall indicate to the municipality, in writing, any recommendations for improving the municipality's application.  Not later than sixty days after receipt of the commissioner's written response, the municipality shall file a final application with the commissioner.


(e) The Department of Economic and Community Development shall compile information on activities and programs which are conducted in enterprise zones approved by the commissioner before and after July 1, 1986, and shall serve as a resource center for the dissemination of such information upon request.
"
Connecticut General Statutes Title 7. Municipalities § 7-545. Definitions,https://codes.findlaw.com/ct/title-7-municipalities/ct-gen-st-sect-7-545.html,"
(a) As used in this section:

(1) “Secretary” means the Secretary of the Office of Policy and Management;


(2) “Municipality” means any town, consolidated town and city or consolidated town and borough;


(3) “Per capita income” for each town means that enumerated in the most recent federal decennial census of population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census, whichever is more recent and available on January first of the fiscal year two years prior to the fiscal year in which the eligibility index is prepared pursuant to subsection (b) of this section;


(4) “Adjusted equalized net grand list per capita” means the most recent adjusted equalized net grand list per capita determined for each town pursuant to 
section 10-261
;


(5) “Equalized mill rate” means the tax rate derived from the most recent available grand levy of a town divided by the equalized net grand list on which such levy is based as determined by the secretary in accordance with 
section 10-261a
;


(6) “Per capita temporary family assistance” means the number obtained by adding together the unduplicated aggregate number of children eligible to receive benefits by town under the temporary family assistance program in October and May of each fiscal year, and dividing by two, such number to be certified and submitted annually, no later than the first day of July of the succeeding fiscal year, to the secretary by the Commissioner of Social Services.  Such number shall be expressed as a percentage of the population of a town;


(7) “Unemployment rate” means the average unemployment rate of a town as reported by the Labor Commissioner on the first day of July for the latest available twelve-month period;


(8) “Eligibility index” is a measure of local burden determined by calculating a town's disparity in relation to all municipalities.  Points shall be allocated for each of the following factors:  (A) Per capita income, (B) adjusted equalized net grand list per capita, (C) equalized mill rate, (D) per capita temporary family assistance, and (E) unemployment rate.  For each factor the variance shall be the difference between the first percentile and the one-hundredth percentile town factors.   In calculating the eligibility index for unemployment rate, per capita temporary family assistance and equalized mill rate, the factor for the first percentile town shall be subtracted from the factor for the town and the result divided by the variance and multiplied by one hundred.  In calculating the eligibility index for per capita income and adjusted equalized net grand list per capita, the factor for the first percentile town shall be subtracted from the factor for the town and the result shall be divided by the variance and multiplied by one hundred.  The product of such multiplication shall then be subtracted from one hundred.  The index points for all factors shall be totalled by town resulting in the overall eligibility index.  The eligibility index listing shall be ranked for all towns from highest to lowest points according to need;


(9) “Public investment communities” are municipalities requiring financial assistance to offset their service burdens with eligibility defined as one which is in the top quartile of the “eligibility index” scale;


(10) “Grand levy” means the mill rate of the town multiplied by the net taxable grand list of the town and includes the value of special service districts if such districts contain fifty per cent or more of the value of total taxable property within the town;


(11) “Population” of a town means that enumerated in the most recent federal decennial census of the population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census available on January first of the fiscal year two years prior to the fiscal year in which the eligibility index is prepared pursuant to subsection (b) of this section, whichever is most recent, except that for any town whose enumerated population residing in state or federal institutions within such town and attributed to such town by the census exceeds forty per cent of the population of such town, “population” shall not include persons who are incarcerated or in custodial situations, including, but not limited to, jails, prisons, hospitals or training schools or persons who reside in dormitory facilities in schools, colleges, universities or military bases.



(1) “Secretary” means the Secretary of the Office of Policy and Management;


(2) “Municipality” means any town, consolidated town and city or consolidated town and borough;


(3) “Per capita income” for each town means that enumerated in the most recent federal decennial census of population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census, whichever is more recent and available on January first of the fiscal year two years prior to the fiscal year in which the eligibility index is prepared pursuant to subsection (b) of this section;


(4) “Adjusted equalized net grand list per capita” means the most recent adjusted equalized net grand list per capita determined for each town pursuant to 
section 10-261
;


(5) “Equalized mill rate” means the tax rate derived from the most recent available grand levy of a town divided by the equalized net grand list on which such levy is based as determined by the secretary in accordance with 
section 10-261a
;


(6) “Per capita temporary family assistance” means the number obtained by adding together the unduplicated aggregate number of children eligible to receive benefits by town under the temporary family assistance program in October and May of each fiscal year, and dividing by two, such number to be certified and submitted annually, no later than the first day of July of the succeeding fiscal year, to the secretary by the Commissioner of Social Services.  Such number shall be expressed as a percentage of the population of a town;


(7) “Unemployment rate” means the average unemployment rate of a town as reported by the Labor Commissioner on the first day of July for the latest available twelve-month period;


(8) “Eligibility index” is a measure of local burden determined by calculating a town's disparity in relation to all municipalities.  Points shall be allocated for each of the following factors:  (A) Per capita income, (B) adjusted equalized net grand list per capita, (C) equalized mill rate, (D) per capita temporary family assistance, and (E) unemployment rate.  For each factor the variance shall be the difference between the first percentile and the one-hundredth percentile town factors.   In calculating the eligibility index for unemployment rate, per capita temporary family assistance and equalized mill rate, the factor for the first percentile town shall be subtracted from the factor for the town and the result divided by the variance and multiplied by one hundred.  In calculating the eligibility index for per capita income and adjusted equalized net grand list per capita, the factor for the first percentile town shall be subtracted from the factor for the town and the result shall be divided by the variance and multiplied by one hundred.  The product of such multiplication shall then be subtracted from one hundred.  The index points for all factors shall be totalled by town resulting in the overall eligibility index.  The eligibility index listing shall be ranked for all towns from highest to lowest points according to need;


(9) “Public investment communities” are municipalities requiring financial assistance to offset their service burdens with eligibility defined as one which is in the top quartile of the “eligibility index” scale;


(10) “Grand levy” means the mill rate of the town multiplied by the net taxable grand list of the town and includes the value of special service districts if such districts contain fifty per cent or more of the value of total taxable property within the town;


(11) “Population” of a town means that enumerated in the most recent federal decennial census of the population or that enumerated in the current population report series issued by the United States Department of Commerce, Bureau of the Census available on January first of the fiscal year two years prior to the fiscal year in which the eligibility index is prepared pursuant to subsection (b) of this section, whichever is most recent, except that for any town whose enumerated population residing in state or federal institutions within such town and attributed to such town by the census exceeds forty per cent of the population of such town, “population” shall not include persons who are incarcerated or in custodial situations, including, but not limited to, jails, prisons, hospitals or training schools or persons who reside in dormitory facilities in schools, colleges, universities or military bases.


(b) On or before July 15, 1994, and annually thereafter, the secretary shall prepare the eligibility index for Connecticut municipalities.  A municipality shall continue to be a public investment community for the fiscal year in which such municipality is not included in the top quartile of the eligibility index scale and for the following four fiscal years.
"
Connecticut General Statutes Title 30. Intoxicating Liquors § 30-21. Hotel permit,https://codes.findlaw.com/ct/title-30-intoxicating-liquors/ct-gen-st-sect-30-21.html,"
(a) A hotel permit shall allow the retail sale of alcoholic liquor to be consumed on the premises of a hotel.  The annual fee for a hotel permit shall be as follows:  (1) In towns having a population according to the last-preceding United States census of not more than ten thousand, one thousand four hundred fifty dollars, (2) in towns having a population of more than ten thousand but not more than fifty thousand, one thousand eight hundred fifty dollars, and (3) in towns having a population of more than fifty thousand, two thousand six hundred fifty dollars.
