title,href,text
Kansas Statutes Chapter 11. Census § 11-201. Census or population figures;  use in application of statutes;  additional uses;  distribution of figures;  use of population figures established pursuant to 11-204 to 11-208,https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-201.html,"
(a) Except as otherwise provided in subsections (b) and (c), the most recent population figures available from the United States bureau of the census as certified to the secretary of state by the division of the budget on July 1 of each year shall be used for all purposes in the application of the statutes of this state. Whenever the use of the population figures or the census of the Kansas department of agriculture is referred to or designated by a statute, such reference or designation shall be deemed to mean the population figures certified to the secretary of state pursuant to this section. The city and county population figures certified to the secretary of state pursuant to this section shall be distributed by the division of the budget to the cities and counties of the state and to such other governmental entities as the division deems appropriate and shall be made available by the division upon request of any other person.
The population figures certified to the secretary of state pursuant to this section shall be disposed of in accordance with 
K.S.A. 75-3501 et seq.
, and amendments thereto.


(b) On July 1 of each year, the division of the budget shall distribute to the treasurer of each county and to the secretary of revenue a table showing the total population of the county, the total population of the county residing outside the boundaries of any incorporated city and the population of each incorporated city within the county, using the most recent information which is available from the United States bureau of the census and which provides actual or estimated population figures for both cities and counties as of the same date. Such table shall be used as the basis for apportioning revenue from any countywide retailers' sales tax pursuant to 
K.S.A. 12-192
, and amendments thereto.


(c) Population figures established by the enumeration authorized under 
K.S.A. 11-204
 to 
11-208
, and amendments thereto, shall be used only as a basis for the reapportionment of any state legislative districts, reapportionment of which is authorized pursuant to 
section 1 of article 10 of the constitution of the state of Kansas
, in the year 1989, and for such other purposes as shall be specifically authorized by 
K.S.A. 11-204
, and amendments thereto.
"
Kansas Statutes Chapter 11. Census,https://codes.findlaw.com/ks/chapter-11-census/,
Kansas Statutes Chapter 11. Census § 11-209. Secretary of state liaison with federal bureau of census,https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-209.html,
"Kansas Statutes Chapter 11. Census § 11-204. Enumeration of residents of state as of January 1, 1988;  conduct;  certification;  use of census information",https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-204.html,"
(a) An enumeration of the residents of the state of Kansas shall be taken as of January 1, 1988. Such enumeration shall be conducted by the secretary of state in accordance with the provisions of this act and rules and regulations adopted by the secretary for such purposes. Such enumeration shall be made upon forms prescribed by the secretary but shall include only such information as may be required to enumerate the residents of this state for the purposes of reapportioning state senatorial and representative districts.


(b) On and after the effective date of this act and prior to April 1, 1991, population figures established by such enumeration may be used for the purpose of reapportioning county commissioner districts, and for the purpose of apportioning or reapportioning districts from which members of a city governing body are to be elected. In addition the secretary of state may provide statistical information derived from enumeration or census data to political and taxing subdivisions of the state upon request. Such information only shall include the age and sex of inhabitants of each city, ward and precinct located in the political or taxing subdivisions and shall be designed to prevent identification of specific individuals. Such information shall be used by the political or taxing subdivision only for projecting changes in population for planning purposes. The secretary of state shall establish a schedule of reasonable fees to be charged to political and taxing subdivisions requesting such information which will reimburse the office of the secretary for costs incurred in providing the same.


(c) The secretary of state may permit the director of the bureau of the census of the United States, or the proper official or authorized representatives of the director, to inspect the enumeration or census records and the secretary of state may make available or furnish to the director of the bureau of the census of the United States, or the proper official or authorized representatives of the director, information contained in any enumeration or census records, as the secretary may consider proper, but such information shall not be used for any other purpose than the administration of the census laws of the United States as set forth in Title 13 of the United States Code and all such information made available or furnished to the director of the bureau of the census of the United States, or the proper official or authorized representatives of the director, shall be subject to the confidentiality provisions of Title 13 of the United States Code.


(d) The secretary of state shall certify the census to the legislature by county, ward and precinct not later than November 1, 1988.
"
Kansas Statutes Chapter 11. Census § 11-301. Census data for reapportionment of senatorial and representative districts;  adjustment of federal census,https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-301.html,
Kansas Statutes Chapter 11. Census § 11-321. Data used for congressional redistricting,https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-321.html,
Kansas Statutes Chapter 11. Census § 11-304. Data used for legislative redistricting;  adjustment,https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-304.html,"
(a) The secretary of state shall obtain decennial census information obtained by the United States bureau of the census for each county, city, precinct and part of a precinct that is given an identifying code. The secretary of state shall adjust each piece of such information, and adjust each and all of the same in an organized manner to carry out the provisions of 
K.S.A. 11-301
, and amendments thereto. When such information is so organized, the secretary of state shall present the adjusted federal census information to the legislature, but not later than July 31 in the year following each federal decennial census.


(b) The census information obtained by the secretary of state for the purposes of subsection (a) shall be identical to the data from the actual enumeration conducted by the United States bureau of the census and used for the apportionment of representatives of the United States house of representatives. The secretary of state shall not use bureau of the census counts derived by any other means, including the use of statistical sampling, to add or subtract population by inference.
"
"Kansas Statutes Chapter 11. Census § 11-202. Counties, cities, townships;  census authorization",https://codes.findlaw.com/ks/chapter-11-census/ks-st-sect-11-202.html,
Kansas Statutes Chapter 65. Public Health § 65-243. Same;  application for assistance;  population figures;  rules and regulations,https://codes.findlaw.com/ks/chapter-65-public-health/ks-st-sect-65-243.html,"
(a) The governing board of any local health department may apply for the financial assistance provided under 
K.S.A. 65-242
 and amendments thereto, by submitting annually to the secretary an application form provided by the secretary and such other information as the secretary may require.


(b) The secretary shall use official state population figures based upon population figures available from the United States bureau of the census to determine the population of counties for computing state financial assistance under 
K.S.A. 65-242
 and amendments thereto.


(c) The secretary may adopt rules and regulations necessary for the administration of this act.
"
Kansas Statutes Chapter 15. Cities of the Third Class § 15-105. Composition of council;  census,https://codes.findlaw.com/ks/chapter-15-cities-of-the-third-class/ks-st-sect-15-105.html,
