title,href,text
"Kentucky Revised Statutes Title IX. Counties, Cities, and Other Local Units § 83A.022. Powers and duties of city’s established population criteria not lost because of subsequent census population change or court judgment",https://codes.findlaw.com/ky/title-ix-counties-cities-and-other-local-units/ky-rev-st-sect-83a-022.html,
Kentucky Revised Statutes Title XII. Conservation and State Development § 154.23-015. Certification of qualified zones;  use of census tracts;  decertification of census tracts;  replacement of decertified noncontiguous tract with other qualifying census tract,https://codes.findlaw.com/ky/title-xii-conservation-and-state-development/ky-rev-st-sect-154-23-015.html,"
(1)  Upon written application by a county, urban-county government, or city of the first class, the authority shall certify one (1) to five (5) contiguous census tracts or a county certified by the authority in accordance with 
KRS 154.22-040
 as a qualified zone.  In the case of certification based on one (1) to five (5) contiguous census tracts, each census tract shall independently meet each of the following criteria, as verified by the Office of Employment and Training within the Department of Workforce Investment in the Education and Workforce Development Cabinet:

(a) A minimum total poverty rate of one hundred fifty percent (150%) of the United States poverty rate as determined by the most recent decennial census;


(b) An unemployment rate that exceeds the statewide unemployment rate as determined on the basis of the most recent decennial census;  and


(c) A minimum population density of two hundred percent (200%) of the average Kentucky census tract population density as determined by the most recent decennial census.



(a) A minimum total poverty rate of one hundred fifty percent (150%) of the United States poverty rate as determined by the most recent decennial census;


(b) An unemployment rate that exceeds the statewide unemployment rate as determined on the basis of the most recent decennial census;  and


(c) A minimum population density of two hundred percent (200%) of the average Kentucky census tract population density as determined by the most recent decennial census.


(2)  Census tract information shall be based upon United States census data as set forth in the most recent edition of Census of Population and Housing:  Population and Housing Characteristics for Census Tracts and Block Numbering Areas published by the United States Bureau of the Census.


(3)  The authority shall certify no more than one (1) qualified zone within each county of the Commonwealth, except in the case of a county certified under 
KRS 154.22-040
, the entire county shall constitute the qualified zone.


(4)  A qualified zone shall commence on the date of certification by the authority and continue thereafter, except that at the time new decennial census data becomes available, the authority shall decertify any census tract that no longer meets the criteria of subsection (1) of this section for qualified zone status.  The authority shall not give preliminary approval to any project in a decertified census tract.  An approved company whose project is located in a decertified census tract shall not be eligible for the inducements offered by 
KRS 154.23-005
 to 
154.23-079
, unless the tax incentive agreement or service and technology agreement is entered into by all parties prior to July 1 of the year following the calendar year in which the authority decertified that tract.


(5)  If decertification causes a formerly certified contiguous census tract to become noncontiguous, the applicant shall have the discretion to eliminate or maintain the noncontiguous tract.  If the applicant eliminates the noncontiguous tract, it may replace the noncontiguous tract with another qualifying census tract, subject to approval of the authority.


(6)  A county, urban-county government, or city of the first class shall have no authority to request decertification of a census tract, and any addition of a census tract requested by a county, urban-county government, or city of the first class under 
KRS 154.23-020
 shall be contiguous to a census tract that continues to meet the criteria under this section.


(7)  The authority shall pay its costs of counsel relating to zone certification.
"
"Kentucky Revised Statutes Title VIII. Offices and Officers § 64.347. Population, how determined;  effect of change of population during term of officer",https://codes.findlaw.com/ky/title-viii-offices-and-officers/ky-rev-st-sect-64-347.html,
"Kentucky Revised Statutes Title IX. Counties, Cities, and Other Local Units § 81.006. Certification of city’s population if different than shown on most recent federal decennial census",https://codes.findlaw.com/ky/title-ix-counties-cities-and-other-local-units/ky-rev-st-sect-81-006.html,"
(1)  If the General Assembly establishes a population requirement for cities and bases that population requirement upon the most recent federal decennial census, a city may file a petition with the circuit clerk of the county in which the city, or the largest part of the city, is contained, if the city is in more than one (1) county, and, as a consequence, more than one (1) judicial circuit, to certify the city's population at a number different than shown by the most recent federal decennial census.


(2)  The petition shall be presented in the form of a resolution passed by the city legislative body and shall contain:

(a) An accurate map of the city;


(b) An affidavit certifying new growth of the city that may be through any of the following:

1. Annexation since the most recent federal decennial census;


2. Property valuation records;


3. Population counts conducted by the city, or by a person contracted with the city;


4. Census estimates of the United States Bureau of Census;  and


5. Any other data that the city may provide to certify the additional growth of the city since the most recent federal decennial census.




(a) An accurate map of the city;


(b) An affidavit certifying new growth of the city that may be through any of the following:

1. Annexation since the most recent federal decennial census;


2. Property valuation records;


3. Population counts conducted by the city, or by a person contracted with the city;


4. Census estimates of the United States Bureau of Census;  and


5. Any other data that the city may provide to certify the additional growth of the city since the most recent federal decennial census.



1. Annexation since the most recent federal decennial census;


2. Property valuation records;


3. Population counts conducted by the city, or by a person contracted with the city;


4. Census estimates of the United States Bureau of Census;  and


5. Any other data that the city may provide to certify the additional growth of the city since the most recent federal decennial census.


(3)  The petition shall be docketed for hearing not less than sixty (60) days from the date of filing the petition.  Notice of the filing of the petition and of its object shall be given by publication pursuant to KRS Chapter 424.


(4)  At the hearing, the court shall, if the proper notice has been given and publication made and no defense is interposed, enter a judgment declaring the city's population as requested by the petition filed pursuant to this section, if the court finds that the information provided pursuant to subsection (2) of this section is accurate.


(5)  Defense may be made to the petition by any resident of the city and, if so, the court shall hear and determine the same, and render a judgment either declaring the city's population as requested by the petition, or by refusing to declare the city's population as requested by the petition.  If the court refuses to declare the city's population as requested by the petition, then the population as determined by the most recent federal decennial census shall remain effective for determining the city's population pursuant to the requirements in state law.  If the court finds in favor of the petitioners, the court shall in the judgment direct the clerk of the court wherein the judgment is entered to, not later than ten (10) days thereafter, certify a copy thereof to the county clerk who shall properly index and file the judgment as a permanent record in his office.


(6)  A judgment of the court of the city's population shall be used to determine the city's population for any population requirements established by the General Assembly wherein the most recent federal decennial census is used to measure the population of a city.


(7)  At the time of the federal decennial census next following any judgment of the court finding the city's population to be different than that of the federal decennial census, the judgment shall expire and that population determination of the most recent federal decennial census shall be used to determine the population for any population requirements established by the General Assembly until such time a city petitions the court for a determination of population under the provisions of this section.
"
"Kentucky Revised Statutes Title VIII. Offices and Officers § 64.346. County contribution toward office expenses of clerks, sheriffs, and jailers in counties having population of 70,000 or more;  applicability of KRS 64.368 if population decreases below 70,000",https://codes.findlaw.com/ky/title-viii-offices-and-officers/ky-rev-st-sect-64-346.html,"
(1)  The fiscal court in counties containing a population of seventy thousand (70,000) or over may authorize and pay out of the general fund of the county for any expenditures which, in its discretion, are deemed necessary for the efficient operation of the offices of the county and Circuit Court clerk, sheriff, and jailer.


(2)  If a county's population that equaled or exceeded seventy thousand (70,000) is less than seventy thousand (70,000) after the most recent federal decennial census, then the provisions of 
KRS 64.368
 shall apply.
"
"Kentucky Revised Statutes Title VIII. Offices and Officers § 64.368. Clerks and sheriffs in counties whose population drops below 70,000",https://codes.findlaw.com/ky/title-viii-offices-and-officers/ky-rev-st-sect-64-368.html,
"Kentucky Revised Statutes Title XV. Roads, Waterways, and Aviation § 177.366. Allocation of municipal aid funds;  apportionments to be made on basis of revenue estimates;  uniform financial information report",https://codes.findlaw.com/ky/title-xv-roads-waterways-and-aviation/ky-rev-st-sect-177-366.html,"
(1)  Except as provided in subsection (8) of this section, on and after July 1, 1980, the Finance and Administration Cabinet shall allocate to each incorporated city and “unincorporated urban place” its pro rata share of the funds set apart for construction, reconstruction, and maintenance of urban roads and streets on the basis of the ratio which the population in the incorporated cities and in “unincorporated urban places” bears to the total population in incorporated cities and in “unincorporated urban places” of the state.  “Unincorporated urban places” as used here, means an area as defined in 
KRS 81.015
, and any area outside of incorporated cities, which area has a population of 2,500 or more as shown by the most recent decennial census of the United States Bureau of the Census, and all populations shall be determined by the most recent decennial census of the United States.


(2)  Any area which becomes incorporated after December 31, 1970, shall not be eligible to participate in the Municipal Aid Program until the beginning of the second fiscal year following its incorporation and population certification.  It shall be the responsibility of the newly incorporated area to provide the Finance and Administration Cabinet with documentation from the United States Bureau of the Census showing the population of the newly incorporated area as it existed at the time of the last decennial census.


(3)  In the event the newly incorporated area cannot obtain a population count from the Bureau of the Census, it shall not be eligible to participate in the Municipal Aid Program until the next decennial census.


(4)  If an incorporated city, whose incorporation took place prior to December 31, 1970, annexes additional area, the population of the annexed area will not be counted in the allocation of municipal aid funds until the beginning of the second fiscal year following annexation and population certification.


(5)  It shall be the responsibility of the incorporated city to provide the Finance and Administration Cabinet with documentation from the United States Bureau of the Census showing the population for the annexed area as it existed at the time of the last decennial census.


(6)  If the incorporated area cannot obtain a population count from the Bureau of the Census, the annexed area's population shall not be eligible to be counted in the distribution of the municipal aid fund.  However, the streets included in the annexed areas shall be eligible to receive work through this program.


(7)  Apportionments as required by the provisions of this section shall be made on the basis of revenue estimates supplied by the Office of State Budget Director and shall be adjusted quarterly in accordance with the most recent revision of the estimates by the Office of State Budget Director.


(8)  Any local government eligible to receive municipal road aid moneys pursuant to 
KRS 177.365
 to 
177.369
 shall be required to submit a uniform financial information report to the Department for Local Government pursuant to 
KRS 65.905
 before any payment of municipal road aid funds shall be made.  The Department for Local Government shall notify the Finance and Administration Cabinet no later than March 1 annually of any local government that has not submitted a uniform financial information report.  The Finance and Administration Cabinet shall, upon notification by the Department for Local Government, immediately suspend all municipal road aid moneys to the local government until the local government complies with the provisions of 
KRS 65.900
 to 
65.925
 and submits the uniform financial information report to the Department for Local Government.  The Department for Local Government shall immediately notify the Finance and Administration Cabinet to reinstate municipal road aid moneys to any local government affected by this subsection as soon as the local government submits the uniform financial information report.
"
"Kentucky Revised Statutes Title XV. Roads, Waterways, and Aviation § 177.360. Allocation of funds for state-maintained roads;  apportionments to be made on basis of revenue estimates;  uniform financial information report required",https://codes.findlaw.com/ky/title-xv-roads-waterways-and-aviation/ky-rev-st-sect-177-360.html,"
(1)  Except as provided in subsection (5) of this section, the Department of Rural and Municipal Aid shall allocate the funds set apart under 
KRS 177.320(1)
 for construction, reconstruction, and maintenance of state-maintained secondary and rural highways as follows:

(a) One-fifth (1/5) shall be apportioned equally among the one hundred twenty (120) counties.


(b) One-fifth (1/5) shall be apportioned among the one hundred twenty (120) counties on the basis of the ratio which the rural population of each county bears to the total rural population of the state.  “Rural population” as used here means the population in a county outside cities, towns, and urban areas having a population of twenty-five hundred (2,500) or more as shown by the most recent decennial census of the United States Bureau of the Census, and county population shall be determined by the most recent decennial census of the United States Bureau of the Census.


(c) One-fifth (1/5) shall be apportioned among the one hundred twenty (120) counties on the basis of the ratio that the public road mileage outside of cities, towns, and urban areas having a population of twenty-five hundred (2,500) or more bears to the total mileage of such roads for the entire state.


(d) Two-fifths (2/5) shall be apportioned among the one hundred twenty (120) counties on the basis of the ratio which the square-mile rural area of the county bears to the total square-mile rural area of the state.  “Rural area” as used here means that area of the county outside of cities, towns, and urban areas having a population of twenty-five hundred (2,500) or more and shown by the most recent decennial census of the United States Bureau of the Census.



(a) One-fifth (1/5) shall be apportioned equally among the one hundred twenty (120) counties.


(b) One-fifth (1/5) shall be apportioned among the one hundred twenty (120) counties on the basis of the ratio which the rural population of each county bears to the total rural population of the state.  “Rural population” as used here means the population in a county outside cities, towns, and urban areas having a population of twenty-five hundred (2,500) or more as shown by the most recent decennial census of the United States Bureau of the Census, and county population shall be determined by the most recent decennial census of the United States Bureau of the Census.


(c) One-fifth (1/5) shall be apportioned among the one hundred twenty (120) counties on the basis of the ratio that the public road mileage outside of cities, towns, and urban areas having a population of twenty-five hundred (2,500) or more bears to the total mileage of such roads for the entire state.


(d) Two-fifths (2/5) shall be apportioned among the one hundred twenty (120) counties on the basis of the ratio which the square-mile rural area of the county bears to the total square-mile rural area of the state.  “Rural area” as used here means that area of the county outside of cities, towns, and urban areas having a population of twenty-five hundred (2,500) or more and shown by the most recent decennial census of the United States Bureau of the Census.


(2)  A sum not exceeding six percent (6%) of the allocation provided by 
KRS 177.320(1)
 to each county shall be deducted at the beginning of each fiscal year and adjusted quarterly to cover the maintenance, administrative, engineering, and other costs of the program.


(3)  Of the total amount apportioned by the provisions of this section, a sum not exceeding six percent (6%) may be deducted and placed by the Department of Rural and Municipal Aid in a special emergency account to be expended at the direction of the commissioner to meet unforeseen emergencies on rural and secondary roads and bridges.


(4)  Apportionments as required by the provisions of this section shall be made on the basis of revenue estimates supplied by the Finance and Administration Cabinet and adjusted quarterly in accordance with the most recent revision of the estimates by the Finance and Administration Cabinet.


(5)  Any county eligible to receive county road aid moneys in accordance with 
KRS 177.320
 and this section shall be required to submit a uniform financial information report to the Department for Local Government in accordance with 
KRS 65.905
 before any payment of county road aid funds shall be made.  The Department for Local Government shall notify the Department of Rural and Municipal Aid no later than March 1 annually of any county that has not submitted a uniform financial information report.  The Department of Rural and Municipal Aid shall, upon notification by the Department for Local Government, immediately suspend all county road aid moneys to the county until the county complies with the provisions of 
KRS 65.900
 to 
65.925
 and submits the uniform financial information report to the Department for Local Government.  The Department for Local Government shall immediately notify the Department of Rural and Municipal Aid to reinstate county road aid moneys to any county affected by this subsection as soon as the county submits the uniform financial information report.
"
"Kentucky Revised Statutes Title IX. Counties, Cities, and Other Local Units § 68.199. County that attains population of 30,000;  credit against occupational license fee;  voluntary credit;  new fee or increase in fee",https://codes.findlaw.com/ky/title-ix-counties-cities-and-other-local-units/ky-rev-st-sect-68-199.html,"
(1)  Notwithstanding the provisions of 
KRS 68.197(7)
, a county that enacts an occupational license fee under the authority of 
KRS 67.083
 prior to attaining a population of thirty thousand (30,000) shall not be required to allow a credit against the county occupational license fee for an occupational license fee paid to a city within the county when it is determined that the population of the county exceeds thirty thousand (30,000).


(2)  If prior to July 15, 2002, a county voluntarily granted a credit against the county occupational license fee under the terms of an ordinance, interlocal agreement, or other agreement with a city, the county shall not eliminate the credit after it is determined that the population of the county exceeds thirty thousand (30,000).


(3)  After July 15, 2002, a county that enacts a new county occupational license fee or increases a county occupational license fee, after it is determined that the county population exceeds thirty thousand (30,000), shall be required to allow the credit against the city fee required by 
KRS 68.197(7)
 to the extent of the increase or new fee.


(4)  For purposes of this section, the county population shall be determined based only on the official decennial census by the United States Bureau of the Census.
"
"Kentucky Revised Statutes Title IX. Counties, Cities, and Other Local Units § 76.010. Joint metropolitan sewer district authorized in cities with population of 20,000 or more and counties containing such cities;  corporate powers",https://codes.findlaw.com/ky/title-ix-counties-cities-and-other-local-units/ky-rev-st-sect-76-010.html,
