title,href,text
Montana Title 15. Taxation § 15-70-101. Disposition of funds,https://codes.findlaw.com/mt/title-15-taxation/mt-code-ann-sect-15-70-101.html,"
(1) Those funds allocated to cities, towns, counties, and consolidated city-county governments in this section must, in accordance with the provisions of 
17-2-124
, be paid by the department from the highway restricted account provided for in 
15-70-126
 to the cities, towns, counties, and consolidated city-county governments.


(2) The amount of $16,816,000 of the taxes collected under this chapter and deposited in the highway restricted account in 
15-70-126
 is statutorily appropriated, as provided in 
17-7-502
, to the department of transportation and must be distributed each fiscal year on a monthly basis to the counties, incorporated cities and towns, and consolidated city-county governments in Montana for construction, reconstruction, maintenance, and repair of rural roads and city or town streets and alleys, as provided in subsections (2)(a) through (2)(c), as follows:

(a) The amount of $150,000 must be designated for the purposes and functions of the Montana local technical assistance transportation program in Bozeman.


(b) The amount of $6,306,000 must be divided among the various counties in the following manner:

(i) 40% in the ratio that the rural road mileage in each county, exclusive of the national highway system and the primary system, bears to the total rural road mileage in the state, exclusive of the national highway system and the primary system;


(ii) 40% in the ratio that the rural population in each county outside incorporated cities and towns bears to the total rural population in the state outside incorporated cities and towns;


(iii) 20% in the ratio that the land area of each county bears to the total land area of the state.



(c) The amount of $10,360,000 must be divided among the incorporated cities and towns in the following manner:

(i) 50% of the sum in the ratio that the population within the corporate limits of the city or town bears to the total population within corporate limits of all the cities and towns in Montana;


(ii) 50% in the ratio that the city or town street and alley mileage, exclusive of the national highway system and the primary system, within corporate limits bears to the total street and alley mileage, exclusive of the national highway system and primary system, within the corporate limits of all cities and towns in Montana.




(a) The amount of $150,000 must be designated for the purposes and functions of the Montana local technical assistance transportation program in Bozeman.


(b) The amount of $6,306,000 must be divided among the various counties in the following manner:

(i) 40% in the ratio that the rural road mileage in each county, exclusive of the national highway system and the primary system, bears to the total rural road mileage in the state, exclusive of the national highway system and the primary system;


(ii) 40% in the ratio that the rural population in each county outside incorporated cities and towns bears to the total rural population in the state outside incorporated cities and towns;


(iii) 20% in the ratio that the land area of each county bears to the total land area of the state.



(i) 40% in the ratio that the rural road mileage in each county, exclusive of the national highway system and the primary system, bears to the total rural road mileage in the state, exclusive of the national highway system and the primary system;


(ii) 40% in the ratio that the rural population in each county outside incorporated cities and towns bears to the total rural population in the state outside incorporated cities and towns;


(iii) 20% in the ratio that the land area of each county bears to the total land area of the state.


(c) The amount of $10,360,000 must be divided among the incorporated cities and towns in the following manner:

(i) 50% of the sum in the ratio that the population within the corporate limits of the city or town bears to the total population within corporate limits of all the cities and towns in Montana;


(ii) 50% in the ratio that the city or town street and alley mileage, exclusive of the national highway system and the primary system, within corporate limits bears to the total street and alley mileage, exclusive of the national highway system and primary system, within the corporate limits of all cities and towns in Montana.



(i) 50% of the sum in the ratio that the population within the corporate limits of the city or town bears to the total population within corporate limits of all the cities and towns in Montana;


(ii) 50% in the ratio that the city or town street and alley mileage, exclusive of the national highway system and the primary system, within corporate limits bears to the total street and alley mileage, exclusive of the national highway system and primary system, within the corporate limits of all cities and towns in Montana.



(3)(a) For the purpose of allocating the funds in subsections (2)(b) and (2)(c) to a consolidated city-county government, each entity must be considered to have separate city and county boundaries.  The city limit boundaries are the last official city limit boundaries for the former city unless revised boundaries based on the location of the urban area have been approved by the department of transportation and must be used to determine city and county populations and road mileages in the following manner:

(i) Percentage factors must be calculated to determine separate populations for the city and rural county by using the last official decennial federal census population figures that recognized an incorporated city and the rural county.  The factors must be based on the ratio of the city to the rural county population, considering the total population in the county minus the population of any other incorporated city or town in the county.


(ii) The city and county populations must be calculated by multiplying the total county population, as determined by the latest official decennial census or the latest interim year population estimates from the Montana department of commerce as supplied by the United States bureau of the census, minus the population of any other incorporated city or town in that county, by the factors established in subsection (3)(a)(i).



(b) The amount allocated by this method for the city and the county must be combined, and single monthly payments must be made to the consolidated city-county government.



(3)(a) For the purpose of allocating the funds in subsections (2)(b) and (2)(c) to a consolidated city-county government, each entity must be considered to have separate city and county boundaries.  The city limit boundaries are the last official city limit boundaries for the former city unless revised boundaries based on the location of the urban area have been approved by the department of transportation and must be used to determine city and county populations and road mileages in the following manner:

(i) Percentage factors must be calculated to determine separate populations for the city and rural county by using the last official decennial federal census population figures that recognized an incorporated city and the rural county.  The factors must be based on the ratio of the city to the rural county population, considering the total population in the county minus the population of any other incorporated city or town in the county.


(ii) The city and county populations must be calculated by multiplying the total county population, as determined by the latest official decennial census or the latest interim year population estimates from the Montana department of commerce as supplied by the United States bureau of the census, minus the population of any other incorporated city or town in that county, by the factors established in subsection (3)(a)(i).



(i) Percentage factors must be calculated to determine separate populations for the city and rural county by using the last official decennial federal census population figures that recognized an incorporated city and the rural county.  The factors must be based on the ratio of the city to the rural county population, considering the total population in the county minus the population of any other incorporated city or town in the county.


(ii) The city and county populations must be calculated by multiplying the total county population, as determined by the latest official decennial census or the latest interim year population estimates from the Montana department of commerce as supplied by the United States bureau of the census, minus the population of any other incorporated city or town in that county, by the factors established in subsection (3)(a)(i).


(b) The amount allocated by this method for the city and the county must be combined, and single monthly payments must be made to the consolidated city-county government.


(4) All funds allocated by this section to counties, cities, towns, and consolidated city-county governments must be used for the construction, reconstruction, maintenance, and repair of rural roads or city or town streets and alleys or for the share that the city, town, county, or consolidated city-county government might otherwise expend for proportionate matching of federal funds allocated for the construction of roads or streets that are part of the primary or secondary highway system or urban extensions to those systems.  The governing body of a town or third-class city, as defined in 
7-1-4111
, may each year expend no more than 25% of the funds allocated to that town or third-class city for the purchase of capital equipment and supplies to be used for the maintenance and repair of town or third-class city streets and alleys.  The governing body of a town or third-class city may place all or a part of the 25% in a restricted asset account within the gas tax apportionment fund that is carried forward until there is a need for the expenditure.


(5) All funds allocated by this section to counties, cities, towns, and consolidated city-county governments must be disbursed to the lowest responsible bidder according to applicable bidding procedures followed in all cases in which the contract for construction, reconstruction, maintenance, or repair is in excess of the amounts provided in 
7-5-2301
 and 
7-5-4302
.


(6) For the purposes of this section in which distribution of funds is made on a basis related to population, the population must be determined annually for counties and biennially for cities according to the latest official decennial census or the latest interim year population estimates from the Montana department of commerce as supplied by the United States bureau of the census.


(7) For the purposes of this section in which determination of mileage is necessary for distribution of funds, it is the responsibility of the cities, towns, counties, and consolidated city-county governments to furnish to the department of transportation a yearly certified statement indicating the total mileage within their respective areas applicable to this chapter.  All mileage submitted is subject to review and approval by the department of transportation.


(8) Except by a town or third-class city as provided in subsection (4), the funds authorized by this section may not be used for the purchase of capital equipment.


(9) Funds authorized by this section must be used for construction and maintenance programs.
"
Montana Title 16. Alcohol and Tobacco § 16-4-502. Census,https://codes.findlaw.com/mt/title-16-alcohol-and-tobacco/mt-code-ann-sect-16-4-502.html,
Montana Title 60. Highways and Transportation § 60-3-211. Apportionment of state funds to urban highway system,https://codes.findlaw.com/mt/title-60-highways-and-transportation/mt-code-ann-sect-60-3-211.html,"
(1) Each fiscal year, the department shall apportion the federal-aid highway funds allocated for the urban highway system to the urban areas in the state as delineated and reported in the latest federal census with populations of 5,000 or more in the ratio of urban population in each urban area to the total urban population in all urban areas in the state.


(2) For the purpose of this section, “urban population” is defined as population within the urban area, as reported in the latest federal census, with a population of 5,000 or more and that population within the adjusted and federal highway administration-approved fringe areas based on the latest federal census.


(3) To the extent necessary to permit orderly programming and construction of projects, obligations in any urban area may exceed the amount apportioned to that urban area.  The amount of any excess obligations must be deducted from future apportionments to that urban area.
"
Montana Title 60. Highways and Transportation § 60-3-206. Apportionment of funds to secondary highway system,https://codes.findlaw.com/mt/title-60-highways-and-transportation/mt-code-ann-sect-60-3-206.html,"
(1) Each fiscal year the department shall apportion at least 65% of the federal-aid highway funds allocated for the secondary highway system among the districts for capital construction needs. The remainder of the funds must be used by the department for secondary highway system pavement preservation. The proportion that each district receives is computed on the following basis:

(a) 30% in the ratio of land area in each district to the total land area in the state;


(b) 35% in the ratio of the rural population in each district to the total rural population in the state;


(c) 30% in the ratio of the rural road mileage in each district to the total rural road mileage in the state;


(d) 5% in the ratio of the rural bridge square footage in each district to the total rural bridge square footage in the state.



(a) 30% in the ratio of land area in each district to the total land area in the state;


(b) 35% in the ratio of the rural population in each district to the total rural population in the state;


(c) 30% in the ratio of the rural road mileage in each district to the total rural road mileage in the state;


(d) 5% in the ratio of the rural bridge square footage in each district to the total rural bridge square footage in the state.


(2) To the extent necessary to permit orderly programming and construction of projects, obligations in a district may exceed the amount apportioned to that district if a majority of the boards of county commissioners of the counties in another district approve the donation of the extra amount. The amount of excess obligations must be deducted from future apportionments to that recipient district and returned to the donor district.


(3) For the purposes of this section, terms are defined as follows:

(a) “Capital construction” means a highway or bridge project undertaken to improve structural strength, increase capacity, or eliminate hazardous design features. A capital construction project may include paved or gravel road reconstruction and rehabilitation.


(b) “District” means the transportation commission districts identified in 
2-15-2502
.


(c) “Pavement preservation” means a project undertaken to extend the useful life of a paved road.


(d) “Rural bridge square footage” means the total square footage of all deck areas of structures 20 feet long or longer located on the roadways that are used to calculate rural road mileage as provided in subsection (3)(f).


(e) “Rural population” means the total population of all of the counties in a district as reported in the latest decennial federal census less the population in cities over 5,000 persons and their unincorporated fringe urban areas as determined by the department, using the latest decennial federal census.



(f)(i) “Rural road mileage” means all road mileage on roads functionally classified and approved by the transportation commission as major collectors or minor arterials, exclusive of road mileage on the primary highway system.


(ii) Road mileage within national parks or road mileage that lies within incorporated cities over 5,000 persons and their unincorporated fringe urban areas, whose population is determined by the department, using the latest decennial federal census, is not considered rural road mileage.


(iii) Rural road mileage reported by the road inventory of the department must be used in determining rural road mileage.




(a) “Capital construction” means a highway or bridge project undertaken to improve structural strength, increase capacity, or eliminate hazardous design features. A capital construction project may include paved or gravel road reconstruction and rehabilitation.


(b) “District” means the transportation commission districts identified in 
2-15-2502
.


(c) “Pavement preservation” means a project undertaken to extend the useful life of a paved road.


(d) “Rural bridge square footage” means the total square footage of all deck areas of structures 20 feet long or longer located on the roadways that are used to calculate rural road mileage as provided in subsection (3)(f).


(e) “Rural population” means the total population of all of the counties in a district as reported in the latest decennial federal census less the population in cities over 5,000 persons and their unincorporated fringe urban areas as determined by the department, using the latest decennial federal census.



(f)(i) “Rural road mileage” means all road mileage on roads functionally classified and approved by the transportation commission as major collectors or minor arterials, exclusive of road mileage on the primary highway system.


(ii) Road mileage within national parks or road mileage that lies within incorporated cities over 5,000 persons and their unincorporated fringe urban areas, whose population is determined by the department, using the latest decennial federal census, is not considered rural road mileage.


(iii) Rural road mileage reported by the road inventory of the department must be used in determining rural road mileage.



(f)(i) “Rural road mileage” means all road mileage on roads functionally classified and approved by the transportation commission as major collectors or minor arterials, exclusive of road mileage on the primary highway system.


(ii) Road mileage within national parks or road mileage that lies within incorporated cities over 5,000 persons and their unincorporated fringe urban areas, whose population is determined by the department, using the latest decennial federal census, is not considered rural road mileage.


(iii) Rural road mileage reported by the road inventory of the department must be used in determining rural road mileage.


(4) For the purpose of determining secondary highway capital construction priorities within a district, each board of county commissioners in a district has one vote and the department has two votes. An existing paved secondary highway may not be converted to a graveled surface without the concurrence of the board of county commissioners in the county where the road is located.
"
"Montana Constitution Art. V, § 14. Districting and apportionment",https://codes.findlaw.com/mt/montana-constitution/mt-const-art-v-sect-14.html,"
(1) The state shall be divided into as many districts as there are members of the house, and each district shall elect one representative. Each senate district shall be composed of two adjoining house districts, and shall elect one senator. Each district shall consist of compact and contiguous territory. All districts shall be as nearly equal in population as is practicable.


(2) In the legislative session following ratification of this constitution and thereafter in each session preceding each federal population census, a commission of five citizens, none of whom may be public officials, shall be selected to prepare a plan for redistricting and reapportioning the state into legislative districts and a plan for redistricting the state into congressional districts. The majority and minority leaders of each house shall each designate one commissioner. Within 20 days after their designation, the four commissioners shall select the fifth member, who shall serve as chairman of the commission. If the four members fail to select the fifth member within the time prescribed, a majority of the supreme court shall select him.


(3) Within 90 days after the official final decennial census figures are available, the commission shall file its final plan for congressional districts with the secretary of state and it shall become law.


(4) The commission shall submit its plan for legislative districts to the legislature at the first regular session after its appointment or after the census figures are available. Within 30 days after submission, the legislature shall return the plan to the commission with its recommendations. Within 30 days thereafter, the commission shall file its final plan for legislative districts with the secretary of state and it shall become law.


(5) Upon filing both plans, the commission is then dissolved.
"
Montana Title 5. Legislative Branch § 5-1-101. Commission to redistrict and reapportion--number of legislators,https://codes.findlaw.com/mt/title-5-legislative-branch/mt-code-ann-sect-5-1-101.html,"
(1) In each session preceding each federal population census, a commission of five citizens, none of whom may be public officials, shall be selected to prepare the plans for redistricting and reapportioning the state into legislative and congressional districts.


(2) The plans for redistricting and reapportionment of legislative districts must be based on the number of members in the house of representatives and the senate to be determined in the legislative session before the census.
"
"Montana Title 22. Libraries, Arts, and Antiquities § 22-1-327. State aid--per capita--per square mile",https://codes.findlaw.com/mt/title-22-libraries-arts-and-antiquities/mt-code-ann-sect-22-1-327.html,
Montana Title 7. Local Government § 7-3-601. Town meeting form,https://codes.findlaw.com/mt/title-7-local-government/mt-code-ann-sect-7-3-601.html,"
(1) The town meeting form consists of an assembly of the qualified electors of a town, known as a “town meeting”, an elected town presiding officer, who must be a qualified elector, and an optional elected town meeting moderator.


(2) The town meeting form may be adopted only by incorporated cities of less than 2,000 persons and incorporated towns of less than 2,000 persons, as determined by the most recent decennial census as conducted by the United States bureau of the census unless a more recent enumeration of inhabitants is made by the state, in which case that enumeration must be used for the purposes of this part. A unit of local government that adopts this form may retain it even though its population increases to more than 2,000.


(3) All legislative powers of the town vest in the town meeting. The town meeting may enact rules, resolutions, and ordinances.
"
"Montana Title 7. Local Government § 7-3-4255. Compensation of mayor, council members, and employees",https://codes.findlaw.com/mt/title-7-local-government/mt-code-ann-sect-7-3-4255.html,"
(1) The total compensation of council members is as follows:

(a) In cities of the third class having a population of less than 3,000, the annual salary of the mayor may not exceed $600 and the annual salary of each council member may not exceed $500. In cities of the third class having a population of 3,000 or more, the annual salary of the mayor may not exceed $1,000 and the annual salary of each council member may not exceed $900.


(b) In cities of the second class, the annual salary of the mayor may not exceed $1,650 and the annual salary of each council member may not exceed $1,500.


(c) In cities of the first class having a population of less than 30,000, the annual salary of the mayor may not exceed $4,500 and the annual salary of each council member may not exceed $3,800. In cities of the first class having a population of 30,000 and over, the annual salary of the mayor may not exceed $4,800 and the annual salary of each council member may not exceed $4,000.



(a) In cities of the third class having a population of less than 3,000, the annual salary of the mayor may not exceed $600 and the annual salary of each council member may not exceed $500. In cities of the third class having a population of 3,000 or more, the annual salary of the mayor may not exceed $1,000 and the annual salary of each council member may not exceed $900.


(b) In cities of the second class, the annual salary of the mayor may not exceed $1,650 and the annual salary of each council member may not exceed $1,500.


(c) In cities of the first class having a population of less than 30,000, the annual salary of the mayor may not exceed $4,500 and the annual salary of each council member may not exceed $3,800. In cities of the first class having a population of 30,000 and over, the annual salary of the mayor may not exceed $4,800 and the annual salary of each council member may not exceed $4,000.


(2) Any increase in salary occasioned by the advance in class or increase in population of any city commences with the month following the publication of the census showing the advance in class or increase in population.


(3) Every other officer or assistant must receive the salary or compensation that the council shall by ordinance from time to time provide, payable in equal monthly installments.


(4) The salary or compensation of all other employees of the city must be fixed by the council and is payable monthly or at shorter periods that the council may determine.
"
Montana Title 7. Local Government § 7-6-1501. Definitions,https://codes.findlaw.com/mt/title-7-local-government/mt-code-ann-sect-7-6-1501.html,"
(1) “Board of directors” means the board of directors of the resort area district.


(2) “Luxuries” means any gift item, luxury item, or other item normally sold to the public or to transient visitors or tourists.  The term does not include food purchased unprepared or unserved, medicine, medical supplies and services, appliances, hardware supplies and tools, or any necessities of life.


(3) “Medical supplies” means items that are sold to be used for curative, prosthetic, or medical maintenance purposes, whether or not prescribed by a physician.


(4) “Medicine” means substances sold for curative or remedial properties, including both physician prescribed and over-the-counter medications.


(5) “Qualified elector” means a person who is qualified to vote under 
13-1-111
 and is a resident of a resort community, resort area, or proposed or established resort area district.


(6) “Resort area” means an area that:

(a) is an unincorporated area and is a defined contiguous geographic area;


(b) has a population of less than 2,500 according to the most recent federal census;


(c) derives the major portion of its economic well-being from businesses catering to the recreational and personal needs of persons traveling to or through the area for purposes not related to their income production;  and


(d) has been designated by the department of commerce as a resort area prior to its establishment by the county commissioners as provided in 
7-6-1508
.



(a) is an unincorporated area and is a defined contiguous geographic area;


(b) has a population of less than 2,500 according to the most recent federal census;


(c) derives the major portion of its economic well-being from businesses catering to the recreational and personal needs of persons traveling to or through the area for purposes not related to their income production;  and


(d) has been designated by the department of commerce as a resort area prior to its establishment by the county commissioners as provided in 
7-6-1508
.


(7) “Resort area district” means a district created under 
7-6-1532
 through 
7-6-1536
, 
7-6-1539
 through 
7-6-1544
, 
7-6-1546
 through 
7-6-1548
, and 
7-6-1550
 that has been established as a resort area under 
7-6-1508
.


(8) “Resort community” means a community that:

(a) is an incorporated municipality;


(b) has a population of less than 5,500 according to the most recent federal census;


(c) derives the primary portion of its economic well-being related to current employment from businesses catering to the recreational and personal needs of persons traveling to or through the municipality for purposes not related to their income production;  and


(d) has been designated by the department of commerce as a resort community.



(a) is an incorporated municipality;


(b) has a population of less than 5,500 according to the most recent federal census;


(c) derives the primary portion of its economic well-being related to current employment from businesses catering to the recreational and personal needs of persons traveling to or through the municipality for purposes not related to their income production;  and


(d) has been designated by the department of commerce as a resort community.
"
