title,href,text
"New Jersey Statutes Title 52. State Government, Departments and Officers 52 § 27H-66.1",https://codes.findlaw.com/nj/title-52-state-government-departments-and-officers/nj-st-sect-52-27h-66-1.html,"
(1) One zone shall be located in a qualifying municipality with a population greater than 55,000 and less than 65,000 according to the latest federal decennial census in a county of the first class with a population density greater than 6,100 and less than 6,700 persons per square mile according to the latest federal decennial census provided that the qualifying municipality is contiguous to a municipality in which an enterprise zone is designated;


(2) One zone shall be located in a qualifying municipality with a population greater than 70,000 and less than 80,000 according to the latest federal decennial census;


(3) One zone shall be located in a qualifying municipality with a population greater than 38,000 and less than 39,500 according to the latest federal decennial census;


(4) One zone shall be located in a qualifying municipality with a population greater than 45,000 and less than 55,000 according to the latest federal decennial census;


(5) One zone shall be located in a qualifying municipality with a population greater than 21,000 and less than 22,000;


(6) One zone shall be located in a qualifying municipality with a population greater than 29,000 and less than 32,000 according to the latest federal decennial census;


(7) One zone shall be located within a qualifying municipality having a population greater than 7,000 and less than 9,000 according to the latest federal decennial census in a county of the first class with a population greater than 550,000 and less than 560,000 according to the latest federal decennial census;  


(8) An additional zone shall be located within a qualifying municipality with a population greater than 11,400 and less than 11,600 according to the latest federal decennial census in a county of the second class with a population greater than 500,000 and less than 520,000 according to the latest federal decennial census;  and


(9) An additional zone shall be located within a qualifying municipality with a population greater than 48,000 and less than 49,000 according to the latest federal decennial census in a county of the second class with a population of greater than 750,000 according to the latest federal decennial census.
"
New Jersey Statutes Title 48. Public Utilities 48 § 12-57,https://codes.findlaw.com/nj/title-48-public-utilities/nj-st-sect-48-12-57.html,"
a. Every railroad company shall place on each engine a bell weighing not less than 30 pounds which shall be rung continuously in approaching a grade crossing of a highway, beginning at a distance of at least 300 yards from the crossing and continuing until the engine has crossed such highway, or a whistle or horn operated by steam, air or electricity, which shall be sounded, except in cities, at least 300 yards from the crossing and at intervals until the engine has crossed the highway.
For every default the company operating such road shall pay a penalty of $100.00 to be sued for by any informer within 10 days after such penalty was incurred,  1/2 to go to the informer and  1/2 to the county wherein such default occurred.  Nothing herein shall take away any remedy for such neglect from any person injured thereby.
Upon application from the governing body of a county or municipality in which a grade crossing is located, the Commissioner of Transportation may, in his discretion, exempt railroad companies from observing the provisions of this section with respect to grade crossings in that county or municipality employing supplementary safety measures which have been approved by the Federal Railroad Administration or the Secretary of Transportation of the United States pursuant to 
49 U.S.C.s. 20153
 as fully compensating for the absence of the warning provided by the locomotive horn and which have received a waiver or exemption under 
49 U.S.C.s. 20153(d)
.
As used in this act, “supplementary safety measure” means a safety system or procedure, provided by the appropriate traffic control authority or law enforcement authority responsible for safety at the highway-rail grade crossing, that is determined by the Secretary of Transportation of the United States to be an effective substitute for the locomotive horn in the prevention of highway-rail casualties.  A traffic control arrangement that prevents careless movement over the crossing, for example, as where adequate median barriers prevent movement around crossing gates extending over the full width of the lanes in the particular direction of travel, and that conforms to standards prescribed by the Secretary, shall be deemed to constitute a supplementary safety measure.  However, the following do not, individually, or in combination, constitute supplementary safety measures:  standard traffic control devices or arrangements such as reflectorized crossbucks, stop signs, flashing lights, flashing lights with gates that do not completely block travel over the line of railroad, or traffic signals.


b. With respect to that portion of a rail passenger line located in a county of the second class having a population between 420,000 and 425,000, according to the most recent federal decennial census, running between a municipality having a population between 15,100 and 15,125, according to the most recent federal decennial census, and a municipality having a population between 19,940 and 19,965, according to the most recent federal decennial census, upon application of a municipality in which a grade crossing of such line is located, the Commissioner of Transportation shall require that a railroad company or entity providing rail passenger service not sound a whistle or horn in that municipality between the hours of 7:00 p.m. and 7:00 a.m., but instead require that a bell weighing not less than 30 pounds be rung between such hours at such grade crossing location as required by subsection a. of this section, except that notwithstanding this requirement an operator shall not be subject to a penalty for sounding a whistle or horn in an emergency.



c. With respect to that portion of a rail passenger line located in a county of the first class having a population more than 825,000, according to the most recent federal decennial census, running through a municipality having a population between 30,530 and 30,560, according to the most recent federal decennial census, a municipality having a population between 9,850 and 9,900, according to the most recent federal decennial census, a municipality having a population between 10,870 and 10,900, according to the most recent federal decennial census, a municipality having a population between 3,900 and 3,950, according to the most recent federal decennial census, a municipality having a population between 17,890 and 17,920, according to the most recent federal decennial census, a municipality having a population between 7,030 and 7,060, according to the most recent federal decennial census, a municipality having a population between 11,980 and 12, 020, according to the most recent federal decennial census, a municipality having a population between 24,140 and 24,170, according to the most recent federal decennial census, a municipality having a population between 9,755 and 9,760, according to the most recent federal decennial census, a municipality having a population between 9,230 and 9,260, according to the most recent federal decennial census, and a municipality having a population between 15,360 and 15,400, according to the most recent federal decennial census, upon application of a municipality in which a grade crossing of such line is located, the Commissioner of Transportation shall require that a railroad company or entity providing rail passenger service not sound a whistle or horn in that municipality between the hours of 7:00 p.m. and 7:00 a.m., but instead require that a bell weighing not less than 30 pounds be rung between such hours at any such grade crossing location, except that notwithstanding this requirement, an operator shall not be subject to a penalty for sounding a whistle or horn in an emergency.

"
"New Jersey Statutes Title 52. State Government, Departments and Officers 52 § 27H-66.7",https://codes.findlaw.com/nj/title-52-state-government-departments-and-officers/nj-st-sect-52-27h-66-7.html,"

a. (1) The joint zone shall be located in four municipalities which are adjacent to each other, one of which has a population greater than 5,000 and less than 5,500 according to the latest federal decennial census, one of which has a population greater than 4,500 and less than 5,000 according to the latest federal decennial census, one of which has a population greater than 3,000 and less than 4,000 according to the latest federal decennial census, and one of which has a population greater than 400 and less than 500 according to the latest federal decennial census;  and


(2) The joint zone shall be located in a county of the sixth class according to the latest federal decennial census.



a. (1) The joint zone shall be located in four municipalities which are adjacent to each other, one of which has a population greater than 5,000 and less than 5,500 according to the latest federal decennial census, one of which has a population greater than 4,500 and less than 5,000 according to the latest federal decennial census, one of which has a population greater than 3,000 and less than 4,000 according to the latest federal decennial census, and one of which has a population greater than 400 and less than 500 according to the latest federal decennial census;  and


(2) The joint zone shall be located in a county of the sixth class according to the latest federal decennial census.



b. (1) The second zone shall be located in a municipality with a population greater than 60,000 and less than 65,000 according to the latest federal decennial census in a county of the first class with a population greater than 600,000 and less than 620,000 according to the latest federal decennial census;  and


(2) The second zone shall be located in a municipality which is contiguous to at least one qualifying municipality which has a designated enterprise zone and which is in a county of the first class.



b. (1) The second zone shall be located in a municipality with a population greater than 60,000 and less than 65,000 according to the latest federal decennial census in a county of the first class with a population greater than 600,000 and less than 620,000 according to the latest federal decennial census;  and


(2) The second zone shall be located in a municipality which is contiguous to at least one qualifying municipality which has a designated enterprise zone and which is in a county of the first class.


c. The third zone shall be located within a municipality that

(1) borders on another municipality having an urban enterprise zone;


(2) has a population greater than 20,000 and a population density greater than 7,500 persons per square mile according to the latest federal decennial census;  and


(3) has a per capita retail sales rate that is less than $2,500, as reported by the U.S. Bureau of the Census, 1992 Census of Retail.



(1) borders on another municipality having an urban enterprise zone;


(2) has a population greater than 20,000 and a population density greater than 7,500 persons per square mile according to the latest federal decennial census;  and


(3) has a per capita retail sales rate that is less than $2,500, as reported by the U.S. Bureau of the Census, 1992 Census of Retail.
"
"New Jersey Statutes Title 52. State Government, Departments and Officers 52 § 27D-386",https://codes.findlaw.com/nj/title-52-state-government-departments-and-officers/nj-st-sect-52-27d-386.html,"
a. does not receive aid under P.L.1978, c. 14 (
C. 52:27D-178 et seq.
);


b. has a population density that exceeds six times the State population density, according to the most recent State population and area estimates reported by the New Jersey Department of Labor, Division of Labor Market and Demographic Research, except that in the year of promulgation of a federal decennial census, the census figures shall be used;


c. has a population that exceeds 7,500 residents;  and


d. is located in any of the five most densely populated counties, according to the most recent State population estimates reported by the New Jersey Department of Labor, Division of Labor Market and Demographic Research, except that in the year of promulgation of a federal decennial census, the census figures shall be used.
"
New Jersey Statutes Title 2B. Court Organization and Civil Code 2B § 11-11,https://codes.findlaw.com/nj/title-2b-court-organization-and-civil-code/nj-st-sect-2b-11-11.html,"
a. for a transferred employee formerly employed by a county of the fifth class having a population of not less than 220,000 but not more than 230,000 according to the 1990 federal census, who has at least 15 years of service with the county alone or in combination with service as a State judicial employee credited in PERS, for three years.


b. for a transferred employee formerly employed by a county of the second class having a population of not less than 390,000 but not more than 400,000 according to the 1990 federal census, who has at least 15 years of service with the county alone or in combination with service as a State judicial employee credited in PERS, for 90 days.


c. for a transferred employee formerly employed by a county of the second class having a population of not less than 500,000 but not more than 510,000 according to the 1990 federal census, who has at least 15 years of service with the county alone or in combination with service as a State judicial employee credited in PERS.


d. for a transferred employee formerly employed by a county of the third class having a population of not less than 135,000 but not more than 145,000 according to the 1990 federal census, who is a veteran as defined in section 6 of P.L.1954, c. 84 (
C. 43:15A-6
) and has at least 20 years of service with the county alone or in combination with service as a State judicial employee credited in PERS.


e. for a transferred employee formerly employed by a county of the second class having a population of not less than 420,000 but not more than 430,000 according to the 1990 federal census, who has at least 15 years of service with the county alone or in combination with service as a State judicial employee credited in PERS, and shall reimburse the employee for premium charges under Part B of the federal Medicare program covering the retired employee and the employee's spouse.


f. for a transferred employee formerly employed by a county of the third class having a population of not less than 60,000 but not more than 70,000 according to the 1990 federal census, who has at least 15 years of service with the county alone or in combination with service as a State judicial employee credited in PERS, and shall reimburse the employee for premium charges under Part B of the federal Medicare program covering the retired employee and the employee's spouse.


g. for a transferred employee formerly employed by a county of the third class having a population of not less than 90,000 but not more than 100,000 according to the 1990 federal census, who has at least 20 years of service with the county alone or in combination with service as a State judicial employee credited in PERS.
"
New Jersey Statutes Appendix - Former Title 11 Civil Service 11 § 9-2.1,https://codes.findlaw.com/nj/appendix-former-title-11-civil-service/nj-st-sect-11-9-2-1.html,"
a. The residents permanently appointed possess at least the minimum qualifications required by Civil Service specifications for the available positions, have lived in the county for at least six months and have complied with other requirements of Title 11 of the Revised Statutes;  and


b. A sufficient number of qualified residents exists for permanent appointment to available positions.
Except as otherwise provided in this section, third preference in appointments to positions of employment shall be given to residents of any adjoining county with a population of less than 100,000, according to the 1990 federal decennial census, who have lived in the adjoining county for at least six months and who otherwise meet the requirements of subsections a. and b. of this section.
"
"New Jersey Statutes Title 52. State Government, Departments and Officers 52 § 27H-66",https://codes.findlaw.com/nj/title-52-state-government-departments-and-officers/nj-st-sect-52-27h-66.html,"
a. One zone shall be located in a county of the second class with a population greater than 595,000 and less than 675,000 according to the latest federal decennial census and shall be located in the qualifying municipality in that county with the highest annual average number of unemployed persons and the highest average annual unemployment rate for the 1992 calendar year according to the estimate by the State Department of Labor and Workforce Development;


b. Two zones shall be located in a county of the second class with a population greater than 445,000 and less than 455,000 according to the latest federal decennial census, one of which shall be located in the qualifying municipality in that county with the highest annual average number of unemployed persons and the highest average annual unemployment rate for the 1992 calendar year according to the estimate by the State Department of Labor and Workforce Development, and one of which shall be located in the qualifying municipality in that county with the second highest annual average number of unemployed persons and the second highest average annual unemployment rate for the 1992 calendar year according to the estimate by the State Department of Labor and Workforce Development;


c. One zone shall be located in a county of the third class with a population greater than 84,000 and less than 92,000 according to the latest federal decennial census and shall be located in the qualifying municipality in that county with the highest annual average number of unemployed persons and the highest average annual unemployment rate for the 1992 calendar year according to the estimate by the State Department of Labor and Workforce Development;


d. One zone shall be located within two noncontiguous qualifying municipalities but comprised of not more than two noncontiguous areas each having a continuous border, if:

(1) both municipalities are located in the same county which shall be a county of the fifth class with a population greater than 500,000 and less than 555,000 according to the latest federal decennial census;


(2) the two municipalities submit a joint application and zone development plan;  and


(3) each of the municipalities has a population greater than 16,000 and less than 30,000 and a population density of more than 5,000 persons per square mile, according to the latest federal decennial census;  and



(1) both municipalities are located in the same county which shall be a county of the fifth class with a population greater than 500,000 and less than 555,000 according to the latest federal decennial census;


(2) the two municipalities submit a joint application and zone development plan;  and


(3) each of the municipalities has a population greater than 16,000 and less than 30,000 and a population density of more than 5,000 persons per square mile, according to the latest federal decennial census;  and


e. One zone shall be located within a municipality having a population greater than 38,000 and less than 46,000 according to the latest federal decennial census if the municipality is located within a county of the fifth class with a population greater than 340,000 and less than 440,000 according to the latest federal decennial census.
"
New Jersey Statutes Title 40A. Municipalities and Counties 40A § 14-146.3,https://codes.findlaw.com/nj/title-40a-municipalities-and-counties/nj-st-sect-40a-14-146-3.html,"
a. Any officer appointed pursuant to section 1 of P.L.1975, c. 189 (
C. 40A:14-146.2
) in any city of the second class with a population of more than 140,000 inhabitants, according to the 1970 federal census, or in any city of the second class with a population of more than 52,000 but less than 55,000 inhabitants, according to the 1980 federal census, in a county of the second class, or b. any person appointed pursuant to section 2 of P.L. 1985, c. 52 (
C. 40A:14-146.2a
) in any city of the second class with a population of more than 140,000 inhabitants, according to the 1970 federal census, in a county of the second class or in any city of the second class with a population of more than 52,000 but less than 55,000 inhabitants, according to the 1980 federal census, in a county of the second class, who shall have successfully completed the minimum number of hours required for full-time police officers to complete the police training course or program approved by the Police Training Commission in arrest, search and seizure, criminal law, the use of deadly force, and any other course required by the Police Training Commission and who shall annually qualify in the use of a revolver or similar weapon, shall have all the powers conferred by law on police officers in the enforcement of the laws of this State or municipal ordinances, including the power to apprehend offenders.
"
New Jersey Statutes Title 18A. Education 18A § 13-9.1,https://codes.findlaw.com/nj/title-18a-education/nj-st-sect-18a-13-9-1.html,
New Jersey Statutes Title 34. Labor and Workmen's Compensation 34 § 1-5.2,https://codes.findlaw.com/nj/title-34-labor-and-workmens-compensation/nj-st-sect-34-1-5-2.html,
New Jersey Statutes Title 40A. Municipalities and Counties 40A § 12-13.9,https://codes.findlaw.com/nj/title-40a-municipalities-and-counties/nj-st-sect-40a-12-13-9.html,
