title,href,text
New Mexico Statutes Chapter 4. Counties § 4-61-2. Definitions,https://codes.findlaw.com/nm/chapter-4-counties/nm-st-sect-4-61-2.html,"
A. “adjustment factor” means a fraction, the numerator of which is the net taxable value of the state for the property tax year prior to the year in which the amount of small counties assistance is being determined and the denominator of which is the net taxable value for property tax year 2002;  the adjustment factor shall be calculated without reference to assessed value determined pursuant to the Oil and Gas Ad Valorem Production Tax Act, assessed value determined pursuant to the Oil and Gas Production Equipment Ad Valorem Tax Act or taxable value determined pursuant to the Copper Production Ad Valorem Tax Act;


B. “ceiling valuation” means:

(1) for the 2002 property tax year, one billion four hundred million dollars ($1,400,000,000);  and


(2) for each subsequent property tax year, an amount equal to the product obtained by multiplying one billion four hundred million dollars ($1,400,000,000) by the adjustment factor for the year;



(1) for the 2002 property tax year, one billion four hundred million dollars ($1,400,000,000);  and


(2) for each subsequent property tax year, an amount equal to the product obtained by multiplying one billion four hundred million dollars ($1,400,000,000) by the adjustment factor for the year;


C. “demographer” means the bureau of business and economic research at the university of New Mexico;


D. “inflation factor” means a fraction whose numerator is the annual implicit price deflator index for state and local government purchases of goods and services, as published in the United States department of commerce monthly publication entitled “Survey of Current Business” or any successor publication prepared by an agency of the United States and adopted by the department of finance and administration, for the calendar year one year prior to the year in which the distribution is to be made and whose denominator is the annual index for calendar year 2004;  provided that, if the inflation factor is calculated to have a value less than one, it shall be deemed to have a value of one;


E. “population” means the official population shown by the most recent federal decennial census or, if there is a change in boundaries after the date of the census, “population” for each affected unit shall be the most current estimated population for that unit provided in writing by the demographer;  provided that after five years from the first day of the calendar year of the most recent federal decennial census, that census shall not be used, and “population” for the period from that date until the date when the next following official final decennial census population data are available shall be the most current estimated population provided in writing by the demographer;


F. “qualifying county” means a county that has:

(1) for the property tax year in which any distribution under the Small Counties Assistance Act is made to the county, imposed a property tax rate for general county purposes pursuant to Paragraph 
(1)
 of 
Subsection B of Section 7-37-7 NMSA 1978
 as limited by 
Section 7-37-7.1 NMSA 1978
 of at least eight dollars eighty-five cents ($8.85) per one thousand dollars ($1,000) of net taxable value;


(2) by July 1 of the property tax year in which any distribution under the Small Counties Assistance Act is made to the county, received a written certification from the director of the property tax division of the taxation and revenue department that the county assessor of that county has implemented an acceptable program of maintaining current and correct property values for property taxation purposes as required by 
Section 7-36-16 NMSA
 1978 or has submitted to the director an acceptable plan for the implementation of such a program;


(3) on July 1 of the year in which any distribution under the Small Counties Assistance Act is made to the county, a population of not more than forty-eight thousand;


(4) imposed county gross receipts tax increments authorized pursuant to 
Section 7-20E-9 NMSA 1978
 totaling at least three-eighths percent and has those increments in effect on July 1 of the year in which a distribution is made, provided that this paragraph does not apply to a county if the county's valuation for property taxation purposes does not exceed the product of two hundred thirty million dollars ($230,000,000) multiplied by the adjustment factor for the year;  and


(5) a total valuation for the property tax year preceding the year in which a distribution pursuant to the Small Counties Assistance Act for that county is to be made that is no greater than the ceiling valuation for that property tax year;



(1) for the property tax year in which any distribution under the Small Counties Assistance Act is made to the county, imposed a property tax rate for general county purposes pursuant to Paragraph 
(1)
 of 
Subsection B of Section 7-37-7 NMSA 1978
 as limited by 
Section 7-37-7.1 NMSA 1978
 of at least eight dollars eighty-five cents ($8.85) per one thousand dollars ($1,000) of net taxable value;


(2) by July 1 of the property tax year in which any distribution under the Small Counties Assistance Act is made to the county, received a written certification from the director of the property tax division of the taxation and revenue department that the county assessor of that county has implemented an acceptable program of maintaining current and correct property values for property taxation purposes as required by 
Section 7-36-16 NMSA
 1978 or has submitted to the director an acceptable plan for the implementation of such a program;


(3) on July 1 of the year in which any distribution under the Small Counties Assistance Act is made to the county, a population of not more than forty-eight thousand;


(4) imposed county gross receipts tax increments authorized pursuant to 
Section 7-20E-9 NMSA 1978
 totaling at least three-eighths percent and has those increments in effect on July 1 of the year in which a distribution is made, provided that this paragraph does not apply to a county if the county's valuation for property taxation purposes does not exceed the product of two hundred thirty million dollars ($230,000,000) multiplied by the adjustment factor for the year;  and


(5) a total valuation for the property tax year preceding the year in which a distribution pursuant to the Small Counties Assistance Act for that county is to be made that is no greater than the ceiling valuation for that property tax year;


G. “tax rate factor” means a fraction, the numerator of which is the average rate imposed in 
Section 7-9-7 NMSA 1978
 for the fiscal year one year prior to the fiscal year in which the distribution is to be made and the denominator of which is five percent;  and


H. “total valuation” means the sum for a jurisdiction for a property tax year of the net taxable value determined pursuant to the Property Tax Code, the assessed value determined pursuant to the Oil and Gas Ad Valorem Production Tax Act, the assessed value determined pursuant to the Oil and Gas Production Equipment Ad Valorem Tax Act and the taxable value determined pursuant to the Copper Production Ad Valorem Tax Act.
"
New Mexico Statutes Chapter 7. Taxation § 7-20C-2. Definitions,https://codes.findlaw.com/nm/chapter-7-taxation/nm-st-sect-7-20c-2.html,"
A. “county” means:

(1) a class B county having a population of less than twenty-five thousand according to the most recent federal decennial census and having a net taxable value for rate-setting purposes for the 1990 property tax year or any subsequent year of more than two hundred fifty million dollars ($250,000,000);


(2) a class B county having a population of less than forty-seven thousand but more than forty-four thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1992 property tax year of more than three hundred million dollars ($300,000,000) but less than six hundred million dollars ($600,000,000);


(3) a class B county having a population of less than ten thousand according to the most recent federal decennial census and having a net taxable value for rate-setting purposes for the 1990 property tax year or any subsequent year of more than one hundred million dollars ($100,000,000);


(4) a class B county having a population of less than twenty-five thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1993 property tax year of more than ninety-one million dollars ($91,000,000) but less than one hundred twenty-five million dollars ($125,000,000);


(5) a class B county having a population of more than seventeen thousand but less than twenty thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1993 property tax year of more than one hundred fifty-three million dollars ($153,000,000) but less than one hundred fifty-six million dollars ($156,000,000);


(6) a class B county having a population of more than fifteen thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1996 property tax year of more than one hundred fifty million dollars ($150,000,000) but less than one hundred seventy-five million dollars ($175,000,000);


(7) an H class county;


(8) a class A county having a population of less than one hundred fifteen thousand according to the 2000 federal decennial census or any subsequent federal decennial census and having a net taxable value for rate-setting purposes for the 2001 property tax year or any subsequent year of more than three billion dollars ($3,000,000,000);  or


(9) a class B county having a population of more than three thousand five hundred but less than ten thousand five hundred according to the 2000 federal decennial census or any subsequent federal decennial census and having a net taxable value for rate-setting purposes for the 2005 property tax year or any subsequent year of more than one hundred million dollars ($100,000,000) and less than one hundred sixteen million five hundred thousand dollars ($116,500,000);



(1) a class B county having a population of less than twenty-five thousand according to the most recent federal decennial census and having a net taxable value for rate-setting purposes for the 1990 property tax year or any subsequent year of more than two hundred fifty million dollars ($250,000,000);


(2) a class B county having a population of less than forty-seven thousand but more than forty-four thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1992 property tax year of more than three hundred million dollars ($300,000,000) but less than six hundred million dollars ($600,000,000);


(3) a class B county having a population of less than ten thousand according to the most recent federal decennial census and having a net taxable value for rate-setting purposes for the 1990 property tax year or any subsequent year of more than one hundred million dollars ($100,000,000);


(4) a class B county having a population of less than twenty-five thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1993 property tax year of more than ninety-one million dollars ($91,000,000) but less than one hundred twenty-five million dollars ($125,000,000);


(5) a class B county having a population of more than seventeen thousand but less than twenty thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1993 property tax year of more than one hundred fifty-three million dollars ($153,000,000) but less than one hundred fifty-six million dollars ($156,000,000);


(6) a class B county having a population of more than fifteen thousand according to the 1990 federal decennial census and having a net taxable value for rate-setting purposes for the 1996 property tax year of more than one hundred fifty million dollars ($150,000,000) but less than one hundred seventy-five million dollars ($175,000,000);


(7) an H class county;


(8) a class A county having a population of less than one hundred fifteen thousand according to the 2000 federal decennial census or any subsequent federal decennial census and having a net taxable value for rate-setting purposes for the 2001 property tax year or any subsequent year of more than three billion dollars ($3,000,000,000);  or


(9) a class B county having a population of more than three thousand five hundred but less than ten thousand five hundred according to the 2000 federal decennial census or any subsequent federal decennial census and having a net taxable value for rate-setting purposes for the 2005 property tax year or any subsequent year of more than one hundred million dollars ($100,000,000) and less than one hundred sixteen million five hundred thousand dollars ($116,500,000);


B. “department” means the taxation and revenue department, the secretary of taxation and revenue or any employee of the department exercising authority lawfully delegated to that employee by the secretary;


C. “governing body” means the board of county commissioners of a county;


D. “health care facilities contract” means an agreement between a hospital or health clinic not owned by the county and a county imposing the tax authorized by the Local Hospital Gross Receipts Tax Act that obligates the county to pay to the hospital revenue generated by the tax authorized in that act as consideration for the agreement by the hospital or health clinic to use the funds only for nonsectarian purposes and to make health care services available for the benefit of the county;


E. “hospital facility revenues” means all or a portion of the revenues derived from a lease of a hospital facility acquired, constructed or equipped pursuant to and operated in accordance with the Local Hospital Gross Receipts Tax Act;


F. “local hospital gross receipts tax” means the tax authorized to be imposed under the Local Hospital Gross Receipts Tax Act;


G. “person” means an individual or any other legal entity;  and


H. “state gross receipts tax” means the gross receipts tax imposed under the Gross Receipts and Compensating Tax Act.  1
"
New Mexico Statutes Chapter 3. Municipalities § 3-20-5. County and municipal jurisdiction over subdivision;  concurrent jurisdiction;  acceptance of unapproved streets;  exercise of jurisdiction,https://codes.findlaw.com/nm/chapter-3-municipalities/nm-st-sect-3-20-5.html,"
A. For the purpose of approving the subdivision and platting of land:

(1) the jurisdiction of a county includes all territory not within the boundary of a municipality;


(2) except as provided in Paragraph (4) of this subsection, the jurisdiction of a municipality having a population of twenty-five thousand or more persons according to the most recent census includes all territory within five miles of the boundary of the municipality and not within the boundary of another municipality;


(3) the jurisdiction of a municipality having a population of less than twenty-five thousand persons according to the most recent census includes all territory within three miles of the municipal boundary and not within the boundary of another municipality;  and


(4) a municipality having a population over two hundred thousand persons according to the most recent census located in a class A county shall share approval authority with the county of subdivisions and platting of land within five miles of the municipal boundary.  Approval shall be through the actions of the extraterritorial land use commission and extraterritorial land use authority.



(1) the jurisdiction of a county includes all territory not within the boundary of a municipality;


(2) except as provided in Paragraph (4) of this subsection, the jurisdiction of a municipality having a population of twenty-five thousand or more persons according to the most recent census includes all territory within five miles of the boundary of the municipality and not within the boundary of another municipality;


(3) the jurisdiction of a municipality having a population of less than twenty-five thousand persons according to the most recent census includes all territory within three miles of the municipal boundary and not within the boundary of another municipality;  and


(4) a municipality having a population over two hundred thousand persons according to the most recent census located in a class A county shall share approval authority with the county of subdivisions and platting of land within five miles of the municipal boundary.  Approval shall be through the actions of the extraterritorial land use commission and extraterritorial land use authority.


B. Each municipality shall have jurisdiction over the territory within its boundary.


C. If territory not lying within the boundary of a municipality is within the platting jurisdiction of more than one municipality, the platting jurisdiction of each municipality shall terminate equidistant from the boundary of each municipality unless one municipality has a population according to the most recent census of less than two thousand five hundred persons and another municipality has a population according to the most recent census of more than two thousand five hundred persons.  Then the platting jurisdiction of the municipality having the greatest population extends to such territory.


D. Except as provided in Paragraph (4) of Subsection A of this section, the county and a municipality shall exercise concurrent jurisdiction over territory within the platting jurisdiction of both the county and the municipality.


E. The governing body of a municipality or the board of county commissioners may not locate, construct or accept any street dedication until the street dedication is first submitted to the planning authority for approval or disapproval.  If disapproved by the planning authority, the street dedication may be approved by a two-thirds vote of all the members of the governing body of the municipality having jurisdiction or of the board of county commissioners having jurisdiction.  A street dedication accepted by the planning authority or by a two-thirds vote of all the members of the governing body of the municipality having jurisdiction or of the board of county commissioners having jurisdiction shall have the same status as any other public street.
"
New Mexico Statutes Chapter 4. Counties § 4-38-3. Residence in districts;  period for districting;  election at large,https://codes.findlaw.com/nm/chapter-4-counties/nm-st-sect-4-38-3.html,"
A. A county having a population greater than thirteen thousand, according to the most recent federal decennial census, shall be divided by the board of county commissioners into as many compact single-member districts as there are board members to be elected.  The districts shall be as equal in population as possible and numbered respectively to correspond to the number of board members.  One commissioner shall be elected from each district by the voters of the district and shall be a resident of the district from which he is elected.  If a commissioner permanently removes his residence from or maintains no residence in the district from which he was elected, he shall be deemed to have resigned.  The division of the county into single-member districts shall be made once immediately following each federal decennial census.


B. An H class county or a county having a population of thirteen thousand or fewer according to the most recent federal decennial census, may be divided by the board of county commissioners into single-member districts.  If the county is districted, the districts shall be as equal in population as possible and numbered respectively to correspond to the number of board members.  A commissioner shall be a resident of the district from which he is elected.  If a commissioner permanently removes his residence from or maintains no residence in the district from which he was elected, he shall be deemed to have resigned.  The division of the county into single-member districts shall be made once immediately following each federal decennial census.  The board of county commissioners in a county with only three board members may require either that:

(1) commissioners shall be elected from each district by the voters of the whole county;  or


(2) each commissioner shall be elected by the voters of the district from which that commissioner is running for office.



(1) commissioners shall be elected from each district by the voters of the whole county;  or


(2) each commissioner shall be elected by the voters of the district from which that commissioner is running for office.
"
New Mexico Statutes Chapter 4. Counties § 4-44-1. Classification for salary purposes,https://codes.findlaw.com/nm/chapter-4-counties/nm-st-sect-4-44-1.html,"
A. For the purpose of fixing salaries of county officers, the several counties of the state, except “H” class counties, are hereby classified as follows:

(1) those having a final, full assessed valuation of over seventy-five million dollars ($75,000,000) and having a population of one hundred thousand persons or more as determined by the most current annual population data or estimate available from the United States census bureau, as class “A” counties;


(2) those having a final, full assessed valuation in excess of seventy-five million dollars ($75,000,000) with a population of less than one hundred thousand persons as determined by the most current annual population data or estimate available from the United States census bureau, as class “B” counties;  and


(3) those having a final, full assessed valuation equal to or less than seventy-five million dollars ($75,000,000) with a population of less than one hundred thousand persons as determined by the most current annual population data or estimate available from the United States census bureau, as class “C” counties.



(1) those having a final, full assessed valuation of over seventy-five million dollars ($75,000,000) and having a population of one hundred thousand persons or more as determined by the most current annual population data or estimate available from the United States census bureau, as class “A” counties;


(2) those having a final, full assessed valuation in excess of seventy-five million dollars ($75,000,000) with a population of less than one hundred thousand persons as determined by the most current annual population data or estimate available from the United States census bureau, as class “B” counties;  and


(3) those having a final, full assessed valuation equal to or less than seventy-five million dollars ($75,000,000) with a population of less than one hundred thousand persons as determined by the most current annual population data or estimate available from the United States census bureau, as class “C” counties.


B. The assessed valuation for each year shall be the full valuation as finally fixed for that year.
"
"New Mexico Statutes Chapter 18. Libraries, Museums, and Cultural Properties § 18-2-15. Certificates required",https://codes.findlaw.com/nm/chapter-18-libraries-museums-and-cultural-properties/nm-st-sect-18-2-15.html,"
A. A permanent professional librarian's certificate is required for the chief librarian of any library:

(1) supported in whole or in part by public funds, and serving a municipality or other political subdivision having a population in excess of fifteen thousand persons as shown by the last federal decennial census;  or


(2) of any state agency or state-supported institution.



(1) supported in whole or in part by public funds, and serving a municipality or other political subdivision having a population in excess of fifteen thousand persons as shown by the last federal decennial census;  or


(2) of any state agency or state-supported institution.


B. A grade I librarian's certificate is required for the chief librarian of any library, supported in whole or in part by public funds, serving a municipality or other political subdivision having a population of at least three thousand, but not more than ten thousand persons, as shown by the last federal decennial census.


C. A grade II librarian's certificate is required for the chief librarian of any library, supported in whole or in part by public funds, serving a municipality or other political subdivision having a population of at least ten thousand and one, but not more than fifteen thousand persons, as shown by the last federal decennial census.


D. The provisions of this section do not apply to libraries of public schools or county law libraries.
"
New Mexico Statutes Chapter 35. Magistrate and Municipal Courts § 35-14-1. Municipal court;  creation,https://codes.findlaw.com/nm/chapter-35-magistrate-and-municipal-courts/nm-st-sect-35-14-1.html,"
A. Except for municipalities with a population of less than two thousand five hundred or more than five thousand persons in the 1980 federal decennial census lying within the boundaries of a class A county with a population of more than two hundred thousand persons in the last federal decennial census and municipalities which have adopted an effective ordinance pursuant to Subsection B of this section, there is established a municipal court in each incorporated municipality.  The municipal courts shall be presided over by municipal judges.  As used in Chapter 35, Articles 14 and 15 NMSA 1978, “municipality” includes H class counties.


B. The governing body of a municipality with a population of one thousand five hundred persons or less in the last federal decennial census may designate the magistrate court of the county in which the municipality is located as the court having jurisdiction over municipal ordinances.  The designation shall be by adopted ordinance which shall not be effective until the expiration of the term of any incumbent municipal judge.  Within five days after the effective date of the ordinance, the governing body of the municipality shall:

(1) forward a copy of the ordinance to the magistrate court and to the administrative office of the courts;  and


(2) provide to the magistrate court copies of all municipal ordinances over which the magistrate court will have jurisdiction.



(1) forward a copy of the ordinance to the magistrate court and to the administrative office of the courts;  and


(2) provide to the magistrate court copies of all municipal ordinances over which the magistrate court will have jurisdiction.


C. A magistrate court designated pursuant to Subsection B of this section shall, with respect to ordinances of the municipality:

(1) follow the rules of procedure for the municipal courts and the procedures provided by Chapter 35, Article 15 NMSA 1978;


(2) impose no fine or sentence greater than that permitted for municipalities;  and


(3) remit monthly to the state all funds collected as a result of enforcement of municipal ordinances.



(1) follow the rules of procedure for the municipal courts and the procedures provided by Chapter 35, Article 15 NMSA 1978;


(2) impose no fine or sentence greater than that permitted for municipalities;  and


(3) remit monthly to the state all funds collected as a result of enforcement of municipal ordinances.
"
New Mexico Statutes Chapter 3. Municipalities § 3-21-2. Jurisdiction of a county or municipal zoning authority,https://codes.findlaw.com/nm/chapter-3-municipalities/nm-st-sect-3-21-2.html,"
A. a county zoning authority may adopt a zoning ordinance applicable to all or any portion of the territory within the county that is not within the zoning jurisdiction of a municipality;


B. a municipal zoning authority may adopt a zoning ordinance applicable to the territory within the municipal boundaries and, if not within a class A county with a population of more than three hundred thousand persons according to the last federal decennial census, shall have concurrent authority with the county to zone all or any portion of the territory within its extraterritorial zoning jurisdiction that is within:

(1) two miles of the boundary of any municipality having a population of twenty thousand or more persons, provided such territory is not within the boundary of another municipality;


(2) one mile of the boundary of any municipality having a population of one thousand five hundred or more but less than twenty thousand persons, provided such territory is not within the boundaries of another municipality;


(3) the limits of the boundaries of a municipality having a population of one thousand five hundred persons or less;  or


(4) territory not lying within the boundary of a municipality but within the extraterritorial jurisdiction of more than one municipality;  provided that the extraterritorial zoning jurisdiction of each municipality shall terminate equidistant from the boundary of each municipality unless one municipality has a population according to the most recent federal decennial census of less than two thousand five hundred and another municipality has a population according to the most recent federal decennial census of more than two thousand five hundred, in which case the extraterritorial zoning jurisdiction of the municipality having the greatest population extends to such territory;  and


(5) territory in addition to the extraterritorial zoning jurisdiction provided by Paragraphs (1), (2), (3) and (4) of this subsection that the governing bodies of a county and a municipality agree to place within the extraterritorial zoning jurisdiction of the municipality by agreement entered into pursuant to the provisions of the Joint Powers Agreements Act, provided such additional territory is not within the boundary of another municipality and is contiguous to the exterior boundaries of the territory within the extraterritorial zoning jurisdiction of the municipality;



(1) two miles of the boundary of any municipality having a population of twenty thousand or more persons, provided such territory is not within the boundary of another municipality;


(2) one mile of the boundary of any municipality having a population of one thousand five hundred or more but less than twenty thousand persons, provided such territory is not within the boundaries of another municipality;


(3) the limits of the boundaries of a municipality having a population of one thousand five hundred persons or less;  or


(4) territory not lying within the boundary of a municipality but within the extraterritorial jurisdiction of more than one municipality;  provided that the extraterritorial zoning jurisdiction of each municipality shall terminate equidistant from the boundary of each municipality unless one municipality has a population according to the most recent federal decennial census of less than two thousand five hundred and another municipality has a population according to the most recent federal decennial census of more than two thousand five hundred, in which case the extraterritorial zoning jurisdiction of the municipality having the greatest population extends to such territory;  and


(5) territory in addition to the extraterritorial zoning jurisdiction provided by Paragraphs (1), (2), (3) and (4) of this subsection that the governing bodies of a county and a municipality agree to place within the extraterritorial zoning jurisdiction of the municipality by agreement entered into pursuant to the provisions of the Joint Powers Agreements Act, provided such additional territory is not within the boundary of another municipality and is contiguous to the exterior boundaries of the territory within the extraterritorial zoning jurisdiction of the municipality;


C. concurrent authority shall be exercised pursuant to an extraterritorial zoning authority or joint powers agreement;  provided, however, this authority may be exercised regardless of whether a county has enacted a comprehensive zoning ordinance;  and


D. in the absence of a county zoning ordinance, a qualified elector may file a petition, signed by the qualified electors of the county equal in number to not less than twenty-five percent of the votes cast for the office of governor at the last preceding general election, seeking the adoption of a zoning ordinance by the county zoning authority.  Within one year of the filing of the petition seeking the adoption of a county zoning ordinance, the board of county commissioners shall adopt a county zoning ordinance.
"
New Mexico Statutes Chapter 3. Municipalities § 3-61-1.1. Metropolitan water board,https://codes.findlaw.com/nm/chapter-3-municipalities/nm-st-sect-3-61-1-1.html,"
A. Except as provided in Subsection B of this section, a metropolitan water board shall be composed of the following:

(1) seven elected members as provided in Subsection C of this section;


(2) one member who is a registered voter of the municipality appointed by the governing body of the municipality;  and


(3) one member who is a registered voter of the county appointed by the governing body of the county.



(1) seven elected members as provided in Subsection C of this section;


(2) one member who is a registered voter of the municipality appointed by the governing body of the municipality;  and


(3) one member who is a registered voter of the county appointed by the governing body of the county.


B. In addition to the members specified in Subsection A of this section, the members of a metropolitan water board that is located in a class B county and a municipality lying totally or partially within the boundaries of that county shall include one additional member appointed by the primary privately owned water company of that municipality if:

(1) the city has a population of more than fifty thousand but less than one hundred thousand according to the last federal decennial census or any subsequent decennial census;  or


(2) the county has a population separate of the city of more than twenty-five thousand but less than sixty thousand according to the last federal decennial census or any subsequent decennial census.



(1) the city has a population of more than fifty thousand but less than one hundred thousand according to the last federal decennial census or any subsequent decennial census;  or


(2) the county has a population separate of the city of more than twenty-five thousand but less than sixty thousand according to the last federal decennial census or any subsequent decennial census.


C. Elected members of a metropolitan water board shall be elected at a county-wide special election or at a general election by the registered voters of such county and municipality for such terms as are specified in the respective identical ordinances of the municipality and the county, pursuant to 
Section 3-61-1 NMSA 1978
.  Public employees may be elected to and serve on the board.


D. For the purpose of electing members of the metropolitan water board, the governing bodies of the municipality and the county shall, in the identical such ordinances pursuant to 
Section 3-61-1 NMSA 1978
, district the county once after each federal decennial census into a number of single-member districts equal to the number of elected board members;  provided that in class B counties the board shall consist of no less than seven elected members.  The districts shall be of equal populations as nearly as is practicable, and each member of the board shall reside in and be elected from his respective district.


E. Change of residence to a place outside the district from which a metropolitan board member was elected shall automatically terminate the service of that member on the board, and the office shall be declared vacant.  The respective governing bodies shall jointly, by appointment, fill any vacancies on the board until the next succeeding regular or special election, other than a school election, which is applicable to the area over which the board has jurisdiction, at which time the position shall be filled by election for the remainder of the unexpired term of the member creating the vacancy.
"
New Mexico Statutes Chapter 11. Intergovernmental Agreements and Authorities § 11-6A-3. Local DWI grant program;  fund,https://codes.findlaw.com/nm/chapter-11-intergovernmental-agreements-and-authorities/nm-st-sect-11-6a-3.html,"
A. The division shall establish a local DWI grant program to make grants to municipalities or counties for:

(1) new, innovative or model programs, services or activities to prevent or reduce the incidence of DWI, alcoholism, alcohol abuse, drug addiction or drug abuse;  and


(2) programs, services or activities to prevent or reduce the incidence of domestic abuse related to DWI, alcoholism, alcohol abuse, drug addiction or drug abuse.



(1) new, innovative or model programs, services or activities to prevent or reduce the incidence of DWI, alcoholism, alcohol abuse, drug addiction or drug abuse;  and


(2) programs, services or activities to prevent or reduce the incidence of domestic abuse related to DWI, alcoholism, alcohol abuse, drug addiction or drug abuse.


B. Grants shall be awarded by the council pursuant to the advice and recommendations of the division.


C. The “local DWI grant fund” is created in the state treasury and shall be administered by the division.  Two million five hundred thousand dollars ($2,500,000) of liquor excise tax revenues distributed to the fund and all other money in the fund, other than money appropriated for distribution pursuant to Subsections D and E of this section and money appropriated for DWI program distributions, are appropriated to the division to make grants to municipalities and counties upon council approval in accordance with the program established under the Local DWI Grant Program Act and to evaluate DWI grantees and the local DWI grant program.  Money in the fund may be used for drug courts.  An amount equal to the liquor excise tax revenues distributed annually to the fund, less five million six hundred thousand dollars ($5,600,000), is appropriated to the division to make DWI program distributions to counties upon council approval of programs in accordance with the provisions of the Local DWI Grant Program Act.  No more than six hundred thousand dollars ($600,000) of liquor excise tax revenues distributed to the fund in any fiscal year shall be expended for administration of the grant program.  Balances in the fund at the end of any fiscal year shall not revert to the general fund.


D. Two million eight hundred thousand dollars ($2,800,000) of the liquor excise tax revenues distributed to the local DWI grant fund is appropriated to the division for distribution to the following counties in the following amounts for funding of alcohol detoxification and treatment facilities:

(1) one million seven hundred thousand dollars ($1,700,000) to class A counties with a population of over three hundred thousand persons according to the 1990 federal decennial census;


(2) three hundred thousand dollars ($300,000) each to counties reclassified in 2002 as class A counties with a population of more than ninety thousand but less than one hundred thousand persons according to the 1990 federal decennial census;


(3) two hundred thousand dollars ($200,000) to class B counties with a population of more than thirty thousand but less than forty thousand persons according to the 1990 federal decennial census;


(4) one hundred fifty thousand dollars ($150,000) to class B counties with a population of more than sixty-two thousand but less than sixty-five thousand persons according to the 1990 federal decennial census;  and


(5) one hundred fifty thousand dollars ($150,000) to class B counties with a population of more than thirteen thousand but less than fifteen thousand persons according to the 1990 federal decennial census.



(1) one million seven hundred thousand dollars ($1,700,000) to class A counties with a population of over three hundred thousand persons according to the 1990 federal decennial census;


(2) three hundred thousand dollars ($300,000) each to counties reclassified in 2002 as class A counties with a population of more than ninety thousand but less than one hundred thousand persons according to the 1990 federal decennial census;


(3) two hundred thousand dollars ($200,000) to class B counties with a population of more than thirty thousand but less than forty thousand persons according to the 1990 federal decennial census;


(4) one hundred fifty thousand dollars ($150,000) to class B counties with a population of more than sixty-two thousand but less than sixty-five thousand persons according to the 1990 federal decennial census;  and


(5) one hundred fifty thousand dollars ($150,000) to class B counties with a population of more than thirteen thousand but less than fifteen thousand persons according to the 1990 federal decennial census.


E. Three hundred thousand dollars ($300,000) of the liquor excise tax revenues distributed to the local DWI grant fund is appropriated to the division for the interlock device fund.


F. In awarding DWI grants to local communities, the council:

(1) may fund new or existing innovative or model programs, services or activities designed to prevent or reduce the incidence of DWI, alcoholism or alcohol abuse;


(2) may fund existing community-based programs, services or facilities for prevention, screening and treatment of alcoholism and alcohol abuse;


(3) may fund new or existing innovative or model programs, services or activities of any kind designed to prevent or reduce the incidence of domestic abuse related to DWI, alcoholism or alcohol abuse;


(4) may fund existing community-based programs, services or facilities for prevention and treatment of domestic abuse related to DWI, alcoholism or alcohol abuse;


(5) shall give consideration to a broad range of approaches to prevention, education, screening, treatment or alternative sentencing, including programs that combine incarceration, treatment and aftercare, to address the problem of DWI, alcoholism or alcohol abuse;  and


(6) shall make grants only to counties or municipalities in counties that have established a DWI planning council and adopted a county DWI plan or are parties to a multicounty DWI plan that has been approved by the council and approved pursuant to Chapter 43, Article 3 NMSA 1978 and only for programs, services or activities consistent with that plan.  A DWI plan shall also comply with local DWI grant program rules and guidelines.



(1) may fund new or existing innovative or model programs, services or activities designed to prevent or reduce the incidence of DWI, alcoholism or alcohol abuse;


(2) may fund existing community-based programs, services or facilities for prevention, screening and treatment of alcoholism and alcohol abuse;


(3) may fund new or existing innovative or model programs, services or activities of any kind designed to prevent or reduce the incidence of domestic abuse related to DWI, alcoholism or alcohol abuse;


(4) may fund existing community-based programs, services or facilities for prevention and treatment of domestic abuse related to DWI, alcoholism or alcohol abuse;


(5) shall give consideration to a broad range of approaches to prevention, education, screening, treatment or alternative sentencing, including programs that combine incarceration, treatment and aftercare, to address the problem of DWI, alcoholism or alcohol abuse;  and


(6) shall make grants only to counties or municipalities in counties that have established a DWI planning council and adopted a county DWI plan or are parties to a multicounty DWI plan that has been approved by the council and approved pursuant to Chapter 43, Article 3 NMSA 1978 and only for programs, services or activities consistent with that plan.  A DWI plan shall also comply with local DWI grant program rules and guidelines.


G. The council shall use the criteria in Subsection F of this section to approve DWI programs, services or activities for funding through the county DWI program distribution.  Sixty-five percent of the DWI grants awarded to local communities shall be used for alcohol-related treatment and detoxification programs.
"
