title,href,text
North Carolina General Statutes Chapter 127A. Militia § 127A-40. Pensions for the members of the North Carolina National Guard,https://codes.findlaw.com/nc/chapter-127a-militia/nc-gen-st-sect-127a-40.html,"
(a) Every member and former member of the North Carolina National Guard who meets the requirements of this section shall receive, commencing at age 60, a pension of one hundred five dollars ($105.00) per month for 20 years' creditable military service with an additional ten dollars and fifty cents ($10.50) per month for each additional year of such service;  provided, however, that the total pension shall not exceed two hundred ten dollars ($210.00) per month.  The requirements for a pension are that each member shall:

(1) Have served and qualified for at least 20 years' creditable military service, including National Guard, reserve and active duty, under the same requirement specified for entitlement to retired pay for nonregular service under Chapter 67, Title 10, United States Code.


(2) Have at least 15 years of the aforementioned service as a member of the North Carolina National Guard.


(3) Have received an honorable discharge from the North Carolina National Guard.



(1) Have served and qualified for at least 20 years' creditable military service, including National Guard, reserve and active duty, under the same requirement specified for entitlement to retired pay for nonregular service under Chapter 67, Title 10, United States Code.


(2) Have at least 15 years of the aforementioned service as a member of the North Carolina National Guard.


(3) Have received an honorable discharge from the North Carolina National Guard.


(b) Payment to a retired member of the North Carolina National Guard under the provisions of this section will cease at the death of the individual and no payment will be made to beneficiaries or to the decedent's estate, except that the legal representative of a retired member who dies shall be entitled to a full check for the month in which the death occurred.


(c) No individual receiving retired pay as a result of length of service, age or physical disability retirement from any of the regular components of the Armed Forces of the United States will be eligible for benefits under this section.


(d) Nothing contained in this section shall preclude or in any way affect the benefits that an individual may be entitled to from State, federal or private retirement systems.


(e) Repealed by Session Laws 1989, c. 792, s. 2.3.


(f) The Board of Trustees of the Teachers' and State Employees' Retirement System shall administer the provisions of this section.  The Secretary of Public Safety shall determine the eligibility of North Carolina National Guard members for the benefits provided in this section and shall certify those eligible to the Board of Trustees.  In addition, the Department of Public Safety shall, on and after July 1, 1983, provide the Board of Trustees with an annual census population, by age and the number of years of creditable service, for all former members of the North Carolina National Guard in receipt of a pension as well as for all active members of the North Carolina National Guard who are not in receipt of a pension and who have seven and more years of creditable service.  The Department of Public Safety shall also provide the Board of Trustees an annual census population of all former members of the North Carolina National Guard who are not in receipt of a pension and who have 15 and more years of creditable service.  The Department of State Treasurer shall make pension payments to those persons certified from the North Carolina National Guard Pension Fund, which shall include general fund appropriations made to the Department of State Treasurer.  The Board of Trustees shall have performed an annual actuarial valuation of the fund and shall have the financial responsibility for maintaining the fund on a generally accepted actuarial basis.  The Department of Public Safety shall provide the Department of State Treasurer with whatever assistance is required by the State Treasurer in carrying out the State Treasurer's and the Board of Trustees' financial responsibilities.


(g) The provisions of this section shall apply to any member or former member of the North Carolina National Guard who is qualified for the above retirements with eligibility commencing at age 60 or July 1, 1974, whichever is the later date.


(h) If, for any reason, the North Carolina National Guard Pension Fund shall be insufficient to pay in full any pension benefits, or other charges, then all benefits or payments shall be reduced pro rata, for as long as the deficiency in amount exists.  No claim shall accrue with respect to any amount by which a pension or benefit payment shall have been reduced.


(h1) Any member or former member of the North Carolina National Guard who is qualified for benefits under this section and who is a member of a domiciled employees' or retirees' association that has at least 2,000 members, the majority of whom are active or retired employees of the State or public school employees, may authorize, in writing, the periodic deduction from the member's retirement benefits a designated lump sum to be paid to the employees' or retirees' association.  The authorization shall remain in effect until revoked by the member.  A plan of deductions pursuant to this subsection shall become void if the employees' or retirees' association engages in collective bargaining with the State, any political subdivision of the State, or any local school administrative unit.


(i) Pensions for members of the North Carolina National Guard shall be subject to future legislative change or revision.


(j) Except for the applications of the provisions of 
G.S. 110-136
, and in connection with a court-ordered equitable distribution under 
G.S. 50-20
, the pensions provided are not subject to attachment, garnishments, or judgments against the member or former member of the National Guard entitled to them, nor are any rights in the fund or the pensions or benefits assignable.  Notwithstanding any provisions to the contrary, any overpayment of benefits or erroneous payment to a member in a State-administered retirement system, the Disability Salary Continuation Plan, or the Disability Income Plan of North Carolina, including any benefits paid to, or State Health Plan premiums or claims paid on behalf of, any member who is later determined to have been ineligible for those benefits or unentitled to those amounts, may be offset against any retirement allowance, return of contributions, or any other right accruing under this Article to the same person, the person's estate, or designated beneficiary.
"
"North Carolina General Statutes Chapter 162A. Water and Sewer Systems § 162A-34. District board;  composition, appointment, term, oaths and removal of members;  organization;  meetings;  quorum;  compensation and expenses of members",https://codes.findlaw.com/nc/chapter-162a-water-and-sewer-systems/nc-gen-st-sect-162a-34.html,"
(a) Immediately after the creation of the district, the board of commissioners shall appoint three members of the district board and the governing body of each political subdivision included in the district shall appoint one member, except that if any city or town has a population, according to the latest decennial census, in excess of the total population of the remaining cities and towns within the district, or where there are no other cities or towns involved, if the census population is in excess of the total population of the remainder of the district, the governing body shall appoint three members.  No appointment of a member of the district board shall be made by or in behalf of any political subdivision of which the board of commissioners shall be the governing body, the three appointees designated by the board of commissioners shall be selected from within the district and shall be deemed to represent all such political subdivisions.  The members of the district board first appointed shall have terms expiring one year, two years and three years, respectively, from the date of adoption of the resolution of the Commission for Public Health creating the district, as the board of commissioners shall determine, provided that of the three members appointed by any governing body, not more than one such member shall be appointed for a three-year term.  Successive members shall each be appointed to serve only for the unexpired term and any member of the district board may be reappointed.  Appointments of successor members shall, in each instance, be made by the governing body making the initial appointment or appointments.  All members shall serve until their successors have been duly appointed and qualified, and any member of the district board may be removed for cause by the governing body appointing him.
Each member of the district board before entering upon his duties shall take and subscribe an oath or affirmation to support the Constitution and laws of the United States and of this State and to discharge faithfully the duties of his office, and a record of each such oath shall be filed with the clerk of the board of commissioners.
The district board shall elect one of its members as chairman and another as vice-chairman and shall appoint a secretary and a treasurer who may but need not be members of the district board.  The offices of secretary and treasurer may be combined.  The terms of office of the chairman, vice-chairman, secretary and treasurer shall be as provided in the bylaws of the district board.
The district board shall meet regularly at such places and dates as determined by the board.  Special meetings may be called by the chairman on his own initiative and shall be called by him upon request of two or more members of the board.  All members shall be notified in writing at least 24 hours in advance of such meeting.  A majority of the members of the district board shall constitute a quorum and the affirmative vote of a majority of the members of the district board present at any meeting thereof shall be necessary for any action taken by the district board.  No vacancy in the membership of the district board shall impair the right of a quorum to exercise all the rights and perform all the duties of the district board.  Each member including the chairman shall be entitled to vote on any question.  The members of the district board may receive compensation in an amount to be determined by the board, but not to exceed ten dollars ($10.00) for each meeting attended, and may be reimbursed the amount of actual expenses incurred by them in the performance of their duties.


(b) Any metropolitan water district wholly within the corporate limits of two or more municipalities shall be governed by a district board consisting of members appointed by the governing body of each political subdivision (municipal corporation) included wholly or partially in the district and an additional at-large member appointed by the other members of the district board as provided in this subsection.  The governing body of each constituent municipality shall initially appoint two members from its qualified electors, one for a term expiring the first day of July after the first succeeding regular election in which municipal officers shall be elected by the municipality from which he is appointed, and the other for a term expiring the first day of July after the second succeeding regular election of municipal officers in the municipality.  Thereafter, subsequent to each ensuing regular election of municipal officers the governing body of each municipal corporation composing any part of the metropolitan water district shall appoint one member to the district board for a term of four years beginning on the first day of July.  The one additional at-large member of the district board shall be a qualified elector of a constituent municipality of the district and appointed initially and quadrennially thereafter by majority vote of the other district board membership for a term of four years which shall expire on the first day of August in every fourth calendar year thereafter.
Any vacancy in district board membership shall be filled by appointment of the original appointing authority for the remainder of the unexpired term.
The provisions of subsection (a) in particular and of this Article generally not inconsistent with this subsection shall also apply.


(c) In those cases where a district is created which includes a municipality which owns an existing water and sewer system and where the county commissioners are acting as or have been appointed as trustees of a separate water or sewer system, or both which will be included within the district along with an existing municipal system, the district board shall be comprised of seven members designated as follows:  three county commissioners and three members of the city council of the municipality, said members to be selected by majority vote of the governing body on which they serve.  These six members of the district board shall appoint a seventh member who shall also serve as chairman of the district board and whose term shall automatically expire upon the seating of either a new board of commissioners, or of a new council of the municipality.
The chairman of the district board will be eligible, however, for reappointment, upon the expiration of his or her current term, by the next district board selected upon and after the seating of either a new board of commissioners or new council of the municipality.  The chairman of the district board shall take and subscribe an oath or affirmation to support the Constitution and laws of the United States and of this State, and to discharge faithfully the duties of his office, and a record of each such oath shall be filed with the clerk of the board of commissioners and the clerk of the municipality.  The other six members will serve upon said board corollary to the responsibilities and duties of their respective elective offices and such service upon the district board will not constitute the holding of a public office.  No compensation shall be paid to any member of the district board except for the chairman, and his compensation shall be fixed by the remaining six members.  Except as provided above, no additional oath or affirmation shall be required of the members of the district board.  No county commissioner or member of the council of the municipality shall continue to serve upon the district board subsequent to the termination of his or her current elective term, except upon reelection to said office.
The district board shall appoint a secretary and a treasurer who will not be members of the district board.  The terms of office of the secretary and treasurer shall be as provided in the bylaws of the district board and the compensation of said officers shall be fixed by the district board.  The treasurer shall furnish bond in some security company authorized to do business in North Carolina, the amount to be fixed by the district board in a sum not less than five thousand dollars ($5,000), which bond shall be approved by the district board and shall be continued upon the faithful performance of his duties.  Every official, employee or agent of the district who handles or has custody of more than one hundred dollars ($100.00) of such district funds at any time, shall before assuming his duties as such be required to furnish bond in some security company authorized to do business in North Carolina, the amount to be fixed by the district board, which bond shall be approved by the district board and shall be continued upon the faithful performance of his duties in an amount sufficient to protect the district.  All bonds required by this section shall be filed with the clerk of the municipality.
The district board shall meet regularly and no less than monthly, at such places and dates as determined by the board.  Special meetings may be called by the chairman on his own initiative and shall be called by him upon request of two or more members of the board.  All members shall be notified in writing at least 24 hours in advance of any meeting.  A majority of the members of the district board shall constitute a quorum and the affirmative vote of a majority of the district board present at any meeting thereof shall be necessary for any action taken by the district board.  No vacancy in the membership of the district board shall impair the right of a quorum to exercise all the rights and perform all the duties of the district board.  Each member, including the chairman, shall be entitled to vote upon any question.
Any vacancy in district board membership, except that of the chairman, shall be filled by appointment of the original appointing authority for the remainder of the unexpired term.  Each governing body may, by majority vote, replace at any time its representatives on said district board.
"
North Carolina General Statutes Chapter 143B. Executive Organization Act of 1973 § 143B-437.09. Urban progress zone designation,https://codes.findlaw.com/nc/chapter-143b-executive-organization-act-of-1973/nc-gen-st-sect-143b-437-09.html,"
(a) Urban Progress Zone Defined.--An urban progress zone is an area that meets all of the following conditions:

(1) It is comprised of part or all of one or more contiguous census tracts, census block groups, or both, in the most recent federal decennial census.


(2) All of the area is located in whole within the primary corporate limits of a municipality with a population in excess of 10,000 according to the most recent annual population estimates certified by the State Budget Officer.


(3) Every census tract and census block group that comprises the area meets at least one of the following conditions:

a. It has a population that meets the poverty level threshold.  The population of a census tract or census block group meets the poverty level threshold if more than twenty percent (20%) of its population is below the poverty level according to the most recent federal decennial census.


b. It is located adjacent to a census tract or census block group whose population meets the poverty level threshold and at least fifty percent (50%) of the part of it that is included in the area is zoned as nonresidential.  No more than thirty-five percent (35%) of the area of a zone may consist of census tracts or census block groups that satisfy this condition only.


c. It has a population that has a poverty level that is greater than the poverty level of the population of the State and a per capita income that is at least ten percent (10%) below the per capita income of the State according to the most recent federal decennial census, and it has experienced a major plant closing and layoff within the past 10 years.  A census tract or census block group has experienced a major plant closing and layoff if one of its industries has closed one or more facilities in the census tract or census block group resulting in a layoff of at least 3,000 employees working in the census tract or census block group and if the number of employees laid off is greater than seven percent (7%) of the population of the municipality according to the most recent federal decennial census.




(1) It is comprised of part or all of one or more contiguous census tracts, census block groups, or both, in the most recent federal decennial census.


(2) All of the area is located in whole within the primary corporate limits of a municipality with a population in excess of 10,000 according to the most recent annual population estimates certified by the State Budget Officer.


(3) Every census tract and census block group that comprises the area meets at least one of the following conditions:

a. It has a population that meets the poverty level threshold.  The population of a census tract or census block group meets the poverty level threshold if more than twenty percent (20%) of its population is below the poverty level according to the most recent federal decennial census.


b. It is located adjacent to a census tract or census block group whose population meets the poverty level threshold and at least fifty percent (50%) of the part of it that is included in the area is zoned as nonresidential.  No more than thirty-five percent (35%) of the area of a zone may consist of census tracts or census block groups that satisfy this condition only.


c. It has a population that has a poverty level that is greater than the poverty level of the population of the State and a per capita income that is at least ten percent (10%) below the per capita income of the State according to the most recent federal decennial census, and it has experienced a major plant closing and layoff within the past 10 years.  A census tract or census block group has experienced a major plant closing and layoff if one of its industries has closed one or more facilities in the census tract or census block group resulting in a layoff of at least 3,000 employees working in the census tract or census block group and if the number of employees laid off is greater than seven percent (7%) of the population of the municipality according to the most recent federal decennial census.



a. It has a population that meets the poverty level threshold.  The population of a census tract or census block group meets the poverty level threshold if more than twenty percent (20%) of its population is below the poverty level according to the most recent federal decennial census.


b. It is located adjacent to a census tract or census block group whose population meets the poverty level threshold and at least fifty percent (50%) of the part of it that is included in the area is zoned as nonresidential.  No more than thirty-five percent (35%) of the area of a zone may consist of census tracts or census block groups that satisfy this condition only.


c. It has a population that has a poverty level that is greater than the poverty level of the population of the State and a per capita income that is at least ten percent (10%) below the per capita income of the State according to the most recent federal decennial census, and it has experienced a major plant closing and layoff within the past 10 years.  A census tract or census block group has experienced a major plant closing and layoff if one of its industries has closed one or more facilities in the census tract or census block group resulting in a layoff of at least 3,000 employees working in the census tract or census block group and if the number of employees laid off is greater than seven percent (7%) of the population of the municipality according to the most recent federal decennial census.


(b) Limitations. -- No census tract or block group may be located in more than one urban progress zone.  The total area of all zones within a municipality may not exceed fifteen percent (15%) of the total area of the municipality unless the smallest possible area in the municipality satisfying all of the conditions of subsection (a) of this section exceeds fifteen percent (15%) of the total area of the municipality.  In the case of a municipality where the smallest possible area in the municipality satisfying all of the conditions of subsection (a) of this section exceeds fifteen percent (15%) of the total area of the municipality, the smallest possible area in the municipality satisfying all of the conditions of subsection (a) of this section may be designated as an urban poverty zone.


(c) Designation. -- Upon application of a local government, the Secretary of Commerce shall make a written determination whether an area is an urban progress zone that satisfies the conditions and limitations of subsections (a) and (b) of this section.  The application shall include all of the information listed in this subsection.  A determination under this section is effective until December 31 of the year following the year in which the determination is made.  The Department of Commerce shall publish annually a list of all urban progress zones with a description of their boundaries.

(1) A map showing the census tracts and block groups that would comprise the zone.


(2) A detailed description of the boundaries of the area that would comprise the zone.


(3) A zoning map for the municipality with the proposed zone clearly delineated upon it.


(4) A certification regarding the size of the proposed zone and the areas within the proposed zone zoned as nonresidential.


(5) Detailed census information on the municipality and the proposed zone.


(6) A resolution of the governing body of the municipality requesting the designation of the area as an urban progress zone.


(7) Any other material required by the Secretary of Commerce.



(1) A map showing the census tracts and block groups that would comprise the zone.


(2) A detailed description of the boundaries of the area that would comprise the zone.


(3) A zoning map for the municipality with the proposed zone clearly delineated upon it.


(4) A certification regarding the size of the proposed zone and the areas within the proposed zone zoned as nonresidential.


(5) Detailed census information on the municipality and the proposed zone.


(6) A resolution of the governing body of the municipality requesting the designation of the area as an urban progress zone.


(7) Any other material required by the Secretary of Commerce.


(d) Parcel of Property Partially in Urban Progress Zone. -- For the purposes of this section, a parcel of property that is located partially within an urban progress zone is considered entirely within the zone if all of the following conditions are satisfied:

(1) At least fifty percent (50%) of the parcel is located within the zone.


(2) The parcel was in existence and under common ownership prior to the most recent federal decennial census.


(3) The parcel is a portion of land made up of one or more tracts or tax parcels of land that is surrounded by a continuous perimeter boundary.



(1) At least fifty percent (50%) of the parcel is located within the zone.


(2) The parcel was in existence and under common ownership prior to the most recent federal decennial census.


(3) The parcel is a portion of land made up of one or more tracts or tax parcels of land that is surrounded by a continuous perimeter boundary.
"
North Carolina General Statutes Chapter 160A. Cities and Towns § 160A-486. Estimates of population,https://codes.findlaw.com/nc/chapter-160a-cities-and-towns/nc-gen-st-sect-160a-486.html,
North Carolina General Statutes Chapter 162A. Water and Sewer Systems § 162A-67.5. Determination of population and representation,https://codes.findlaw.com/nc/chapter-162a-water-and-sewer-systems/nc-gen-st-sect-162a-67-5.html,"
(a) For purposes of determining district board representation of political subdivisions for any appointment under this Article, population shall be determined by reference to the most recent decennial census.


(b) For purposes of determining population for district board representation, only that portion of the population residing within the district boundary itself shall be included for each political subdivision and each unincorporated area having district board representation at the time such determination is made.


(c) In determining district board representation, no appointment shall be made by or in behalf of a political subdivision which does not own or operate a public system for the collection of wastewater at the time of such appointment.
"
"North Carolina Constitution Art. VII, § 1. General Assembly to provide for local government",https://codes.findlaw.com/nc/north-carolina-constitution/nc-const-art-vii-sect-1.html,
North Carolina General Statutes Chapter 143B. Executive Organization Act of 1973 § 143B-437.010. Agrarian growth zone designation,https://codes.findlaw.com/nc/chapter-143b-executive-organization-act-of-1973/nc-gen-st-sect-143b-437-010.html,"
(a) Agrarian Growth Zone Defined.--An agrarian growth zone is an area that meets all of the following conditions:

(1) It is comprised of one or more contiguous census tracts, census block groups, or both, in the most recent federal decennial census.


(2) All of the area is located in whole within a county that has no municipality with a population in excess of 10,000.


(3) Every census tract and census block group that comprises the area either has more than twenty percent (20%) of its population below the poverty level or is adjacent to another census tract or census block group in the zone that has more than twenty percent (20%) of its population below the poverty level according to the most recent federal decennial census.


(4) The zone as a whole has more than twenty percent (20%) of its population below the poverty level according to the most recent federal decennial census.



(1) It is comprised of one or more contiguous census tracts, census block groups, or both, in the most recent federal decennial census.


(2) All of the area is located in whole within a county that has no municipality with a population in excess of 10,000.


(3) Every census tract and census block group that comprises the area either has more than twenty percent (20%) of its population below the poverty level or is adjacent to another census tract or census block group in the zone that has more than twenty percent (20%) of its population below the poverty level according to the most recent federal decennial census.


(4) The zone as a whole has more than twenty percent (20%) of its population below the poverty level according to the most recent federal decennial census.


(b) Limitation and Designation.--The area of a county that is included in one or more agrarian growth zones shall not exceed five percent (5%) of the total area of the county.  Upon application of a county, the Secretary of Commerce shall make a written determination whether an area is an agrarian growth zone that satisfies the conditions of subsection (a) of this section.  The application shall include all of the information listed in this subsection.  A determination under this section is effective until December 31 of the year following the year in which the determination is made.  The Department of Commerce shall publish annually a list of all agrarian growth zones with a description of their boundaries.

(1) A map showing the census tracts and block groups that would comprise the zone.


(2) A detailed description of the boundaries of the area that would comprise the zone.


(3) A certification regarding the size of the proposed zone.


(4) Detailed census information on the county and the proposed zone.


(5) A resolution of the board of county commissioners requesting the designation of the area as an agrarian growth zone.


(6) Any other material required by the Secretary of Commerce.



(1) A map showing the census tracts and block groups that would comprise the zone.


(2) A detailed description of the boundaries of the area that would comprise the zone.


(3) A certification regarding the size of the proposed zone.


(4) Detailed census information on the county and the proposed zone.


(5) A resolution of the board of county commissioners requesting the designation of the area as an agrarian growth zone.


(6) Any other material required by the Secretary of Commerce.


(c) Parcel of Property Partially in Agrarian Growth Zone.--For the purposes of this section, a parcel of property that is located partially within an agrarian growth zone is considered entirely within the zone if all of the following conditions are satisfied:

(1) At least fifty percent (50%) of the parcel is located within the zone.


(2) The parcel was in existence and under common ownership prior to the most recent federal decennial census.


(3) The parcel is a portion of land made up of one or more tracts or tax parcels of land that is surrounded by a continuous perimeter boundary.



(1) At least fifty percent (50%) of the parcel is located within the zone.


(2) The parcel was in existence and under common ownership prior to the most recent federal decennial census.


(3) The parcel is a portion of land made up of one or more tracts or tax parcels of land that is surrounded by a continuous perimeter boundary.
"
North Carolina General Statutes Chapter 160A. Cities and Towns § 160A-58.63. Population and land estimates,https://codes.findlaw.com/nc/chapter-160a-cities-and-towns/nc-gen-st-sect-160a-58-63.html,"
(1) As to population, if the estimate is based on the number of dwelling units in the area multiplied by the average family size in such area, or in the township or townships of which such area is a part, as determined by the last preceding federal decennial census;  or if it is based on a new enumeration carried out under reasonable rules and regulations by the annexing municipality;  provided, that the court shall not accept such estimates if the petitioners demonstrate that such estimates are in error in the amount of ten percent (10%) or more.


(2) As to total area, if the estimate is based on an actual survey, or on county tax maps or records, or on aerial photographs, or on some other reasonably reliable map used for official purposes by a governmental agency, unless the petitioners on appeal demonstrate that such estimates are in error in the amount of five percent (5%) or more.


(3) As to degree of land subdivision, if the estimates are based on an actual survey, or on county tax maps or records, or on aerial photographs, or on some other reasonably reliable source, unless the petitioners on appeal show that such estimates are in error in the amount of five percent (5%) or more.
"
North Carolina General Statutes Chapter 160A. Cities and Towns § 160A-23.1. Special rules for redistricting after a federal decennial census,https://codes.findlaw.com/nc/chapter-160a-cities-and-towns/nc-gen-st-sect-160a-23-1.html,"
(a) As soon as possible after receipt of federal decennial census information, the council of any city which elects the members of its governing board on a district basis, or where candidates for such office must reside in a district in order to run, shall evaluate the existing district boundaries to determine whether it would be lawful to hold the next election without revising districts to correct population imbalances.  If such revision is necessary, the council shall consider whether it will be possible to adopt the changes (and obtain approval from the United States Department of Justice, if necessary) before the third day before opening of the filing period for the municipal election.  The council shall take into consideration the time that will be required to afford ample opportunities for public input.  If the council determines that it most likely will not be possible to adopt the changes (and obtain federal approval, if necessary) before the third business day before opening of the filing period, and determines further that the population imbalances are so significant that it would not be lawful to hold the next election using the current electoral districts, it may adopt a resolution delaying the election so that it will be held on the timetable provided by subsection (d) of this section.  Before adopting such a resolution, the council shall hold a public hearing on it.  The notice of public hearing shall summarize the proposed resolution and shall be published at least once in a newspaper of general circulation, not less than seven days before the date fixed for the hearing.  Notwithstanding adoption of such a resolution, if the council proceeds to adopt the changes, (and federal approval is obtained, if necessary) by the end of the third business day before the opening of the filing period, the election shall be held on the regular schedule under the revised electoral districts.  Any resolution adopted under this subsection, and any changes in electoral district boundaries made under this section shall be submitted to the United States Department of Justice (if the city is covered under Section 5 of the Voting Rights Act of 1965), the State Board of Elections, and to the board conducting the elections for that city.


(b) In adopting any revisal under this section, if the council determines that in order for the plan to conform to the Voting Rights Act of 1965, the number of district seats needs to be increased or decreased, it may do so by following the procedures set forth in Part 4 of Article 5 of Chapter 160A of the General Statutes, except that the ordinance under 
G.S. 160A-102
 may be adopted at the same meeting as the public hearing, and any referendum on the change under 
G.S. 160A-103
 shall not apply to the municipal election in the two years following a federal decennial census.


(c) If the resolution provided for in subsection (a) of this section is not adopted and:

(1) Proposed changes to the electoral districts are not adopted, or


(2) Such changes are adopted, but approval under the Voting Rights Act of 1965, as amended, is required, and notice of such approval is not received, 

by the end of the third business day before the opening of the filing period, the election shall be held on the regular schedule using the current electoral districts.


(1) Proposed changes to the electoral districts are not adopted, or


(2) Such changes are adopted, but approval under the Voting Rights Act of 1965, as amended, is required, and notice of such approval is not received, 


(d) If the council adopts the resolution provided for in subsection (a) of this section and does not adopt the changes, or does adopt the changes, but approval under the Voting Rights Act of 1965, as amended, is required, and notice of such approval is not received, by the end of the third day before the opening of the filing period, the municipal election shall be rescheduled as provided in this subsection and current officeholders shall hold over until their successors are elected and qualified.  For cities using the:

(1) Partisan primary and election method under 
G.S. 163-291
, the primary shall be held on the primary election date for county officers in the second year following a federal decennial census, the second primary, if necessary, shall be held on the second primary election date for county officers in that year, and the general election shall be held on the general election date for county officers in that year.


(2) Nonpartisan primary and election method under 
G.S. 163-294
, the primary shall be held on the primary election date for county officers in the second year following a federal decennial census, and the election shall be held on the date for the second primary for county officers in that year.


(3) Nonpartisan plurality election method under 
G.S. 163-292
, the election shall be held on the primary election date for county officers in the second year following a federal decennial census.


(4) Election and runoff method under 
G.S. 163-293
, the election shall be held on the primary election date for county officers in the second year following a federal decennial census, and the runoffs, if necessary, shall be held on the date for the second primary for county officers in that year.

The organizational meeting of the new council may be held at any time after the results of the election have been officially determined and published, but not later than the time and date of the first regular meeting of the council in November of the second year following a federal decennial census, except in the case of partisan municipal elections, when the organizational meeting shall be held not later than the time and date of the first regular meeting of the council in December of the second year following a federal decennial census.


(1) Partisan primary and election method under 
G.S. 163-291
, the primary shall be held on the primary election date for county officers in the second year following a federal decennial census, the second primary, if necessary, shall be held on the second primary election date for county officers in that year, and the general election shall be held on the general election date for county officers in that year.


(2) Nonpartisan primary and election method under 
G.S. 163-294
, the primary shall be held on the primary election date for county officers in the second year following a federal decennial census, and the election shall be held on the date for the second primary for county officers in that year.


(3) Nonpartisan plurality election method under 
G.S. 163-292
, the election shall be held on the primary election date for county officers in the second year following a federal decennial census.


(4) Election and runoff method under 
G.S. 163-293
, the election shall be held on the primary election date for county officers in the second year following a federal decennial census, and the runoffs, if necessary, shall be held on the date for the second primary for county officers in that year.


(e) This section does not apply to any municipality that, under its charter, is not scheduled to hold an election in the year following a federal decennial census.
"
North Carolina General Statutes Chapter 157. Housing Authorities and Projects § 157-9.1. Moderate income,https://codes.findlaw.com/nc/chapter-157-housing-authorities-and-projects/nc-gen-st-sect-157-9-1.html,"
(a) Whenever the words “low income” appear in this Chapter, they shall be construed to mean “low and moderate income.”


(b) This section applies only to the housing authority of the largest city in a county which has two or more cities with a population of 60,000 or over, according to the most recent decennial federal census.


(c) This section shall apply only to existing, non-federally subsidized structures.


(d) Notwithstanding the provisions of subsections (b) and (c), subsection (a) of this section applies to all counties with an area of 250 square miles or less, and a population of more then [than]   1 100,000 according to the most recent decennial federal census, and applies to all cities within such counties.


(e) Notwithstanding the provisions of subsections (b), (c), and (d) of this section, subsection (a) of this section applies to the housing authorities of all cities that have a population of less than 20,000 according to the most recent decennial federal census and are the location of a constituent institution of The University of North Carolina that has a student enrollment of more than 10,000 students and applies to the housing authorities of all counties that have a population of less than 80,000 according to the most recent decennial federal census and are the location of a constituent institution of The University of North Carolina that has a student enrollment of more than 10,000 students.
"
