GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
1620000US3000700,3000700,"Alberton town, Montana",420,417,415,415,408,418,414,419,413,428,435
1620000US3001675,3001675,"Anaconda-Deer Lodge County, Montana",9298,9292,9289,9278,9212,9255,9115,9104,9058,9093,9131
1620000US3003400,3003400,"Bainville town, Montana",208,208,215,248,284,293,300,317,311,312,318
1620000US3003475,3003475,"Baker city, Montana",1741,1776,1778,1803,1864,1888,1943,2000,1966,1938,1910
1620000US3004300,3004300,"Bearcreek town, Montana",79,77,77,76,77,78,80,80,80,82,82
1620000US3004975,3004975,"Belgrade city, Montana",7389,7462,7473,7565,7611,7673,7790,8013,8241,8623,8993
1620000US3005275,3005275,"Belt town, Montana",597,576,580,586,585,586,583,576,572,567,566
1620000US3006250,3006250,"Big Sandy town, Montana",598,598,597,596,612,603,606,592,591,586,583
1620000US3006475,3006475,"Big Timber city, Montana",1641,1650,1635,1626,1622,1655,1648,1640,1638,1670,1682
1620000US3006550,3006550,"Billings city, Montana",104170,104294,104521,105457,106772,108581,108458,109638,109647,109806,109550
1620000US3008575,3008575,"Boulder city, Montana",1183,1179,1181,1178,1179,1193,1203,1212,1237,1252,1267
1620000US3008950,3008950,"Bozeman city, Montana",37280,37290,37336,38091,38645,39788,41645,43334,45200,46951,48532
1620000US3009475,3009475,"Bridger town, Montana",708,707,707,709,716,729,735,734,739,753,754
1620000US3009700,3009700,"Broadus town, Montana",468,475,475,478,482,483,489,486,480,479,473
1620000US3009775,3009775,"Broadview town, Montana",192,192,197,195,199,197,196,196,192,191,188
1620000US3010000,3010000,"Brockton town, Montana",255,224,224,224,231,236,240,242,238,237,234
1620000US3010375,3010375,"Browning town, Montana",1016,1008,1009,1031,1035,1046,1036,1031,1037,1036,1042
1620000US3011397,3011397,"Butte-Silver Bow (balance), Montana",33525,33505,33529,33702,33774,33878,34053,33988,34011,34207,34284
1620000US3012775,3012775,"Cascade town, Montana",685,686,687,694,706,709,707,698,691,688,685
1620000US3014200,3014200,"Chester town, Montana",847,850,855,869,877,861,856,876,884,886,891
1620000US3014575,3014575,"Chinook city, Montana",1203,1205,1207,1220,1244,1235,1248,1243,1249,1256,1273
1620000US3014650,3014650,"Choteau city, Montana",1684,1671,1673,1667,1678,1676,1670,1681,1670,1698,1713
1620000US3014950,3014950,"Circle town, Montana",615,623,628,615,616,622,624,617,627,619,608
1620000US3015550,3015550,"Clyde Park town, Montana",288,303,302,305,308,311,314,314,315,322,325
1620000US3016525,3016525,"Colstrip city, Montana",2214,2216,2225,2271,2327,2319,2326,2335,2309,2313,2266
1620000US3016600,3016600,"Columbia Falls city, Montana",4688,4710,4703,4708,4724,4791,4907,5050,5192,5357,5575
1620000US3016825,3016825,"Columbus town, Montana",1893,1888,1900,1925,1937,1977,1982,2029,2015,2032,2049
1620000US3017275,3017275,"Conrad city, Montana",2570,2574,2583,2596,2580,2609,2574,2556,2529,2503,2500
1620000US3018475,3018475,"Culbertson town, Montana",714,720,728,733,769,784,798,818,807,803,795
1620000US3018775,3018775,"Cut Bank city, Montana",2869,2888,2895,2936,2974,3010,3015,3001,3018,3005,3022
1620000US3019300,3019300,"Darby town, Montana",720,723,730,733,736,738,738,749,766,779,792
1620000US3019825,3019825,"Deer Lodge city, Montana",3111,3162,3154,3172,3174,3114,3053,2996,2989,2937,2916
1620000US3020425,3020425,"Denton town, Montana",255,255,256,252,250,252,248,248,248,247,243
