title,href,text
Pennsylvania Statutes Title 53 P.S. Municipal and Quasi-Municipal Corporations § 55209. Ascertainment of population,https://codes.findlaw.com/pa/title-53-ps-municipal-and-quasimunicipal-corporations/pa-st-sect-53-55209.html,
Pennsylvania Statutes Title 24 P.S. Education § 2-204 § 2-204. Basis for and change of classification,https://codes.findlaw.com/pa/title-24-ps-education/pa-st-sect-24-2-204.html,"
(1) After the taking of a United States   1 census showing the population of any school district to be such as to entitle it to be changed from one class of school district to another;


(2) When a district, which at a decennial census, had sufficient population to entitle it to an advance to another class of district, has since suffered a large decrease in population, or which at a decennial census did not have sufficient population to entitle it to an advance to another class of district and has since increased in population, a census of the district may be authorized by the board of school directors of the district, and, if it shall appear that said district has not the required population to remain in the class in which the same then is or if it shall appear that the district has sufficient population to entitle it to advance to another class of district, the Superintendent of Public Instruction,  2 on the request of the board of school directors and upon receipt of the facts disclosed by said census, may issue his proclamation declaring such district to be of the class to which it properly belongs, as disclosed by the census of the school board.


(3) Where the population of two districts combined subsequent to the taking of a United States census and ascertained by such census is such as to entitle the new or combined district to be in a class different from the class of either of the districts so combined;


(4) Where, since the last preceding United States census, any territory has been annexed to any city, borough, town, or township, whereby the population of such city, borough, town, or township has been increased, and the population of such annexed territory cannot be ascertained from the last preceding census of the United States, the directors of the school districts affected by such annexation may apply to the court of common pleas for the appointment of a commissioner to make an enumeration of the population of such annexed territory.  The court shall certify the population of the annexed territory so ascertained, together with the population of the city, borough, town, or township, as shown by the last preceding United States census, to the Superintendent of Public Instruction.  The cost of the proceeding, including reasonable compensation for the commissioner, to be fixed by the court, shall be paid by the school district.
"
"Pennsylvania Statutes Title 16 P.S. Counties § 11001. Salaries to be altered only by act of assembly, notwithstanding change in population",https://codes.findlaw.com/pa/title-16-ps-counties/pa-st-sect-16-11001.html,
Pennsylvania Statutes Title 53 P.S. Municipal and Quasi-Municipal Corporations § 22123. Minimum population of new ward,https://codes.findlaw.com/pa/title-53-ps-municipal-and-quasimunicipal-corporations/pa-st-sect-53-22123.html,
Pennsylvania Statutes Title 72 P.S. Taxation and Fiscal Affairs § 2615.7. Calculation of mileage;  calculations involving population,https://codes.findlaw.com/pa/title-72-ps-taxation-and-fiscal-affairs/pa-st-sect-72-2615-7.html,"
(a) The calculation of mileage shall be determined, annually, as of the first day of January by the department from reports submitted by the municipalities.


(b) The calculations involving population shall be made by the department, and shall be based on the latest available official census figures determined on or before the first day of January in the year the money is to be paid to the municipalities.  Where the population of any municipality changes by reason of annexation, withdrawal or dissolution, the department shall not be presumed to have notice of such change until furnished with a statement approved by all affected political subdivisions or with an order of a court of competent jurisdiction.
"
Pennsylvania Statutes Title 53 P.S. Municipal and Quasi-Municipal Corporations § 55205. Enrollment to ascertain population,https://codes.findlaw.com/pa/title-53-ps-municipal-and-quasimunicipal-corporations/pa-st-sect-53-55205.html,
"Pennsylvania Statutes Title 16 P.S. Counties § 211. Ascertainment, certification and effect of change of class",https://codes.findlaw.com/pa/title-16-ps-counties/pa-st-sect-16-211.html,"
(a) The classification of counties shall be ascertained and fixed according to their population by reference from time to time to the decennial United States census as hereinafter provided, deducting therefrom the number of persons residing on any lands that have been ceded to the United States.


(b) Whenever it shall appear by any such census that any county has attained a population entitling it to an advance in classification, or whenever it shall appear by the last two preceding censuses that a county has heretofore or hereafter decreased in population so as to recede in classification, as herein prescribed, it shall be the duty of the Governor, under the great seal of this Commonwealth, to certify that fact accordingly, to the board of county commissioners on or before the first day of October of the year succeeding that in which the census was taken or as soon thereafter as may be, which certificate shall be forwarded by the commissioners to the recorder of deeds and be recorded in his office.
It is the intent of this section that the classification of any county shall not be changed because its population has decreased at the time of one United States decennial census, because it is recognized that a change in the form of local government is attended by certain expense and hardship, and such change should not be occasioned by a temporary fluctuation in population, but rather only after it is demonstrated by two censuses that the population of a county has remained below the minimum figure of its class for at least a decade.


(c) Changes of class ascertained and certified as aforesaid shall become effective on the first day of January next following the year in which the change was so certified by the Governor to the county commissioners but the salaries of county officers shall not thereby be increased or decreased during the term for which they shall have been elected.  In the municipal election following such certification of change of class and preceding the effective date of such change, the proper number of persons shall be elected to fill any elective office which will exist in the county by the change of classification certified.  No election shall be held for any office which will be abolished as a result of such change of classification.
"
"Pennsylvania Statutes Title 16 P.S. Counties § 3211. Ascertainment, certification and effect of change of class",https://codes.findlaw.com/pa/title-16-ps-counties/pa-st-sect-16-3211.html,"
(a) The classification of counties shall be ascertained and fixed according to their population by reference, from time to time, to the last preceding decennial United States census, deducting therefrom the number of persons residing on any lands that have been ceded to the United States.


(b) Whenever it shall appear by any such census that any county has attained a population entitling it to an advance in classification, or that a county has heretofore or hereafter decreased in population so as to recede in classification, as herein prescribed, it shall be the duty of the Governor, under the great seal of this Commonwealth, to certify that fact accordingly to the board of county commissioners on or before the first day of October of the year succeeding that in which the census was taken, or as soon thereafter as may be, which certificate shall be forwarded by the commissioners to the recorder of deeds and be recorded in his office.


(c) Changes of class, ascertained and certified as aforesaid, shall become effective on the first day of January next following the year in which the change was so certified by the Governor to the county commissioners, but the salaries of county officers shall not thereby be increased or decreased during the term for which they shall have been elected.  In the municipal election following such certification of change of class and preceding the effective date of such change, the proper number of persons shall be elected to fill any elective office which will exist in the county by the change of classification certified.  No election shall be held for any office which will be abolished as a result of such change of classification.
"
Pennsylvania Statutes Title 16 P.S. Counties § 210. Counties divided into nine classes,https://codes.findlaw.com/pa/title-16-ps-counties/pa-st-sect-16-210.html,"
(1) First Class Counties, those having a population of 1,500,000 inhabitants and over.


(2) Second Class Counties, those having a population of 800,000 and more but less than 1,500,000 inhabitants.


(2.1) Second Class A Counties, those having a population of 500,000 and more but less than 800,000 inhabitants.



(3)(i) Third Class Counties, those having a population of 210,000 and more but less than 500,000 inhabitants.


(ii) After the results of any Federal Decennial Census are published, any county of the third class having a population of 500,000 inhabitants and over may elect not to become a county of the second class A by enacting an ordinance or adopting a resolution of the Board of County Commissioners not later than February 15 of the year following the year in which the figures from the Federal Decennial Census are certified by the United States Department of Commerce and available.



(3)(i) Third Class Counties, those having a population of 210,000 and more but less than 500,000 inhabitants.


(ii) After the results of any Federal Decennial Census are published, any county of the third class having a population of 500,000 inhabitants and over may elect not to become a county of the second class A by enacting an ordinance or adopting a resolution of the Board of County Commissioners not later than February 15 of the year following the year in which the figures from the Federal Decennial Census are certified by the United States Department of Commerce and available.


(4) Fourth Class Counties, those having a population of 145,000 and more but less than 210,000 inhabitants.


(5) Fifth Class Counties, those having a population of 90,000 and more but less than 145,000 inhabitants.


(6) Sixth Class Counties, those having a population of 45,000 and more but less than 90,000 inhabitants and those having a population of 35,000 and more but less than 45,000 inhabitants which by ordinance or resolution of the Board of County Commissioners elect to be a county of the sixth class.


(7) Seventh Class Counties, those having a population of 20,000 or more but less than 45,000 inhabitants and those having a population of 35,000 and more but less than 45,000 inhabitants which have not elected to be a county of the sixth class.


(8) Eighth Class Counties, those having a population of less than 20,000 inhabitants.
"
Pennsylvania Statutes Title 53 P.S. Municipal and Quasi-Municipal Corporations § 895.704.704. Distribution formula,https://codes.findlaw.com/pa/title-53-ps-municipal-and-quasimunicipal-corporations/pa-st-sect-53-895-704.html,"
(1) fifty percent of the fund shall be distributed based on the population of each municipality in proportion to the population of the entire Commonwealth, based upon the latest national population census as reported by the United States Bureau of Census;  and


(2) fifty percent of the fund shall be distributed based on the market value of real estate of each municipality in proportion to the market value of real estate for the entire Commonwealth, based upon the most recent statistics from the State Tax Equalization Board.
"
Pennsylvania Statutes Title 53 P.S. Municipal and Quasi-Municipal Corporations § 55206. Proclamations by county commissioners,https://codes.findlaw.com/pa/title-53-ps-municipal-and-quasimunicipal-corporations/pa-st-sect-53-55206.html,
Pennsylvania Statutes Title 16 P.S. Counties § 9306. Commissioners of certain counties to designate newspapers,https://codes.findlaw.com/pa/title-16-ps-counties/pa-st-sect-16-9306.html,
Pennsylvania Statutes Title 11 Pa.C.S.A. Cities § 10201. Creation of cities,https://codes.findlaw.com/pa/title-11-pacsa-cities/pa-csa-sect-11-10201.html,"
(1) A single municipal corporation having a population of at least 10,000 according to the last preceding United States census may be incorporated as a city in accordance with this chapter if a majority of the registered voters in the municipal corporation cast an affirmative vote in favor of the referendum question.


(2) Two or more contiguous municipal corporations having a combined population of at least 10,000 according to the last preceding United States census may, under 53 Pa.C.S. Ch. 7 Subch. C   1 (relating to consolidation and merger), incorporate as a city and determine whether the newly incorporated city shall be governed by this part and other general laws applicable to and governing cities.
"
