title,href,text
"Vermont Statutes Title 1. General Provisions, § 130. Population;  inhabitants",https://codes.findlaw.com/vt/title-1-general-provisions/vt-st-tit-1-sect-130.html,
"Vermont Statutes Title 17. Elections, § 1902. Definitions",https://codes.findlaw.com/vt/title-17-elections/vt-st-tit-17-sect-1902.html,"
(1) “Apportionment standard for the house of representatives” means the number obtained by dividing the total population in the state by the number of members of the house of representatives of the general assembly.


(2) “Apportionment standard for the senate” means the number obtained by dividing the total population in the state by the number of members of the senate.


(3) “Board” means the legislative apportionment board.


(4) “Population” means the most recent census taken under the authority of Congress or a special census ordered to be taken by the legislature.
"
"Vermont Statutes Title 10. Conservation and Development, § 7555. Statewide recycling goal",https://codes.findlaw.com/vt/title-10-conservation-and-development/vt-st-tit-10-sect-7555.html,"
(a) Statewide recycling goal.

(1) For the program year of July 1, 2011, to June 30, 2012, the statewide recycling goal for electronic waste shall be the product of the U.S. Census Bureau's 2010 population estimate for the State multiplied by 5.5 pounds.


(2) For the program year of July 1, 2012, to June 30, 2013, the statewide recycling goal for electronic waste shall be the product of the U.S. Census Bureau's 2010 population estimate for the State multiplied by 6.0 pounds.


(3) For the program year of July 1, 2013, to June 30, 2014, and annually thereafter, the statewide recycling goal for all electronic waste shall be the product of the base weight multiplied by the goal attainment percentage.



(1) For the program year of July 1, 2011, to June 30, 2012, the statewide recycling goal for electronic waste shall be the product of the U.S. Census Bureau's 2010 population estimate for the State multiplied by 5.5 pounds.


(2) For the program year of July 1, 2012, to June 30, 2013, the statewide recycling goal for electronic waste shall be the product of the U.S. Census Bureau's 2010 population estimate for the State multiplied by 6.0 pounds.


(3) For the program year of July 1, 2013, to June 30, 2014, and annually thereafter, the statewide recycling goal for all electronic waste shall be the product of the base weight multiplied by the goal attainment percentage.


(b) Base weight.  For purposes of this section, “base weight” means the average weight of all electronic waste reported as collected under this chapter during the previous two program years.


(c) Goal attainment percentage.  For purposes of this section, “goal attainment percentage” means, for each type of product:

(1) 90 percent if the base weight is less than 90 percent of the statewide recycling goal for the previous calendar year;


(2) 95 percent if the base weight is 90 percent or greater, but not more than 95 percent of the statewide recycling goal for the previous calendar year;


(3) 100 percent if the base weight is 95 percent or greater, but not more than 105 percent of the statewide recycling goal for the previous calendar year;


(4) 105 percent if the base weight is 105 percent or greater, but not more than 110 percent of the statewide recycling goal for the previous calendar year;  or


(5) 110 percent if the base weight is 110 percent or greater of the statewide recycling goal.



(1) 90 percent if the base weight is less than 90 percent of the statewide recycling goal for the previous calendar year;


(2) 95 percent if the base weight is 90 percent or greater, but not more than 95 percent of the statewide recycling goal for the previous calendar year;


(3) 100 percent if the base weight is 95 percent or greater, but not more than 105 percent of the statewide recycling goal for the previous calendar year;


(4) 105 percent if the base weight is 105 percent or greater, but not more than 110 percent of the statewide recycling goal for the previous calendar year;  or


(5) 110 percent if the base weight is 110 percent or greater of the statewide recycling goal.
"
"Vermont Statutes Title 24. Municipal and County Government, § 1091. Pension system",https://codes.findlaw.com/vt/title-24-municipal-and-county-government/vt-st-tit-24-sect-1091.html,
"Vermont Statutes Title 17. Elections, § 1903. Periodic reapportionment;  standards",https://codes.findlaw.com/vt/title-17-elections/vt-st-tit-17-sect-1903.html,"
(a) The house of representatives and the senate shall be reapportioned and redistricted on the basis of population during the biennial session after the taking of each decennial census of the United States, or after a census taken for the purpose of such reapportionment under the authority of this state.


(b) The standard for creating districts for the election of representatives to the general assembly shall be to form representative districts with minimum percentages of deviation from the apportionment standard for the house of representatives.  The standard for creating districts for the election of senators on a county basis to the general assembly shall be to form senatorial districts with minimum percentages of deviation from the apportionment standard for the senate.  The representative and senatorial districts shall be formed consistent with the following policies insofar as practicable:

(1) preservation of existing political subdivision lines;


(2) recognition and maintenance of patterns of geography, social interaction, trade, political ties, and common interests;


(3) use of compact and contiguous territory.



(1) preservation of existing political subdivision lines;


(2) recognition and maintenance of patterns of geography, social interaction, trade, political ties, and common interests;


(3) use of compact and contiguous territory.
"
"Vermont Statutes Title 16. Education, § 2696. Availability of funds--Article VI",https://codes.findlaw.com/vt/title-16-education/vt-st-tit-16-sect-2696.html,
"Vermont Statutes Title 23. Motor Vehicles, § 1742. Creation",https://codes.findlaw.com/vt/title-23-motor-vehicles/vt-st-tit-23-sect-1742.html,
"Vermont Statutes Title 10. Conservation and Development, § 5401. Definitions",https://codes.findlaw.com/vt/title-10-conservation-and-development/vt-st-tit-10-sect-5401.html,"
(1) “Accepted silvicultural practices” means the accepted silvicultural practices defined by the Commissioner of Forests, Parks and Recreation, including the Acceptable Management Practices for Maintaining Water Quality on Logging Jobs in Vermont adopted by the Commissioner of Forests, Parks and Recreation.


(2) “Agency” means the Agency of Natural Resources.


(3) “Conserve,” “conserving,” and “conservation” mean to use and the use of all methods and procedures for maintaining or increasing:

(A) the number of individuals within a population of a species;


(B) the number of populations of a species;  and


(C) populations of wildlife or wild plants to the optimum carrying capacity of the habitat.



(A) the number of individuals within a population of a species;


(B) the number of populations of a species;  and


(C) populations of wildlife or wild plants to the optimum carrying capacity of the habitat.


(4) “Critical habitat” for a threatened species or endangered species means:

(A) a delineated location within the geographical area occupied by the species that:

(i) has the physical or biological features that are identifiable, concentrated, and decisive to the survival of a population of the species;  and


(ii) is necessary for the conservation or recovery of the species;  and


(iii) may require special management considerations or protection;  or



(B) a delineated location outside the geographical area occupied by a species at the time it is listed under 
section 5402
 of this title that:


(i)(I) was historically occupied by a species;  or


(II) contains habitat that is hydrologically connected or directly adjacent to occupied habitat;  and



(ii) contains habitat that is identifiable, concentrated, and decisive to the continued survival of a population of the species;  and


(iii) is necessary for the conservation or recovery of the species.




(A) a delineated location within the geographical area occupied by the species that:

(i) has the physical or biological features that are identifiable, concentrated, and decisive to the survival of a population of the species;  and


(ii) is necessary for the conservation or recovery of the species;  and


(iii) may require special management considerations or protection;  or



(i) has the physical or biological features that are identifiable, concentrated, and decisive to the survival of a population of the species;  and


(ii) is necessary for the conservation or recovery of the species;  and


(iii) may require special management considerations or protection;  or


(B) a delineated location outside the geographical area occupied by a species at the time it is listed under 
section 5402
 of this title that:


(i)(I) was historically occupied by a species;  or


(II) contains habitat that is hydrologically connected or directly adjacent to occupied habitat;  and



(ii) contains habitat that is identifiable, concentrated, and decisive to the continued survival of a population of the species;  and


(iii) is necessary for the conservation or recovery of the species.




(i)(I) was historically occupied by a species;  or


(II) contains habitat that is hydrologically connected or directly adjacent to occupied habitat;  and



(i)(I) was historically occupied by a species;  or


(II) contains habitat that is hydrologically connected or directly adjacent to occupied habitat;  and


(ii) contains habitat that is identifiable, concentrated, and decisive to the continued survival of a population of the species;  and


(iii) is necessary for the conservation or recovery of the species.


(5) “Destroy or adversely impact” means, with respect to critical habitat, a direct or indirect activity that negatively affects the value of critical habitat for the survival, conservation, or recovery of a listed threatened or endangered species.


(6) “Endangered species” means a species listed as endangered under this chapter or under the federal Endangered Species Act.    1


(7) “Endangered Species Act” and “federal Endangered Species Act” means the Endangered Species Act of 1973, 
Public Law 93-205
, as amended.


(8) “Farming” shall have the same meaning as used in subdivision 6001(22) of this title.


(9) “Forestry operations” means activities related to the management of forests, including a timber harvest;  pruning;  planting;  reforestation;  pest, disease, and invasive species control;  wildlife habitat management;  and fertilization.  “Forestry operations” include the primary processing of forest products of commercial value on a parcel where the timber harvest occurs.


(10) “Habitat” means the physical and biological environment in which a particular species of plant or animal lives.


(11) “Harming,” as used in the definition of “take” or “taking” under subdivision (18) of this section, means:

(A) an act that kills or injures a threatened or endangered species;  or


(B) the destruction or imperilment of habitat that kills or injures a threatened or endangered species by significantly impairing continued survival or essential behavioral patterns, including reproduction, feeding, or sheltering.



(A) an act that kills or injures a threatened or endangered species;  or


(B) the destruction or imperilment of habitat that kills or injures a threatened or endangered species by significantly impairing continued survival or essential behavioral patterns, including reproduction, feeding, or sheltering.


(12) “Methods” and “procedures” means all activities associated with natural resources management, including scientific research, census, law enforcement, habitat acquisition and maintenance, propagation, live trapping, and transplanting.  The terms also include the periodic or continuous protection of species or populations, where appropriate, and the regulated taking of individuals of the species or population in extraordinary cases where population pressures within a habitat cannot be otherwise relieved.


(13) “Optimum carrying capacity” for a species means a population level of that species which, in that habitat, can sustainably coexist with healthy populations of all wildlife and wild plant species normally present.


(14) “Plant” means any member of the plant kingdom, including seeds, roots, and other parts thereof.  As used in this chapter, plants shall include fungi.


(15) “Possession” means holding, controlling, exporting, importing, processing, selling, offering to sell, delivering, carrying, transporting, or shipping by any means a member of a species.


(16) “Secretary” means the Secretary of Natural Resources.


(17) “Species” means wildlife or wild plants and any subspecies or other group of wildlife or wild plants of the same species, the members of which may interbreed when mature.


(18) “Take” or “taking”:

(A) With respect to wildlife designated a threatened or endangered species, means:

(i) pursuing, shooting, hunting, killing, capturing, trapping, harming, snaring, or netting wildlife;


(ii) an act that creates a risk of injury to wildlife, whether or not the injury occurs, including harassing, wounding, or placing, setting, drawing, or using any net or other device used to take animals;  or


(iii) attempting to engage in or assisting another to engage in an act set forth under subdivision (i) or (ii) of this subdivision (14)(A).



(B) With respect to a wild plant designated a threatened or endangered species, means uprooting, transplanting, gathering seeds or fruit, cutting, injuring, harming, or killing or any attempt to do the same or assisting another who is doing or is attempting to do the same.



(A) With respect to wildlife designated a threatened or endangered species, means:

(i) pursuing, shooting, hunting, killing, capturing, trapping, harming, snaring, or netting wildlife;


(ii) an act that creates a risk of injury to wildlife, whether or not the injury occurs, including harassing, wounding, or placing, setting, drawing, or using any net or other device used to take animals;  or


(iii) attempting to engage in or assisting another to engage in an act set forth under subdivision (i) or (ii) of this subdivision (14)(A).



(i) pursuing, shooting, hunting, killing, capturing, trapping, harming, snaring, or netting wildlife;


(ii) an act that creates a risk of injury to wildlife, whether or not the injury occurs, including harassing, wounding, or placing, setting, drawing, or using any net or other device used to take animals;  or


(iii) attempting to engage in or assisting another to engage in an act set forth under subdivision (i) or (ii) of this subdivision (14)(A).


(B) With respect to a wild plant designated a threatened or endangered species, means uprooting, transplanting, gathering seeds or fruit, cutting, injuring, harming, or killing or any attempt to do the same or assisting another who is doing or is attempting to do the same.


(19) “Threatened species” means a species listed as a threatened species under this chapter or determined to be a “threatened species” under the federal Endangered Species Act.


(20) “Wildlife” means any member of a nondomesticated species of the animal kingdom, whether reared in captivity or not, including, without limitation, any mammal, fish, bird, amphibian, reptile, mollusk, crustacean, arthropod, or other invertebrate, and also including any part, product, egg, offspring, dead body, or part of the dead body of any such wildlife.
"
"Vermont Statutes Title 20. Internal Security and Public Safety, § 1958. Finance--Article VIII",https://codes.findlaw.com/vt/title-20-internal-security-and-public-safety/vt-st-tit-20-sect-1958.html,"
(a) The conference shall submit to the governor or designated officer or officers of each party state a budget of its estimated expenditures for such period as may be required by the laws of that party state for presentation to the legislature thereof.


(b) Each of the conference's budgets of estimated expenditures shall contain specific recommendations of the amount or amounts to be appropriated by each of the party states.  The total amount of appropriation under any such budget shall be apportioned among the party states as follows:  one third in equal shares;  one third divided among the party states in the proportions that their populations bear to the total population of all the party states;  and one third divided among the party states in the proportions that the major crimes committed in each party state bear to the total number of major crimes committed in all the party states.
In determining population pursuant to this paragraph, the most recent decennial census compiled by the United States government shall be used.  Numbers of major crimes shall be as reported in the most recent annual “Uniform Crime Report” compiled by the federal bureau of investigation of the United States department of justice, or by any agency which may assume responsibility for such compilation in the place of such bureau.  In the event that any source of information required to be used for the purpose of this paragraph shall be discontinued, the conference shall make its calculations on the basis of the best alternative sources of information and shall identify the sources used.


(c) The conference shall not pledge the credit of any party state.  The conference may meet any of its obligations in whole or in part with funds available to it under article III(j) of this compact, provided that the conference takes specific action setting aside such funds prior to incurring any obligation to be met in whole or in part in such manner.  Except where the conference makes use of funds available to it under article III(j) hereof, the conference shall not incur any obligation prior to the allotment of funds by the party states adequate to meet the same.


(d) The conference shall keep accurate accounts of all receipts and disbursements.  The receipts and disbursements of the conference shall be subject to the audit and accounting procedures established under its rules.  However, all receipts and disbursements of funds handled by the conference shall be audited yearly by a qualified public accountant and the report of the audit shall be included in and become part of the annual report of the conference.


(e) The accounts of the conference shall be open at any reasonable time for inspection by duly constituted officers of the party states and any persons authorized by the conference.


(f) Nothing contained herein shall be construed to prevent conference compliance with laws relating to audit or inspection of accounts by or on behalf of any government contributing to the support of the conference.
"
"Vermont Statutes Title 24. Municipal and County Government, § 5091. Funding",https://codes.findlaw.com/vt/title-24-municipal-and-county-government/vt-st-tit-24-sect-5091.html,"
(a) The Secretary of Transportation, within the annual budget setting process, shall meet with the Public Transit Advisory Council and representatives of public transit systems to establish the level of State funds needed by public transit systems in Vermont, and shall consider this level in formulating the Agency of Transportation's State Budget request.


(b) State funds authorized by the Legislature as grant assistance for the operation of public transit services shall be eligible for use as a matching source for federal funds.


(c) The same fiscal accountability requirements and regulatory standards shall apply to all grantees of funds as provided by rule of the Secretary of Transportation.


(d) Rideshare, capital, contracted services, and transportation brokerage services are not to be considered as operating funds under this section.


(e) State funds shall be paid on a semi-annual payment basis to eligible grantees with the first payment paid immediately upon approval of the contract and the second payment to occur at the start of the third quarter of the State fiscal year.


(f) Repealed by 
2009, Adj. Sess., No. 123
, § 47(2), eff. July 1, 2010.


(g) Monies which are in excess of the grantee's net project cost shall be returned to the Agency of Transportation within 30 days of the Agency's acceptance of the post-project audit.


(h) Applicants for State funding shall meet the requirements of federal laws and regulations relating to fiscal accountability and accessibility by persons with a disability.


(i) To implement the public transportation policy goals set forth in 
section 5083
 of this title and 
19 V.S.A. § 10f
, the Agency of Transportation shall use the following formula for distribution of operating funds to public transit systems:

(1) [Deleted]

(A) 10 percent based on the percentage of the State's population of elders (persons age 60 and above) in each of the designated transit service areas;


(B) 10 percent based on the percentage of the State's youth population (persons ages 12 through 17) in each of the designated transit service areas;


(C) 10 percent based on the percentage of the State's population of people who have limited physical mobility in each of the designated transit service areas;


(D) 10 percent based on the percentage of the State's population of people who are in poverty in each of the designated transit service areas;


(E) 10 percent based on the percentage of the State's households lacking access to an automobile in each of the designated transit service areas.



(2) 20 percent of operating funds shall be based on need for employment transportation, as measured by the percentage of the State's employed persons residing in each of the designated transit service areas, using data developed by the Vermont Department of Labor.


(3) 15 percent of operating funds shall be based on the need for congestion mitigation and air quality, as measured by the percentage of the State's overall population living in high density areas in each of the designated transit service areas, using data from the U.S. Bureau of the Census.


(4) 15 percent of the operating funds shall be based on need for economic development transportation, as measured by the percentage of the State's jobs in each of the designated transit service areas, using data developed annually by the Vermont Department of Labor.



(1) [Deleted]

(A) 10 percent based on the percentage of the State's population of elders (persons age 60 and above) in each of the designated transit service areas;


(B) 10 percent based on the percentage of the State's youth population (persons ages 12 through 17) in each of the designated transit service areas;


(C) 10 percent based on the percentage of the State's population of people who have limited physical mobility in each of the designated transit service areas;


(D) 10 percent based on the percentage of the State's population of people who are in poverty in each of the designated transit service areas;


(E) 10 percent based on the percentage of the State's households lacking access to an automobile in each of the designated transit service areas.



(A) 10 percent based on the percentage of the State's population of elders (persons age 60 and above) in each of the designated transit service areas;


(B) 10 percent based on the percentage of the State's youth population (persons ages 12 through 17) in each of the designated transit service areas;


(C) 10 percent based on the percentage of the State's population of people who have limited physical mobility in each of the designated transit service areas;


(D) 10 percent based on the percentage of the State's population of people who are in poverty in each of the designated transit service areas;


(E) 10 percent based on the percentage of the State's households lacking access to an automobile in each of the designated transit service areas.


(2) 20 percent of operating funds shall be based on need for employment transportation, as measured by the percentage of the State's employed persons residing in each of the designated transit service areas, using data developed by the Vermont Department of Labor.


(3) 15 percent of operating funds shall be based on the need for congestion mitigation and air quality, as measured by the percentage of the State's overall population living in high density areas in each of the designated transit service areas, using data from the U.S. Bureau of the Census.


(4) 15 percent of the operating funds shall be based on need for economic development transportation, as measured by the percentage of the State's jobs in each of the designated transit service areas, using data developed annually by the Vermont Department of Labor.


(j) Notwithstanding subsection (i) of this section, and to the extent that appropriated funds are available, no provider who is otherwise eligible shall receive a lesser amount of operating funds than it expended on eligible operating expenses in State fiscal year 2001 for services that remain ongoing, and provided that the amount shall be evaluated as necessary to address changes in the cost of providing the services.  In the event that a provider merges with or is otherwise succeeded by another provider, the successor provider shall be entitled to the same protection under this subsection that would have been available to the superseded provider.


(k) Eligibility for an intercity bus carrier is limited to capital and operating assistance for routes which have not demonstrated economic viability.  The Agency of Transportation is directed to develop procedures and criteria by December 31, 2001 to administer this subsection.  Funding shall be appropriated and distributed outside the funding formula of subsection (i) of this section.


(l) State operating assistance appropriated for projects coming off new public transit service funding in fiscal year 2002 shall not be distributed pursuant to the formula in subsection (i) of this section, but shall be added to the eligible grantees' funding under subsection (j) of this section to the extent that they meet criteria for successful evaluation at the end of 2002.


(m) Any new State operating assistance appropriated to replace new public transit service funds for routes that have successfully met the evaluation criteria after State fiscal year 2002 shall not be distributed pursuant to the formula in subsection (i) of this section, but shall be added to the eligible grantees' funding under subsection (j) of this section.
"
